datetime,00060_Mean,00060_Mean_cd,site_no
1988-10-01 00:00:00+00:00,29.0,A,10296500
1988-10-02 00:00:00+00:00,29.0,A,10296500
1988-10-03 00:00:00+00:00,29.0,A,10296500
1988-10-04 00:00:00+00:00,29.0,A,10296500
1988-10-05 00:00:00+00:00,29.0,A,10296500
1988-10-06 00:00:00+00:00,30.0,A,10296500
1988-10-07 00:00:00+00:00,31.0,A,10296500
1988-10-08 00:00:00+00:00,31.0,A,10296500
1988-10-09 00:00:00+00:00,30.0,A,10296500
1988-10-10 00:00:00+00:00,28.0,A,10296500
1988-10-11 00:00:00+00:00,29.0,A,10296500
1988-10-12 00:00:00+00:00,29.0,A,10296500
1988-10-13 00:00:00+00:00,29.0,A,10296500
1988-10-14 00:00:00+00:00,29.0,A,10296500
1988-10-15 00:00:00+00:00,31.0,A,10296500
1988-10-16 00:00:00+00:00,30.0,A,10296500
1988-10-17 00:00:00+00:00,30.0,A,10296500
1988-10-18 00:00:00+00:00,30.0,A,10296500
1988-10-19 00:00:00+00:00,29.0,A,10296500
1988-10-20 00:00:00+00:00,29.0,A,10296500
1988-10-21 00:00:00+00:00,29.0,A,10296500
1988-10-22 00:00:00+00:00,29.0,A,10296500
1988-10-23 00:00:00+00:00,29.0,A,10296500
1988-10-24 00:00:00+00:00,29.0,A,10296500
1988-10-25 00:00:00+00:00,29.0,A,10296500
1988-10-26 00:00:00+00:00,31.0,A,10296500
1988-10-27 00:00:00+00:00,31.0,A,10296500
1988-10-28 00:00:00+00:00,31.0,A,10296500
1988-10-29 00:00:00+00:00,31.0,A,10296500
1988-10-30 00:00:00+00:00,31.0,A,10296500
1988-10-31 00:00:00+00:00,32.0,A,10296500
1988-11-01 00:00:00+00:00,32.0,A,10296500
1988-11-02 00:00:00+00:00,32.0,A,10296500
1988-11-03 00:00:00+00:00,33.0,A,10296500
1988-11-04 00:00:00+00:00,33.0,A,10296500
1988-11-05 00:00:00+00:00,33.0,A,10296500
1988-11-06 00:00:00+00:00,33.0,A,10296500
1988-11-07 00:00:00+00:00,33.0,A,10296500
1988-11-08 00:00:00+00:00,33.0,A,10296500
1988-11-09 00:00:00+00:00,33.0,A,10296500
1988-11-10 00:00:00+00:00,34.0,A,10296500
1988-11-11 00:00:00+00:00,34.0,A,10296500
1988-11-12 00:00:00+00:00,35.0,A,10296500
1988-11-13 00:00:00+00:00,40.0,A,10296500
1988-11-14 00:00:00+00:00,45.0,A,10296500
1988-11-15 00:00:00+00:00,35.0,A,10296500
1988-11-16 00:00:00+00:00,37.0,A,10296500
1988-11-17 00:00:00+00:00,38.0,A,10296500
1988-11-18 00:00:00+00:00,38.0,A,10296500
1988-11-19 00:00:00+00:00,37.0,A,10296500
1988-11-20 00:00:00+00:00,37.0,A,10296500
1988-11-21 00:00:00+00:00,37.0,A,10296500
1988-11-22 00:00:00+00:00,41.0,A,10296500
1988-11-23 00:00:00+00:00,68.0,A,10296500
1988-11-24 00:00:00+00:00,53.0,A,10296500
1988-11-25 00:00:00+00:00,51.0,A,10296500
1988-11-26 00:00:00+00:00,45.0,A,10296500
1988-11-27 00:00:00+00:00,48.0,A,10296500
1988-11-28 00:00:00+00:00,51.0,A,10296500
1988-11-29 00:00:00+00:00,46.0,A,10296500
1988-11-30 00:00:00+00:00,45.0,A,10296500
1988-12-01 00:00:00+00:00,45.0,A,10296500
1988-12-02 00:00:00+00:00,45.0,A,10296500
1988-12-03 00:00:00+00:00,46.0,A,10296500
1988-12-04 00:00:00+00:00,43.0,A,10296500
1988-12-05 00:00:00+00:00,44.0,A,10296500
1988-12-06 00:00:00+00:00,44.0,A,10296500
1988-12-07 00:00:00+00:00,43.0,A,10296500
1988-12-08 00:00:00+00:00,41.0,A,10296500
1988-12-09 00:00:00+00:00,40.0,A,10296500
1988-12-10 00:00:00+00:00,42.0,A,10296500
1988-12-11 00:00:00+00:00,42.0,A,10296500
1988-12-12 00:00:00+00:00,42.0,A,10296500
1988-12-13 00:00:00+00:00,43.0,A,10296500
1988-12-14 00:00:00+00:00,40.0,A,10296500
1988-12-15 00:00:00+00:00,34.0,A,10296500
1988-12-16 00:00:00+00:00,44.0,A,10296500
1988-12-17 00:00:00+00:00,44.0,A,10296500
1988-12-18 00:00:00+00:00,44.0,A,10296500
1988-12-19 00:00:00+00:00,42.0,A,10296500
1988-12-20 00:00:00+00:00,44.0,A,10296500
1988-12-21 00:00:00+00:00,39.0,A,10296500
1988-12-22 00:00:00+00:00,37.0,A,10296500
1988-12-23 00:00:00+00:00,44.0,A,10296500
1988-12-24 00:00:00+00:00,43.0,"A, e",10296500
1988-12-25 00:00:00+00:00,44.0,"A, e",10296500
1988-12-26 00:00:00+00:00,45.0,"A, e",10296500
1988-12-27 00:00:00+00:00,45.0,"A, e",10296500
1988-12-28 00:00:00+00:00,46.0,"A, e",10296500
1988-12-29 00:00:00+00:00,46.0,"A, e",10296500
1988-12-30 00:00:00+00:00,46.0,"A, e",10296500
1988-12-31 00:00:00+00:00,46.0,A,10296500
1989-01-01 00:00:00+00:00,46.0,A,10296500
1989-01-02 00:00:00+00:00,47.0,A,10296500
1989-01-03 00:00:00+00:00,45.0,A,10296500
1989-01-04 00:00:00+00:00,45.0,"A, e",10296500
1989-01-05 00:00:00+00:00,46.0,A,10296500
1989-01-06 00:00:00+00:00,46.0,"A, e",10296500
1989-01-07 00:00:00+00:00,46.0,"A, e",10296500
1989-01-08 00:00:00+00:00,46.0,"A, e",10296500
1989-01-09 00:00:00+00:00,46.0,A,10296500
1989-01-10 00:00:00+00:00,46.0,A,10296500
1989-01-11 00:00:00+00:00,48.0,A,10296500
1989-01-12 00:00:00+00:00,46.0,"A, e",10296500
1989-01-13 00:00:00+00:00,44.0,"A, e",10296500
1989-01-14 00:00:00+00:00,42.0,A,10296500
1989-01-15 00:00:00+00:00,42.0,"A, e",10296500
1989-01-16 00:00:00+00:00,43.0,"A, e",10296500
1989-01-17 00:00:00+00:00,44.0,A,10296500
1989-01-18 00:00:00+00:00,43.0,A,10296500
1989-01-19 00:00:00+00:00,42.0,A,10296500
1989-01-20 00:00:00+00:00,43.0,A,10296500
1989-01-21 00:00:00+00:00,43.0,A,10296500
1989-01-22 00:00:00+00:00,44.0,A,10296500
1989-01-23 00:00:00+00:00,44.0,A,10296500
1989-01-24 00:00:00+00:00,44.0,A,10296500
1989-01-25 00:00:00+00:00,42.0,A,10296500
1989-01-26 00:00:00+00:00,43.0,"A, e",10296500
1989-01-27 00:00:00+00:00,43.0,"A, e",10296500
1989-01-28 00:00:00+00:00,44.0,A,10296500
1989-01-29 00:00:00+00:00,43.0,A,10296500
1989-01-30 00:00:00+00:00,43.0,A,10296500
1989-01-31 00:00:00+00:00,45.0,A,10296500
1989-02-01 00:00:00+00:00,48.0,A,10296500
1989-02-02 00:00:00+00:00,43.0,A,10296500
1989-02-03 00:00:00+00:00,35.0,A,10296500
1989-02-04 00:00:00+00:00,35.0,"A, e",10296500
1989-02-05 00:00:00+00:00,35.0,"A, e",10296500
1989-02-06 00:00:00+00:00,35.0,"A, e",10296500
