datetime,00060_Mean,00060_Mean_cd,site_no
1996-10-01 00:00:00+00:00,70.0,A,08213500
1996-10-02 00:00:00+00:00,70.0,A,08213500
1996-10-03 00:00:00+00:00,90.0,A,08213500
1996-10-04 00:00:00+00:00,127.0,A,08213500
1996-10-05 00:00:00+00:00,179.0,A,08213500
1996-10-06 00:00:00+00:00,167.0,A,08213500
1996-10-07 00:00:00+00:00,148.0,A,08213500
1996-10-08 00:00:00+00:00,160.0,A,08213500
1996-10-09 00:00:00+00:00,167.0,A,08213500
1996-10-10 00:00:00+00:00,170.0,A,08213500
1996-10-11 00:00:00+00:00,167.0,A,08213500
1996-10-12 00:00:00+00:00,133.0,A,08213500
1996-10-13 00:00:00+00:00,95.0,A,08213500
1996-10-14 00:00:00+00:00,78.0,A,08213500
1996-10-15 00:00:00+00:00,78.0,"A, e",08213500
1996-10-16 00:00:00+00:00,78.0,A,08213500
1996-10-17 00:00:00+00:00,78.0,A,08213500
1996-10-18 00:00:00+00:00,78.0,A,08213500
1996-10-19 00:00:00+00:00,78.0,A,08213500
1996-10-20 00:00:00+00:00,78.0,A,08213500
1996-10-21 00:00:00+00:00,78.0,A,08213500
1996-10-22 00:00:00+00:00,78.0,A,08213500
1996-10-23 00:00:00+00:00,78.0,A,08213500
1996-10-24 00:00:00+00:00,78.0,A,08213500
1996-10-25 00:00:00+00:00,78.0,A,08213500
1996-10-26 00:00:00+00:00,78.0,A,08213500
1996-10-27 00:00:00+00:00,68.0,A,08213500
1996-10-28 00:00:00+00:00,64.0,A,08213500
1996-10-29 00:00:00+00:00,62.0,A,08213500
1996-10-30 00:00:00+00:00,30.0,"A, e",08213500
1996-10-31 00:00:00+00:00,3.5,"A, e",08213500
1996-11-01 00:00:00+00:00,3.5,"A, e",08213500
1996-11-02 00:00:00+00:00,3.5,"A, e",08213500
1996-11-03 00:00:00+00:00,3.5,"A, e",08213500
1996-11-04 00:00:00+00:00,3.5,"A, e",08213500
1996-11-05 00:00:00+00:00,3.5,"A, e",08213500
1996-11-06 00:00:00+00:00,3.5,"A, e",08213500
1996-11-07 00:00:00+00:00,3.5,"A, e",08213500
1996-11-08 00:00:00+00:00,3.5,"A, e",08213500
1996-11-09 00:00:00+00:00,3.5,"A, e",08213500
1996-11-10 00:00:00+00:00,3.5,"A, e",08213500
1996-11-11 00:00:00+00:00,3.5,"A, e",08213500
1996-11-12 00:00:00+00:00,3.5,"A, e",08213500
1996-11-13 00:00:00+00:00,3.5,"A, e",08213500
1996-11-14 00:00:00+00:00,3.5,"A, e",08213500
1996-11-15 00:00:00+00:00,3.5,"A, e",08213500
1996-11-16 00:00:00+00:00,3.5,"A, e",08213500
1996-11-17 00:00:00+00:00,3.5,"A, e",08213500
1996-11-18 00:00:00+00:00,3.5,"A, e",08213500
1996-11-19 00:00:00+00:00,3.5,"A, e",08213500
1996-11-20 00:00:00+00:00,3.5,"A, e",08213500
1996-11-21 00:00:00+00:00,3.5,"A, e",08213500
1996-11-22 00:00:00+00:00,3.5,"A, e",08213500
1996-11-23 00:00:00+00:00,3.5,"A, e",08213500
1996-11-24 00:00:00+00:00,3.5,"A, e",08213500
1996-11-25 00:00:00+00:00,3.5,"A, e",08213500
1996-11-26 00:00:00+00:00,3.5,"A, e",08213500
1996-11-27 00:00:00+00:00,3.5,"A, e",08213500
1996-11-28 00:00:00+00:00,3.5,"A, e",08213500
1996-11-29 00:00:00+00:00,4.0,"A, e",08213500
1996-11-30 00:00:00+00:00,4.0,"A, e",08213500
1996-12-01 00:00:00+00:00,4.0,"A, e",08213500
1996-12-02 00:00:00+00:00,4.0,"A, e",08213500
1996-12-03 00:00:00+00:00,4.0,"A, e",08213500
1996-12-04 00:00:00+00:00,4.0,"A, e",08213500
1996-12-05 00:00:00+00:00,4.0,"A, e",08213500
1996-12-06 00:00:00+00:00,4.0,"A, e",08213500
1996-12-07 00:00:00+00:00,4.0,"A, e",08213500
1996-12-08 00:00:00+00:00,4.0,"A, e",08213500
1996-12-09 00:00:00+00:00,4.0,"A, e",08213500
1996-12-10 00:00:00+00:00,4.0,"A, e",08213500
1996-12-11 00:00:00+00:00,4.0,"A, e",08213500
1996-12-12 00:00:00+00:00,4.0,"A, e",08213500
1996-12-13 00:00:00+00:00,4.0,"A, e",08213500
1996-12-14 00:00:00+00:00,4.5,"A, e",08213500
1996-12-15 00:00:00+00:00,4.5,"A, e",08213500
1996-12-16 00:00:00+00:00,4.5,"A, e",08213500
1996-12-17 00:00:00+00:00,4.5,"A, e",08213500
1996-12-18 00:00:00+00:00,4.5,"A, e",08213500
1996-12-19 00:00:00+00:00,4.5,"A, e",08213500
1996-12-20 00:00:00+00:00,4.5,"A, e",08213500
1996-12-21 00:00:00+00:00,4.5,"A, e",08213500
1996-12-22 00:00:00+00:00,4.5,"A, e",08213500
1996-12-23 00:00:00+00:00,4.5,"A, e",08213500
1996-12-24 00:00:00+00:00,4.5,"A, e",08213500
1996-12-25 00:00:00+00:00,4.5,"A, e",08213500
1996-12-26 00:00:00+00:00,4.5,"A, e",08213500
1996-12-27 00:00:00+00:00,4.5,"A, e",08213500
1996-12-28 00:00:00+00:00,4.5,"A, e",08213500
1996-12-29 00:00:00+00:00,5.0,"A, e",08213500
1996-12-30 00:00:00+00:00,5.0,"A, e",08213500
1996-12-31 00:00:00+00:00,5.0,"A, e",08213500
1997-01-01 00:00:00+00:00,5.0,"A, e",08213500
1997-01-02 00:00:00+00:00,5.0,"A, e",08213500
1997-01-03 00:00:00+00:00,5.0,"A, e",08213500
1997-01-04 00:00:00+00:00,5.0,"A, e",08213500
1997-01-05 00:00:00+00:00,5.0,"A, e",08213500
1997-01-06 00:00:00+00:00,5.0,"A, e",08213500
1997-01-07 00:00:00+00:00,5.0,"A, e",08213500
1997-01-08 00:00:00+00:00,5.0,"A, e",08213500
1997-01-09 00:00:00+00:00,5.0,"A, e",08213500
1997-01-10 00:00:00+00:00,5.0,"A, e",08213500
1997-01-11 00:00:00+00:00,5.0,"A, e",08213500
1997-01-12 00:00:00+00:00,5.0,"A, e",08213500
1997-01-13 00:00:00+00:00,5.5,"A, e",08213500
1997-01-14 00:00:00+00:00,5.5,"A, e",08213500
1997-01-15 00:00:00+00:00,5.5,"A, e",08213500
1997-01-16 00:00:00+00:00,5.5,"A, e",08213500
1997-01-17 00:00:00+00:00,5.5,"A, e",08213500
1997-01-18 00:00:00+00:00,5.5,"A, e",08213500
1997-01-19 00:00:00+00:00,5.5,"A, e",08213500
1997-01-20 00:00:00+00:00,5.5,"A, e",08213500
1997-01-21 00:00:00+00:00,5.5,"A, e",08213500
1997-01-22 00:00:00+00:00,5.5,"A, e",08213500
1997-01-23 00:00:00+00:00,5.5,"A, e",08213500
1997-01-24 00:00:00+00:00,5.5,"A, e",08213500
1997-01-25 00:00:00+00:00,5.5,"A, e",08213500
1997-01-26 00:00:00+00:00,5.5,"A, e",08213500
1997-01-27 00:00:00+00:00,5.5,"A, e",08213500
1997-01-28 00:00:00+00:00,6.0,"A, e",08213500
1997-01-29 00:00:00+00:00,6.0,"A, e",08213500
1997-01-30 00:00:00+00:00,6.0,"A, e",08213500
1997-01-31 00:00:00+00:00,6.0,"A, e",08213500
1997-02-01 00:00:00+00:00,6.0,"A, e",08213500
1997-02-02 00:00:00+00:00,6.0,"A, e",08213500
1997-02-03 00:00:00+00:00,6.0,"A, e",08213500
1997-02-04 00:00:00+00:00,6.0,"A, e",08213500
1997-02-05 00:00:00+00:00,6.0,"A, e",08213500
1997-02-06 00:00:00+00:00,6.0,"A, e",08213500
1997-02-07 00:00:00+00:00,6.0,"A, e",08213500
1997-02-08 00:00:00+00:00,6.0,"A, e",08213500
1997-02-09 00:00:00+00:00,6.0,"A, e",08213500
1997-02-10 00:00:00+00:00,6.0,"A, e",08213500
1997-02-11 00:00:00+00:00,6.0,"A, e",08213500
