datetime,00060_Mean,00060_Mean_cd,site_no
2001-10-01 00:00:00+00:00,94.0,A,13139510
2001-10-02 00:00:00+00:00,93.0,A,13139510
2001-10-03 00:00:00+00:00,94.0,A,13139510
2001-10-04 00:00:00+00:00,94.0,A,13139510
2001-10-05 00:00:00+00:00,96.0,A,13139510
2001-10-06 00:00:00+00:00,99.0,A,13139510
2001-10-07 00:00:00+00:00,102.0,A,13139510
2001-10-08 00:00:00+00:00,101.0,A,13139510
2001-10-09 00:00:00+00:00,104.0,A,13139510
2001-10-10 00:00:00+00:00,109.0,A,13139510
2001-10-11 00:00:00+00:00,118.0,A,13139510
2001-10-12 00:00:00+00:00,124.0,A,13139510
2001-10-13 00:00:00+00:00,123.0,A,13139510
2001-10-14 00:00:00+00:00,123.0,A,13139510
2001-10-15 00:00:00+00:00,124.0,A,13139510
2001-10-16 00:00:00+00:00,122.0,A,13139510
2001-10-17 00:00:00+00:00,123.0,A,13139510
2001-10-18 00:00:00+00:00,127.0,A,13139510
2001-10-19 00:00:00+00:00,125.0,A,13139510
2001-10-20 00:00:00+00:00,124.0,A,13139510
2001-10-21 00:00:00+00:00,124.0,A,13139510
2001-10-22 00:00:00+00:00,123.0,A,13139510
2001-10-23 00:00:00+00:00,130.0,A,13139510
2001-10-24 00:00:00+00:00,132.0,A,13139510
2001-10-25 00:00:00+00:00,128.0,A,13139510
2001-10-26 00:00:00+00:00,131.0,A,13139510
2001-10-27 00:00:00+00:00,130.0,A,13139510
2001-10-28 00:00:00+00:00,130.0,A,13139510
2001-10-29 00:00:00+00:00,132.0,A,13139510
2001-10-30 00:00:00+00:00,133.0,A,13139510
2001-10-31 00:00:00+00:00,149.0,A,13139510
2001-11-01 00:00:00+00:00,146.0,A,13139510
2001-11-02 00:00:00+00:00,140.0,A,13139510
2001-11-03 00:00:00+00:00,138.0,A,13139510
2001-11-04 00:00:00+00:00,136.0,A,13139510
2001-11-05 00:00:00+00:00,135.0,A,13139510
2001-11-06 00:00:00+00:00,134.0,A,13139510
2001-11-07 00:00:00+00:00,132.0,A,13139510
2001-11-08 00:00:00+00:00,126.0,A,13139510
2001-11-09 00:00:00+00:00,119.0,A,13139510
2001-11-10 00:00:00+00:00,125.0,A,13139510
2001-11-11 00:00:00+00:00,128.0,A,13139510
2001-11-12 00:00:00+00:00,128.0,A,13139510
2001-11-13 00:00:00+00:00,127.0,A,13139510
2001-11-14 00:00:00+00:00,127.0,A,13139510
2001-11-15 00:00:00+00:00,127.0,A,13139510
2001-11-16 00:00:00+00:00,125.0,A,13139510
2001-11-17 00:00:00+00:00,124.0,A,13139510
2001-11-18 00:00:00+00:00,128.0,A,13139510
2001-11-19 00:00:00+00:00,125.0,A,13139510
2001-11-20 00:00:00+00:00,124.0,A,13139510
2001-11-21 00:00:00+00:00,130.0,A,13139510
2001-11-22 00:00:00+00:00,132.0,A,13139510
2001-11-23 00:00:00+00:00,127.0,A,13139510
2001-11-24 00:00:00+00:00,118.0,A,13139510
2001-11-25 00:00:00+00:00,114.0,A,13139510
2001-11-26 00:00:00+00:00,111.0,A,13139510
2001-11-27 00:00:00+00:00,100.0,A,13139510
2001-11-28 00:00:00+00:00,84.0,A,13139510
2001-11-29 00:00:00+00:00,93.0,A,13139510
2001-11-30 00:00:00+00:00,99.0,A,13139510
2001-12-01 00:00:00+00:00,103.0,A,13139510
2001-12-02 00:00:00+00:00,111.0,A,13139510
2001-12-03 00:00:00+00:00,112.0,A,13139510
2001-12-04 00:00:00+00:00,108.0,A,13139510
2001-12-05 00:00:00+00:00,102.0,A,13139510
2001-12-06 00:00:00+00:00,105.0,A,13139510
2001-12-07 00:00:00+00:00,107.0,A,13139510
2001-12-08 00:00:00+00:00,104.0,A,13139510
2001-12-09 00:00:00+00:00,107.0,A,13139510
2001-12-10 00:00:00+00:00,104.0,A,13139510
2001-12-11 00:00:00+00:00,100.0,"A, e",13139510
2001-12-12 00:00:00+00:00,95.0,"A, e",13139510
2001-12-13 00:00:00+00:00,101.0,A,13139510
2001-12-14 00:00:00+00:00,114.0,A,13139510
2001-12-15 00:00:00+00:00,109.0,A,13139510
2001-12-16 00:00:00+00:00,109.0,A,13139510
2001-12-17 00:00:00+00:00,116.0,A,13139510
2001-12-18 00:00:00+00:00,110.0,A,13139510
2001-12-19 00:00:00+00:00,115.0,A,13139510
2001-12-20 00:00:00+00:00,117.0,A,13139510
2001-12-21 00:00:00+00:00,115.0,A,13139510
2001-12-22 00:00:00+00:00,104.0,A,13139510
2001-12-23 00:00:00+00:00,95.0,"A, e",13139510
2001-12-24 00:00:00+00:00,95.0,"A, e",13139510
2001-12-25 00:00:00+00:00,100.0,"A, e",13139510
2001-12-26 00:00:00+00:00,110.0,"A, e",13139510
2001-12-27 00:00:00+00:00,116.0,A,13139510
2001-12-28 00:00:00+00:00,119.0,A,13139510
2001-12-29 00:00:00+00:00,118.0,A,13139510
2001-12-30 00:00:00+00:00,117.0,A,13139510
2001-12-31 00:00:00+00:00,118.0,A,13139510
2002-01-01 00:00:00+00:00,118.0,A,13139510
2002-01-02 00:00:00+00:00,116.0,A,13139510
2002-01-03 00:00:00+00:00,119.0,A,13139510
2002-01-04 00:00:00+00:00,116.0,A,13139510
2002-01-05 00:00:00+00:00,111.0,A,13139510
2002-01-06 00:00:00+00:00,119.0,A,13139510
2002-01-07 00:00:00+00:00,121.0,A,13139510
2002-01-08 00:00:00+00:00,121.0,A,13139510
2002-01-09 00:00:00+00:00,122.0,A,13139510
2002-01-10 00:00:00+00:00,108.0,A,13139510
2002-01-11 00:00:00+00:00,113.0,A,13139510
2002-01-12 00:00:00+00:00,123.0,A,13139510
2002-01-13 00:00:00+00:00,120.0,A,13139510
2002-01-14 00:00:00+00:00,112.0,A,13139510
2002-01-15 00:00:00+00:00,112.0,A,13139510
2002-01-16 00:00:00+00:00,110.0,"A, e",13139510
2002-01-17 00:00:00+00:00,104.0,A,13139510
2002-01-18 00:00:00+00:00,100.0,"A, e",13139510
2002-01-19 00:00:00+00:00,110.0,"A, e",13139510
2002-01-20 00:00:00+00:00,110.0,"A, e",13139510
2002-01-21 00:00:00+00:00,117.0,A,13139510
2002-01-22 00:00:00+00:00,115.0,A,13139510
2002-01-23 00:00:00+00:00,110.0,"A, e",13139510
2002-01-24 00:00:00+00:00,110.0,"A, e",13139510
2002-01-25 00:00:00+00:00,114.0,A,13139510
2002-01-26 00:00:00+00:00,118.0,A,13139510
2002-01-27 00:00:00+00:00,113.0,A,13139510
2002-01-28 00:00:00+00:00,110.0,"A, e",13139510
2002-01-29 00:00:00+00:00,100.0,"A, e",13139510
2002-01-30 00:00:00+00:00,100.0,"A, e",13139510
2002-01-31 00:00:00+00:00,110.0,"A, e",13139510
2002-02-01 00:00:00+00:00,110.0,"A, e",13139510
2002-02-02 00:00:00+00:00,110.0,"A, e",13139510
2002-02-03 00:00:00+00:00,110.0,"A, e",13139510
2002-02-04 00:00:00+00:00,110.0,"A, e",13139510
2002-02-05 00:00:00+00:00,110.0,"A, e",13139510
2002-02-06 00:00:00+00:00,110.0,"A, e",13139510
2002-02-07 00:00:00+00:00,118.0,A,13139510
2002-02-08 00:00:00+00:00,117.0,A,13139510
2002-02-09 00:00:00+00:00,113.0,A,13139510
