datetime,00060_Mean,00060_Mean_cd,site_no
2001-10-01 00:00:00+00:00,57.0,A,12452800
2001-10-02 00:00:00+00:00,55.0,A,12452800
2001-10-03 00:00:00+00:00,53.0,A,12452800
2001-10-04 00:00:00+00:00,50.0,A,12452800
2001-10-05 00:00:00+00:00,49.0,A,12452800
2001-10-06 00:00:00+00:00,49.0,A,12452800
2001-10-07 00:00:00+00:00,48.0,A,12452800
2001-10-08 00:00:00+00:00,48.0,A,12452800
2001-10-09 00:00:00+00:00,47.0,A,12452800
2001-10-10 00:00:00+00:00,47.0,A,12452800
2001-10-11 00:00:00+00:00,61.0,A,12452800
2001-10-12 00:00:00+00:00,55.0,A,12452800
2001-10-13 00:00:00+00:00,59.0,A,12452800
2001-10-14 00:00:00+00:00,57.0,A,12452800
2001-10-15 00:00:00+00:00,55.0,A,12452800
2001-10-16 00:00:00+00:00,53.0,A,12452800
2001-10-17 00:00:00+00:00,52.0,A,12452800
2001-10-18 00:00:00+00:00,50.0,A,12452800
2001-10-19 00:00:00+00:00,51.0,A,12452800
2001-10-20 00:00:00+00:00,52.0,A,12452800
2001-10-21 00:00:00+00:00,50.0,A,12452800
2001-10-22 00:00:00+00:00,55.0,A,12452800
2001-10-23 00:00:00+00:00,75.0,A,12452800
2001-10-24 00:00:00+00:00,62.0,A,12452800
2001-10-25 00:00:00+00:00,62.0,A,12452800
2001-10-26 00:00:00+00:00,61.0,A,12452800
2001-10-27 00:00:00+00:00,63.0,A,12452800
2001-10-28 00:00:00+00:00,63.0,A,12452800
2001-10-29 00:00:00+00:00,57.0,A,12452800
2001-10-30 00:00:00+00:00,62.0,A,12452800
2001-10-31 00:00:00+00:00,85.0,A,12452800
2001-11-01 00:00:00+00:00,75.0,A,12452800
2001-11-02 00:00:00+00:00,66.0,A,12452800
2001-11-03 00:00:00+00:00,64.0,A,12452800
2001-11-04 00:00:00+00:00,62.0,A,12452800
2001-11-05 00:00:00+00:00,61.0,A,12452800
2001-11-06 00:00:00+00:00,59.0,A,12452800
2001-11-07 00:00:00+00:00,55.0,A,12452800
2001-11-08 00:00:00+00:00,52.0,A,12452800
2001-11-09 00:00:00+00:00,56.0,A,12452800
2001-11-10 00:00:00+00:00,56.0,A,12452800
2001-11-11 00:00:00+00:00,56.0,A,12452800
2001-11-12 00:00:00+00:00,56.0,A,12452800
2001-11-13 00:00:00+00:00,63.0,A,12452800
2001-11-14 00:00:00+00:00,137.0,A,12452800
2001-11-15 00:00:00+00:00,232.0,A,12452800
2001-11-16 00:00:00+00:00,221.0,A,12452800
2001-11-17 00:00:00+00:00,171.0,A,12452800
2001-11-18 00:00:00+00:00,149.0,A,12452800
2001-11-19 00:00:00+00:00,147.0,A,12452800
2001-11-20 00:00:00+00:00,147.0,A,12452800
2001-11-21 00:00:00+00:00,147.0,A,12452800
2001-11-22 00:00:00+00:00,146.0,A,12452800
2001-11-23 00:00:00+00:00,133.0,A,12452800
2001-11-24 00:00:00+00:00,118.0,A,12452800
2001-11-25 00:00:00+00:00,119.0,A,12452800
2001-11-26 00:00:00+00:00,111.0,A,12452800
2001-11-27 00:00:00+00:00,105.0,A,12452800
2001-11-28 00:00:00+00:00,102.0,A,12452800
2001-11-29 00:00:00+00:00,98.0,A,12452800
2001-11-30 00:00:00+00:00,104.0,A,12452800
2001-12-01 00:00:00+00:00,103.0,A,12452800
2001-12-02 00:00:00+00:00,100.0,A,12452800
2001-12-03 00:00:00+00:00,100.0,A,12452800
2001-12-04 00:00:00+00:00,97.0,A,12452800
2001-12-05 00:00:00+00:00,94.0,A,12452800
2001-12-06 00:00:00+00:00,95.0,A,12452800
2001-12-07 00:00:00+00:00,90.0,A,12452800
2001-12-08 00:00:00+00:00,89.0,A,12452800
2001-12-09 00:00:00+00:00,84.0,A,12452800
2001-12-10 00:00:00+00:00,84.0,A,12452800
2001-12-11 00:00:00+00:00,84.0,A,12452800
2001-12-12 00:00:00+00:00,72.0,A,12452800
2001-12-13 00:00:00+00:00,82.0,A,12452800
2001-12-14 00:00:00+00:00,90.0,A,12452800
2001-12-15 00:00:00+00:00,80.0,A,12452800
2001-12-16 00:00:00+00:00,91.0,A,12452800
2001-12-17 00:00:00+00:00,105.0,A,12452800
2001-12-18 00:00:00+00:00,84.0,A,12452800
2001-12-19 00:00:00+00:00,88.0,A,12452800
2001-12-20 00:00:00+00:00,91.0,A,12452800
2001-12-21 00:00:00+00:00,94.0,A,12452800
2001-12-22 00:00:00+00:00,89.0,A,12452800
2001-12-23 00:00:00+00:00,85.0,A,12452800
2001-12-24 00:00:00+00:00,83.0,A,12452800
2001-12-25 00:00:00+00:00,76.0,A,12452800
2001-12-26 00:00:00+00:00,74.0,A,12452800
2001-12-27 00:00:00+00:00,77.0,A,12452800
2001-12-28 00:00:00+00:00,77.0,A,12452800
2001-12-29 00:00:00+00:00,74.0,A,12452800
2001-12-30 00:00:00+00:00,73.0,A,12452800
2001-12-31 00:00:00+00:00,73.0,A,12452800
2002-01-01 00:00:00+00:00,72.0,A,12452800
2002-01-02 00:00:00+00:00,73.0,A,12452800
2002-01-03 00:00:00+00:00,71.0,A,12452800
2002-01-04 00:00:00+00:00,69.0,A,12452800
2002-01-05 00:00:00+00:00,68.0,A,12452800
2002-01-06 00:00:00+00:00,70.0,A,12452800
2002-01-07 00:00:00+00:00,99.0,A,12452800
2002-01-08 00:00:00+00:00,274.0,A,12452800
2002-01-09 00:00:00+00:00,242.0,A,12452800
