datetime,00060_Mean,00060_Mean_cd,site_no
1985-10-01 00:00:00+00:00,12.0,A,09329050
1985-10-02 00:00:00+00:00,12.0,A,09329050
1985-10-03 00:00:00+00:00,11.8,A,09329050
1985-10-04 00:00:00+00:00,11.5,A,09329050
1985-10-05 00:00:00+00:00,11.2,A,09329050
1985-10-06 00:00:00+00:00,11.7,A,09329050
1985-10-07 00:00:00+00:00,14.1,A,09329050
1985-10-08 00:00:00+00:00,14.3,A,09329050
1985-10-09 00:00:00+00:00,14.7,A,09329050
1985-10-10 00:00:00+00:00,17.4,A,09329050
1985-10-11 00:00:00+00:00,20.7,A,09329050
1985-10-12 00:00:00+00:00,17.3,A,09329050
1985-10-13 00:00:00+00:00,15.5,A,09329050
1985-10-14 00:00:00+00:00,15.3,A,09329050
1985-10-15 00:00:00+00:00,16.2,A,09329050
1985-10-16 00:00:00+00:00,13.3,A,09329050
1985-10-17 00:00:00+00:00,12.9,A,09329050
1985-10-18 00:00:00+00:00,12.5,A,09329050
1985-10-19 00:00:00+00:00,12.3,A,09329050
1985-10-20 00:00:00+00:00,12.6,A,09329050
1985-10-21 00:00:00+00:00,12.7,A,09329050
1985-10-22 00:00:00+00:00,15.0,A,09329050
1985-10-23 00:00:00+00:00,13.6,A,09329050
1985-10-24 00:00:00+00:00,13.4,A,09329050
1985-10-25 00:00:00+00:00,12.9,A,09329050
1985-10-26 00:00:00+00:00,13.0,A,09329050
1985-10-27 00:00:00+00:00,12.5,A,09329050
1985-10-28 00:00:00+00:00,12.8,A,09329050
1985-10-29 00:00:00+00:00,12.9,A,09329050
1985-10-30 00:00:00+00:00,12.8,A,09329050
1985-10-31 00:00:00+00:00,12.3,A,09329050
1985-11-01 00:00:00+00:00,10.0,A,09329050
1985-11-02 00:00:00+00:00,11.0,A,09329050
1985-11-03 00:00:00+00:00,11.8,A,09329050
1985-11-04 00:00:00+00:00,11.9,A,09329050
1985-11-05 00:00:00+00:00,12.8,A,09329050
1985-11-06 00:00:00+00:00,12.0,A,09329050
1985-11-07 00:00:00+00:00,11.0,A,09329050
1985-11-08 00:00:00+00:00,12.5,A,09329050
1985-11-09 00:00:00+00:00,11.0,A,09329050
1985-11-10 00:00:00+00:00,10.0,A,09329050
1985-11-11 00:00:00+00:00,11.2,A,09329050
1985-11-12 00:00:00+00:00,11.0,A,09329050
1985-11-13 00:00:00+00:00,10.0,A,09329050
1985-11-14 00:00:00+00:00,9.6,A,09329050
1985-11-15 00:00:00+00:00,9.4,A,09329050
1985-11-16 00:00:00+00:00,9.9,A,09329050
1985-11-17 00:00:00+00:00,10.0,A,09329050
1985-11-18 00:00:00+00:00,11.0,A,09329050
1985-11-19 00:00:00+00:00,10.0,A,09329050
1985-11-20 00:00:00+00:00,10.0,A,09329050
1985-11-21 00:00:00+00:00,13.2,A,09329050
1985-11-22 00:00:00+00:00,12.6,A,09329050
1985-11-23 00:00:00+00:00,12.1,A,09329050
1985-11-24 00:00:00+00:00,12.2,A,09329050
1985-11-25 00:00:00+00:00,12.2,A,09329050
1985-11-26 00:00:00+00:00,12.4,A,09329050
1985-11-27 00:00:00+00:00,12.0,A,09329050
1985-11-28 00:00:00+00:00,12.0,A,09329050
1985-11-29 00:00:00+00:00,12.0,A,09329050
1985-11-30 00:00:00+00:00,12.1,A,09329050
1985-12-01 00:00:00+00:00,10.5,A,09329050
1985-12-02 00:00:00+00:00,12.6,A,09329050
1985-12-03 00:00:00+00:00,13.0,A,09329050
1985-12-04 00:00:00+00:00,13.2,A,09329050
1985-12-05 00:00:00+00:00,12.2,A,09329050
1985-12-06 00:00:00+00:00,12.0,A,09329050
1985-12-07 00:00:00+00:00,12.0,A,09329050
1985-12-08 00:00:00+00:00,10.9,A,09329050
1985-12-09 00:00:00+00:00,12.0,A,09329050
1985-12-10 00:00:00+00:00,13.0,A,09329050
1985-12-11 00:00:00+00:00,12.4,A,09329050
1985-12-12 00:00:00+00:00,12.0,A,09329050
1985-12-13 00:00:00+00:00,12.8,A,09329050
1985-12-14 00:00:00+00:00,11.5,A,09329050
1985-12-15 00:00:00+00:00,11.0,A,09329050
1985-12-16 00:00:00+00:00,11.0,A,09329050
1985-12-17 00:00:00+00:00,11.0,A,09329050
1985-12-18 00:00:00+00:00,11.0,A,09329050
1985-12-19 00:00:00+00:00,11.0,A,09329050
1985-12-20 00:00:00+00:00,11.0,A,09329050
1985-12-21 00:00:00+00:00,11.0,A,09329050
1985-12-22 00:00:00+00:00,10.4,A,09329050
1985-12-23 00:00:00+00:00,10.6,A,09329050
1985-12-24 00:00:00+00:00,10.6,A,09329050
1985-12-25 00:00:00+00:00,10.6,A,09329050
1985-12-26 00:00:00+00:00,10.4,A,09329050
1985-12-27 00:00:00+00:00,10.3,A,09329050
1985-12-28 00:00:00+00:00,10.8,A,09329050
1985-12-29 00:00:00+00:00,10.2,A,09329050
1985-12-30 00:00:00+00:00,10.5,A,09329050
1985-12-31 00:00:00+00:00,10.5,A,09329050
1986-01-01 00:00:00+00:00,11.4,A,09329050
1986-01-02 00:00:00+00:00,10.2,A,09329050
1986-01-03 00:00:00+00:00,9.9,A,09329050
1986-01-04 00:00:00+00:00,9.89,A,09329050
1986-01-05 00:00:00+00:00,10.1,A,09329050
1986-01-06 00:00:00+00:00,7.2,A,09329050
1986-01-07 00:00:00+00:00,7.2,A,09329050
1986-01-08 00:00:00+00:00,10.1,A,09329050
1986-01-09 00:00:00+00:00,11.0,A,09329050
1986-01-10 00:00:00+00:00,11.0,A,09329050
1986-01-11 00:00:00+00:00,10.1,A,09329050
1986-01-12 00:00:00+00:00,9.95,A,09329050
1986-01-13 00:00:00+00:00,9.86,A,09329050
1986-01-14 00:00:00+00:00,9.85,A,09329050
1986-01-15 00:00:00+00:00,9.79,A,09329050
1986-01-16 00:00:00+00:00,9.97,A,09329050
1986-01-17 00:00:00+00:00,9.38,A,09329050
