datetime,00060_Mean,00060_Mean_cd,site_no
2021-10-01 00:00:00+00:00,35.0,P,08324000
2021-10-02 00:00:00+00:00,30.8,P,08324000
2021-10-03 00:00:00+00:00,27.4,P,08324000
2021-10-04 00:00:00+00:00,21.0,P,08324000
2021-10-05 00:00:00+00:00,18.6,P,08324000
2021-10-06 00:00:00+00:00,18.1,P,08324000
2021-10-07 00:00:00+00:00,16.9,P,08324000
2021-10-08 00:00:00+00:00,16.2,P,08324000
2021-10-09 00:00:00+00:00,15.6,P,08324000
2021-10-10 00:00:00+00:00,12.7,P,08324000
2021-10-11 00:00:00+00:00,10.0,P,08324000
2021-10-12 00:00:00+00:00,12.8,P,08324000
2021-10-13 00:00:00+00:00,14.8,P,08324000
2021-10-14 00:00:00+00:00,15.1,P,08324000
2021-10-15 00:00:00+00:00,15.5,P,08324000
2021-10-16 00:00:00+00:00,15.9,P,08324000
2021-10-17 00:00:00+00:00,14.6,P,08324000
2021-10-18 00:00:00+00:00,11.7,P,08324000
2021-10-19 00:00:00+00:00,12.8,P,08324000
2021-10-20 00:00:00+00:00,15.3,P,08324000
2021-10-21 00:00:00+00:00,15.1,P,08324000
2021-10-22 00:00:00+00:00,15.0,P,08324000
2021-10-23 00:00:00+00:00,15.0,P,08324000
2021-10-24 00:00:00+00:00,13.3,P,08324000
2021-10-25 00:00:00+00:00,11.0,P,08324000
2021-10-26 00:00:00+00:00,11.6,P,08324000
2021-10-27 00:00:00+00:00,14.8,P,08324000
2021-10-28 00:00:00+00:00,13.7,P,08324000
2021-10-29 00:00:00+00:00,14.7,P,08324000
2021-10-30 00:00:00+00:00,15.2,P,08324000
2021-10-31 00:00:00+00:00,14.9,P,08324000
2021-11-01 00:00:00+00:00,15.6,P,08324000
2021-11-02 00:00:00+00:00,14.7,P,08324000
2021-11-03 00:00:00+00:00,14.4,P,08324000
2021-11-04 00:00:00+00:00,13.4,P,08324000
2021-11-05 00:00:00+00:00,12.1,P,08324000
2021-11-06 00:00:00+00:00,12.4,P,08324000
2021-11-07 00:00:00+00:00,12.7,P,08324000
2021-11-08 00:00:00+00:00,13.6,P,08324000
2021-11-09 00:00:00+00:00,13.0,P,08324000
2021-11-10 00:00:00+00:00,13.5,P,08324000
2021-11-11 00:00:00+00:00,15.9,P,08324000
2021-11-12 00:00:00+00:00,14.3,P,08324000
2021-11-13 00:00:00+00:00,15.0,P,08324000
2021-11-14 00:00:00+00:00,14.3,P,08324000
2021-11-15 00:00:00+00:00,12.4,P,08324000
2021-11-16 00:00:00+00:00,12.2,P,08324000
2021-11-17 00:00:00+00:00,12.3,P,08324000
2021-11-18 00:00:00+00:00,11.5,P,08324000
2021-11-19 00:00:00+00:00,12.5,P,08324000
2021-11-20 00:00:00+00:00,15.5,P,08324000
2021-11-21 00:00:00+00:00,15.7,P,08324000
2021-11-22 00:00:00+00:00,14.4,P,08324000
2021-11-23 00:00:00+00:00,14.8,P,08324000
2021-11-24 00:00:00+00:00,19.9,P,08324000
2021-11-25 00:00:00+00:00,18.2,P,08324000
2021-11-26 00:00:00+00:00,14.3,P,08324000
2021-11-27 00:00:00+00:00,16.5,P,08324000
2021-11-28 00:00:00+00:00,15.9,P,08324000
2021-11-29 00:00:00+00:00,16.6,P,08324000
2021-11-30 00:00:00+00:00,14.0,P,08324000
2021-12-01 00:00:00+00:00,14.3,P,08324000
2021-12-02 00:00:00+00:00,15.3,P,08324000
2021-12-03 00:00:00+00:00,14.9,P,08324000
2021-12-04 00:00:00+00:00,15.1,P,08324000
2021-12-05 00:00:00+00:00,14.8,P,08324000
2021-12-06 00:00:00+00:00,14.6,P,08324000
2021-12-07 00:00:00+00:00,13.1,P,08324000
2021-12-08 00:00:00+00:00,13.3,P,08324000
2021-12-09 00:00:00+00:00,15.4,P,08324000
2021-12-10 00:00:00+00:00,17.9,P,08324000
2021-12-11 00:00:00+00:00,11.7,P,08324000
2021-12-12 00:00:00+00:00,13.1,P,08324000
2021-12-13 00:00:00+00:00,16.0,P,08324000
2021-12-14 00:00:00+00:00,18.9,P,08324000
2021-12-15 00:00:00+00:00,20.2,P,08324000
2021-12-16 00:00:00+00:00,14.2,P,08324000
2021-12-17 00:00:00+00:00,18.0,P,08324000
2021-12-18 00:00:00+00:00,13.8,P,08324000
2021-12-19 00:00:00+00:00,12.5,P,08324000
2021-12-20 00:00:00+00:00,15.2,P,08324000
2021-12-21 00:00:00+00:00,16.5,P,08324000
2021-12-22 00:00:00+00:00,16.4,P,08324000
2021-12-23 00:00:00+00:00,18.1,P,08324000
2021-12-24 00:00:00+00:00,21.3,P,08324000
2021-12-25 00:00:00+00:00,24.8,P,08324000
2021-12-26 00:00:00+00:00,20.7,P,08324000
2021-12-27 00:00:00+00:00,20.7,P,08324000
2021-12-28 00:00:00+00:00,19.1,P,08324000
2021-12-29 00:00:00+00:00,18.1,P,08324000
2021-12-30 00:00:00+00:00,16.2,P,08324000
2021-12-31 00:00:00+00:00,16.5,P,08324000
2022-01-01 00:00:00+00:00,19.2,P,08324000
2022-01-02 00:00:00+00:00,10.8,P,08324000
