datetime,00060_Mean,00060_Mean_cd,site_no
2016-10-01 00:00:00+00:00,15.0,A,08248000
2016-10-02 00:00:00+00:00,15.0,A,08248000
2016-10-03 00:00:00+00:00,18.0,A,08248000
2016-10-04 00:00:00+00:00,34.0,A,08248000
2016-10-05 00:00:00+00:00,23.0,A,08248000
2016-10-06 00:00:00+00:00,20.0,A,08248000
2016-10-07 00:00:00+00:00,17.0,A,08248000
2016-10-08 00:00:00+00:00,17.0,A,08248000
2016-10-09 00:00:00+00:00,17.0,A,08248000
2016-10-10 00:00:00+00:00,19.0,A,08248000
2016-10-11 00:00:00+00:00,18.0,A,08248000
2016-10-12 00:00:00+00:00,18.0,A,08248000
2016-10-13 00:00:00+00:00,17.0,A,08248000
2016-10-14 00:00:00+00:00,17.0,A,08248000
2016-10-15 00:00:00+00:00,16.0,A,08248000
2016-10-16 00:00:00+00:00,15.0,A,08248000
2016-10-17 00:00:00+00:00,15.0,A,08248000
2016-10-18 00:00:00+00:00,15.0,A,08248000
2016-10-19 00:00:00+00:00,16.0,A,08248000
2016-10-20 00:00:00+00:00,15.0,A,08248000
2016-10-21 00:00:00+00:00,15.0,A,08248000
2016-10-22 00:00:00+00:00,14.0,A,08248000
2016-10-23 00:00:00+00:00,14.0,A,08248000
2016-10-24 00:00:00+00:00,14.0,A,08248000
2016-10-25 00:00:00+00:00,15.0,A,08248000
2016-10-26 00:00:00+00:00,20.0,A,08248000
2016-10-27 00:00:00+00:00,17.0,A,08248000
2016-10-28 00:00:00+00:00,17.0,A,08248000
2016-10-29 00:00:00+00:00,16.0,A,08248000
2016-10-30 00:00:00+00:00,16.0,A,08248000
2016-10-31 00:00:00+00:00,17.0,A,08248000
2016-11-01 00:00:00+00:00,17.0,A,08248000
2016-11-02 00:00:00+00:00,16.0,A,08248000
2016-11-03 00:00:00+00:00,16.0,A,08248000
2016-11-04 00:00:00+00:00,16.0,A,08248000
2016-11-05 00:00:00+00:00,20.0,A,08248000
2016-11-06 00:00:00+00:00,25.0,A,08248000
2016-11-07 00:00:00+00:00,22.0,A,08248000
2016-11-08 00:00:00+00:00,19.0,A,08248000
2016-11-09 00:00:00+00:00,18.0,A,08248000
2016-11-10 00:00:00+00:00,16.0,A,08248000
2016-11-11 00:00:00+00:00,17.0,A,08248000
2016-11-12 00:00:00+00:00,15.0,A,08248000
2016-11-13 00:00:00+00:00,15.0,A,08248000
2016-11-14 00:00:00+00:00,16.0,A,08248000
2016-11-15 00:00:00+00:00,14.0,A,08248000
2016-11-16 00:00:00+00:00,15.0,A,08248000
2016-11-17 00:00:00+00:00,17.0,A,08248000
2016-11-18 00:00:00+00:00,13.0,"A, e",08248000
2016-11-19 00:00:00+00:00,13.0,"A, e",08248000
2016-11-20 00:00:00+00:00,15.0,"A, e",08248000
2016-11-21 00:00:00+00:00,15.0,"A, e",08248000
2016-11-22 00:00:00+00:00,14.0,"A, e",08248000
2016-11-23 00:00:00+00:00,14.0,"A, e",08248000
2016-11-24 00:00:00+00:00,14.0,"A, e",08248000
2016-11-25 00:00:00+00:00,14.0,"A, e",08248000
2016-11-26 00:00:00+00:00,14.0,"A, e",08248000
2016-11-27 00:00:00+00:00,14.0,"A, e",08248000
2016-11-28 00:00:00+00:00,13.0,"A, e",08248000
2016-11-29 00:00:00+00:00,13.0,"A, e",08248000
2016-11-30 00:00:00+00:00,12.0,"A, e",08248000
2016-12-01 00:00:00+00:00,13.0,"A, e",08248000
2016-12-02 00:00:00+00:00,13.0,"A, e",08248000
2016-12-03 00:00:00+00:00,13.0,"A, e",08248000
2016-12-04 00:00:00+00:00,14.0,"A, e",08248000
2016-12-05 00:00:00+00:00,15.0,"A, e",08248000
2016-12-06 00:00:00+00:00,15.0,"A, e",08248000
2016-12-07 00:00:00+00:00,15.0,"A, e",08248000
2016-12-08 00:00:00+00:00,14.0,"A, e",08248000
2016-12-09 00:00:00+00:00,15.0,"A, e",08248000
2016-12-10 00:00:00+00:00,16.0,"A, e",08248000
2016-12-11 00:00:00+00:00,17.0,"A, e",08248000
2016-12-12 00:00:00+00:00,17.0,"A, e",08248000
2016-12-13 00:00:00+00:00,17.0,"A, e",08248000
2016-12-14 00:00:00+00:00,17.0,"A, e",08248000
2016-12-15 00:00:00+00:00,18.0,"A, e",08248000
2016-12-16 00:00:00+00:00,18.0,"A, e",08248000
2016-12-17 00:00:00+00:00,17.0,"A, e",08248000
2016-12-18 00:00:00+00:00,15.0,"A, e",08248000
2016-12-19 00:00:00+00:00,14.0,"A, e",08248000
2016-12-20 00:00:00+00:00,15.0,"A, e",08248000
2016-12-21 00:00:00+00:00,16.0,"A, e",08248000
2016-12-22 00:00:00+00:00,17.0,"A, e",08248000
2016-12-23 00:00:00+00:00,17.0,"A, e",08248000
2016-12-24 00:00:00+00:00,17.0,"A, e",08248000
2016-12-25 00:00:00+00:00,16.0,"A, e",08248000
2016-12-26 00:00:00+00:00,16.0,"A, e",08248000
2016-12-27 00:00:00+00:00,15.0,"A, e",08248000
2016-12-28 00:00:00+00:00,16.0,"A, e",08248000
2016-12-29 00:00:00+00:00,17.0,"A, e",08248000
2016-12-30 00:00:00+00:00,17.0,"A, e",08248000
2016-12-31 00:00:00+00:00,17.0,"A, e",08248000
2017-01-01 00:00:00+00:00,17.0,"A, e",08248000
2017-01-02 00:00:00+00:00,18.0,"A, e",08248000
2017-01-03 00:00:00+00:00,18.0,"A, e",08248000
2017-01-04 00:00:00+00:00,18.0,"A, e",08248000
2017-01-05 00:00:00+00:00,18.0,"A, e",08248000
2017-01-06 00:00:00+00:00,17.0,"A, e",08248000
2017-01-07 00:00:00+00:00,15.0,"A, e",08248000
2017-01-08 00:00:00+00:00,15.0,"A, e",08248000
2017-01-09 00:00:00+00:00,17.0,"A, e",08248000
2017-01-10 00:00:00+00:00,19.0,"A, e",08248000
2017-01-11 00:00:00+00:00,19.0,"A, e",08248000
2017-01-12 00:00:00+00:00,18.0,"A, e",08248000
2017-01-13 00:00:00+00:00,18.0,"A, e",08248000
2017-01-14 00:00:00+00:00,18.0,"A, e",08248000
2017-01-15 00:00:00+00:00,18.0,"A, e",08248000
2017-01-16 00:00:00+00:00,18.0,"A, e",08248000
2017-01-17 00:00:00+00:00,18.0,"A, e",08248000
2017-01-18 00:00:00+00:00,17.0,"A, e",08248000
2017-01-19 00:00:00+00:00,17.0,"A, e",08248000
2017-01-20 00:00:00+00:00,17.0,"A, e",08248000
2017-01-21 00:00:00+00:00,18.0,"A, e",08248000
2017-01-22 00:00:00+00:00,17.0,"A, e",08248000
2017-01-23 00:00:00+00:00,18.0,"A, e",08248000
2017-01-24 00:00:00+00:00,18.0,"A, e",08248000
2017-01-25 00:00:00+00:00,17.0,"A, e",08248000
2017-01-26 00:00:00+00:00,16.0,"A, e",08248000
2017-01-27 00:00:00+00:00,15.0,"A, e",08248000
2017-01-28 00:00:00+00:00,16.0,"A, e",08248000
2017-01-29 00:00:00+00:00,17.0,"A, e",08248000
2017-01-30 00:00:00+00:00,18.0,"A, e",08248000
2017-01-31 00:00:00+00:00,18.0,"A, e",08248000
2017-02-01 00:00:00+00:00,19.0,"A, e",08248000
2017-02-02 00:00:00+00:00,19.0,"A, e",08248000
2017-02-03 00:00:00+00:00,19.0,"A, e",08248000
2017-02-04 00:00:00+00:00,19.0,"A, e",08248000
2017-02-05 00:00:00+00:00,19.0,"A, e",08248000
2017-02-06 00:00:00+00:00,19.0,"A, e",08248000
2017-02-07 00:00:00+00:00,19.0,"A, e",08248000
2017-02-08 00:00:00+00:00,20.0,"A, e",08248000
2017-02-09 00:00:00+00:00,20.0,"A, e",08248000
2017-02-10 00:00:00+00:00,20.0,"A, e",08248000
2017-02-11 00:00:00+00:00,20.0,"A, e",08248000
2017-02-12 00:00:00+00:00,20.0,"A, e",08248000
2017-02-13 00:00:00+00:00,20.0,"A, e",08248000
2017-02-14 00:00:00+00:00,20.0,"A, e",08248000
2017-02-15 00:00:00+00:00,20.0,"A, e",08248000
2017-02-16 00:00:00+00:00,20.0,"A, e",08248000
2017-02-17 00:00:00+00:00,21.0,"A, e",08248000
2017-02-18 00:00:00+00:00,22.0,"A, e",08248000
2017-02-19 00:00:00+00:00,22.0,"A, e",08248000
2017-02-20 00:00:00+00:00,22.0,"A, e",08248000
2017-02-21 00:00:00+00:00,22.0,"A, e",08248000
