datetime,00060_Mean,00060_Mean_cd,site_no
2004-10-01 00:00:00+00:00,67.5,A,12342500
2004-10-02 00:00:00+00:00,68.0,A,12342500
2004-10-03 00:00:00+00:00,68.5,A,12342500
2004-10-04 00:00:00+00:00,69.1,A,12342500
2004-10-05 00:00:00+00:00,69.1,A,12342500
2004-10-06 00:00:00+00:00,69.1,A,12342500
2004-10-07 00:00:00+00:00,69.1,A,12342500
2004-10-08 00:00:00+00:00,69.1,A,12342500
2004-10-09 00:00:00+00:00,69.1,A,12342500
2004-10-10 00:00:00+00:00,69.1,A,12342500
2004-10-11 00:00:00+00:00,69.1,A,12342500
2004-10-12 00:00:00+00:00,69.1,A,12342500
2004-10-13 00:00:00+00:00,64.4,A,12342500
2004-10-14 00:00:00+00:00,59.6,A,12342500
2004-10-15 00:00:00+00:00,59.6,A,12342500
2004-10-16 00:00:00+00:00,60.3,A,12342500
2004-10-17 00:00:00+00:00,61.1,A,12342500
2004-10-18 00:00:00+00:00,61.1,A,12342500
2004-10-19 00:00:00+00:00,61.1,A,12342500
2004-10-20 00:00:00+00:00,61.1,A,12342500
2004-10-21 00:00:00+00:00,61.1,A,12342500
2004-10-22 00:00:00+00:00,61.1,A,12342500
2004-10-23 00:00:00+00:00,61.1,A,12342500
2004-10-24 00:00:00+00:00,61.1,A,12342500
2004-10-25 00:00:00+00:00,61.1,A,12342500
2004-10-26 00:00:00+00:00,61.1,A,12342500
2004-10-27 00:00:00+00:00,61.1,A,12342500
2004-10-28 00:00:00+00:00,61.1,A,12342500
2004-10-29 00:00:00+00:00,61.1,A,12342500
2004-10-30 00:00:00+00:00,61.1,A,12342500
2004-10-31 00:00:00+00:00,59.7,A,12342500
2004-11-01 00:00:00+00:00,59.6,A,12342500
2004-11-02 00:00:00+00:00,59.6,A,12342500
2004-11-03 00:00:00+00:00,59.6,A,12342500
2004-11-04 00:00:00+00:00,59.6,A,12342500
2004-11-05 00:00:00+00:00,59.6,A,12342500
2004-11-06 00:00:00+00:00,59.6,A,12342500
2004-11-07 00:00:00+00:00,59.6,A,12342500
2004-11-08 00:00:00+00:00,59.6,A,12342500
2004-11-09 00:00:00+00:00,59.6,A,12342500
2004-11-10 00:00:00+00:00,59.6,A,12342500
2004-11-11 00:00:00+00:00,59.6,A,12342500
2004-11-12 00:00:00+00:00,59.6,A,12342500
2004-11-13 00:00:00+00:00,59.6,A,12342500
2004-11-14 00:00:00+00:00,59.6,A,12342500
2004-11-15 00:00:00+00:00,59.6,A,12342500
2004-11-16 00:00:00+00:00,59.6,A,12342500
2004-11-17 00:00:00+00:00,59.6,A,12342500
2004-11-18 00:00:00+00:00,59.4,A,12342500
2004-11-19 00:00:00+00:00,58.1,A,12342500
2004-11-20 00:00:00+00:00,58.1,A,12342500
2004-11-21 00:00:00+00:00,58.1,A,12342500
2004-11-22 00:00:00+00:00,58.1,A,12342500
2004-11-23 00:00:00+00:00,58.1,A,12342500
2004-11-24 00:00:00+00:00,58.1,A,12342500
2004-11-25 00:00:00+00:00,58.1,A,12342500
2004-11-26 00:00:00+00:00,58.1,A,12342500
2004-11-27 00:00:00+00:00,58.1,A,12342500
2004-11-28 00:00:00+00:00,58.1,A,12342500
2004-11-29 00:00:00+00:00,58.1,A,12342500
2004-11-30 00:00:00+00:00,58.1,A,12342500
2004-12-01 00:00:00+00:00,58.1,A,12342500
2004-12-02 00:00:00+00:00,58.1,A,12342500
2004-12-03 00:00:00+00:00,58.1,A,12342500
2004-12-04 00:00:00+00:00,58.1,A,12342500
2004-12-05 00:00:00+00:00,58.1,A,12342500
2004-12-06 00:00:00+00:00,58.1,A,12342500
2004-12-07 00:00:00+00:00,69.3,A,12342500
2004-12-08 00:00:00+00:00,70.2,A,12342500
2004-12-09 00:00:00+00:00,59.6,A,12342500
2004-12-10 00:00:00+00:00,59.6,A,12342500
2004-12-11 00:00:00+00:00,59.6,A,12342500
2004-12-12 00:00:00+00:00,60.9,A,12342500
2004-12-13 00:00:00+00:00,61.0,A,12342500
2004-12-14 00:00:00+00:00,60.5,A,12342500
2004-12-15 00:00:00+00:00,61.0,A,12342500
2004-12-16 00:00:00+00:00,59.8,A,12342500
2004-12-17 00:00:00+00:00,59.6,A,12342500
2004-12-18 00:00:00+00:00,59.6,A,12342500
2004-12-19 00:00:00+00:00,59.7,A,12342500
2004-12-20 00:00:00+00:00,59.9,A,12342500
2004-12-21 00:00:00+00:00,59.6,A,12342500
2004-12-22 00:00:00+00:00,59.8,A,12342500
2004-12-23 00:00:00+00:00,59.6,A,12342500
2004-12-24 00:00:00+00:00,59.6,A,12342500
2004-12-25 00:00:00+00:00,59.6,A,12342500
2004-12-26 00:00:00+00:00,59.6,A,12342500
2004-12-27 00:00:00+00:00,59.6,A,12342500
2004-12-28 00:00:00+00:00,59.6,A,12342500
2004-12-29 00:00:00+00:00,59.6,A,12342500
2004-12-30 00:00:00+00:00,59.6,A,12342500
2004-12-31 00:00:00+00:00,59.6,A,12342500
2005-01-01 00:00:00+00:00,59.6,A,12342500
2005-01-02 00:00:00+00:00,61.0,A,12342500
2005-01-03 00:00:00+00:00,61.1,A,12342500
2005-01-04 00:00:00+00:00,61.1,A,12342500
2005-01-05 00:00:00+00:00,61.1,A,12342500
2005-01-06 00:00:00+00:00,61.1,A,12342500
