datetime,00060_Mean,00060_Mean_cd,site_no
2018-10-01 00:00:00+00:00,6.06,A,10194200
2018-10-02 00:00:00+00:00,6.94,A,10194200
2018-10-03 00:00:00+00:00,9.76,A,10194200
2018-10-04 00:00:00+00:00,17.4,A,10194200
2018-10-05 00:00:00+00:00,14.0,A,10194200
2018-10-06 00:00:00+00:00,14.6,A,10194200
2018-10-07 00:00:00+00:00,23.6,A,10194200
2018-10-08 00:00:00+00:00,24.2,A,10194200
2018-10-09 00:00:00+00:00,18.2,A,10194200
2018-10-10 00:00:00+00:00,21.9,A,10194200
2018-10-11 00:00:00+00:00,19.5,A,10194200
2018-10-12 00:00:00+00:00,19.2,A,10194200
2018-10-13 00:00:00+00:00,18.3,A,10194200
2018-10-14 00:00:00+00:00,17.2,A,10194200
2018-10-15 00:00:00+00:00,15.5,A,10194200
2018-10-16 00:00:00+00:00,15.1,A,10194200
2018-10-17 00:00:00+00:00,15.4,A,10194200
2018-10-18 00:00:00+00:00,14.6,A,10194200
2018-10-19 00:00:00+00:00,14.2,A,10194200
2018-10-20 00:00:00+00:00,14.1,A,10194200
2018-10-21 00:00:00+00:00,14.4,A,10194200
2018-10-22 00:00:00+00:00,17.8,A,10194200
2018-10-23 00:00:00+00:00,19.6,A,10194200
2018-10-24 00:00:00+00:00,17.2,A,10194200
2018-10-25 00:00:00+00:00,16.5,A,10194200
2018-10-26 00:00:00+00:00,16.4,A,10194200
2018-10-27 00:00:00+00:00,16.3,A,10194200
2018-10-28 00:00:00+00:00,16.0,A,10194200
2018-10-29 00:00:00+00:00,15.9,A,10194200
2018-10-30 00:00:00+00:00,16.2,A,10194200
2018-10-31 00:00:00+00:00,16.2,A,10194200
2018-11-01 00:00:00+00:00,16.3,A,10194200
2018-11-02 00:00:00+00:00,16.2,A,10194200
2018-11-03 00:00:00+00:00,15.6,A,10194200
2018-11-04 00:00:00+00:00,15.3,A,10194200
2018-11-05 00:00:00+00:00,15.2,A,10194200
2018-11-06 00:00:00+00:00,14.6,A,10194200
2018-11-07 00:00:00+00:00,13.2,A,10194200
2018-11-08 00:00:00+00:00,12.7,A,10194200
2018-11-09 00:00:00+00:00,10.2,A,10194200
2018-11-10 00:00:00+00:00,12.1,A,10194200
2018-11-11 00:00:00+00:00,13.2,A,10194200
2018-11-12 00:00:00+00:00,8.44,A,10194200
2018-11-13 00:00:00+00:00,9.28,A,10194200
2018-11-14 00:00:00+00:00,13.4,A,10194200
2018-11-15 00:00:00+00:00,14.5,A,10194200
2018-11-16 00:00:00+00:00,14.0,A,10194200
2018-11-17 00:00:00+00:00,13.9,A,10194200
2018-11-18 00:00:00+00:00,12.7,A,10194200
2018-11-19 00:00:00+00:00,7.34,A,10194200
2018-11-20 00:00:00+00:00,7.17,A,10194200
2018-11-21 00:00:00+00:00,9.16,A,10194200
2018-11-22 00:00:00+00:00,17.1,A,10194200
2018-11-23 00:00:00+00:00,14.3,A,10194200
2018-11-24 00:00:00+00:00,13.0,A,10194200
2018-11-25 00:00:00+00:00,6.98,A,10194200
2018-11-26 00:00:00+00:00,5.76,A,10194200
2018-11-27 00:00:00+00:00,12.6,A,10194200
2018-11-28 00:00:00+00:00,16.9,A,10194200
2018-11-29 00:00:00+00:00,14.3,A,10194200
2018-11-30 00:00:00+00:00,14.6,A,10194200
2018-12-01 00:00:00+00:00,12.5,A,10194200
2018-12-02 00:00:00+00:00,13.1,A,10194200
2018-12-03 00:00:00+00:00,6.14,A,10194200
2018-12-04 00:00:00+00:00,4.77,"A, e",10194200
2018-12-05 00:00:00+00:00,11.7,A,10194200
2018-12-06 00:00:00+00:00,15.4,A,10194200
2018-12-07 00:00:00+00:00,13.9,A,10194200
2018-12-08 00:00:00+00:00,12.7,A,10194200
2018-12-09 00:00:00+00:00,10.9,A,10194200
2018-12-10 00:00:00+00:00,9.9,A,10194200
2018-12-11 00:00:00+00:00,13.7,A,10194200
2018-12-12 00:00:00+00:00,9.91,A,10194200
2018-12-13 00:00:00+00:00,4.18,A,10194200
2018-12-14 00:00:00+00:00,7.07,A,10194200
2018-12-15 00:00:00+00:00,13.5,A,10194200
2018-12-16 00:00:00+00:00,11.2,A,10194200
2018-12-17 00:00:00+00:00,12.5,A,10194200
2018-12-18 00:00:00+00:00,12.9,A,10194200
2018-12-19 00:00:00+00:00,12.1,A,10194200
2018-12-20 00:00:00+00:00,10.9,A,10194200
2018-12-21 00:00:00+00:00,13.1,A,10194200
2018-12-22 00:00:00+00:00,12.1,A,10194200
2018-12-23 00:00:00+00:00,10.9,A,10194200
2018-12-24 00:00:00+00:00,12.3,A,10194200
2018-12-25 00:00:00+00:00,12.1,A,10194200
2018-12-26 00:00:00+00:00,11.6,A,10194200
2018-12-27 00:00:00+00:00,5.24,A,10194200
2018-12-28 00:00:00+00:00,9.58,A,10194200
2018-12-29 00:00:00+00:00,3.71,A,10194200
2018-12-30 00:00:00+00:00,5.29,A,10194200
2018-12-31 00:00:00+00:00,8.95,A,10194200
2019-01-01 00:00:00+00:00,5.85,A,10194200
2019-01-02 00:00:00+00:00,3.32,A,10194200
2019-01-03 00:00:00+00:00,3.97,A,10194200
2019-01-04 00:00:00+00:00,5.23,A,10194200
2019-01-05 00:00:00+00:00,7.63,A,10194200
2019-01-06 00:00:00+00:00,10.0,A,10194200
2019-01-07 00:00:00+00:00,10.8,A,10194200
2019-01-08 00:00:00+00:00,11.1,A,10194200
2019-01-09 00:00:00+00:00,12.4,A,10194200
2019-01-10 00:00:00+00:00,12.3,A,10194200
2019-01-11 00:00:00+00:00,12.7,A,10194200
2019-01-12 00:00:00+00:00,11.3,A,10194200
2019-01-13 00:00:00+00:00,10.6,A,10194200
2019-01-14 00:00:00+00:00,10.8,A,10194200
2019-01-15 00:00:00+00:00,12.9,A,10194200
2019-01-16 00:00:00+00:00,12.2,A,10194200
2019-01-17 00:00:00+00:00,12.6,A,10194200
2019-01-18 00:00:00+00:00,14.4,A,10194200
2019-01-19 00:00:00+00:00,11.4,A,10194200
2019-01-20 00:00:00+00:00,13.1,A,10194200
2019-01-21 00:00:00+00:00,12.4,A,10194200
2019-01-22 00:00:00+00:00,9.44,A,10194200
2019-01-23 00:00:00+00:00,4.96,A,10194200
2019-01-24 00:00:00+00:00,15.0,A,10194200
2019-01-25 00:00:00+00:00,10.4,A,10194200
2019-01-26 00:00:00+00:00,10.1,A,10194200
2019-01-27 00:00:00+00:00,11.9,A,10194200
2019-01-28 00:00:00+00:00,12.0,A,10194200
2019-01-29 00:00:00+00:00,11.9,A,10194200
2019-01-30 00:00:00+00:00,6.66,A,10194200
2019-01-31 00:00:00+00:00,9.96,A,10194200
2019-02-01 00:00:00+00:00,11.8,A,10194200
2019-02-02 00:00:00+00:00,15.4,A,10194200
2019-02-03 00:00:00+00:00,24.8,A,10194200
2019-02-04 00:00:00+00:00,15.1,A,10194200
2019-02-05 00:00:00+00:00,13.6,A,10194200
2019-02-06 00:00:00+00:00,8.9,A,10194200
2019-02-07 00:00:00+00:00,7.52,A,10194200
2019-02-08 00:00:00+00:00,9.77,A,10194200
2019-02-09 00:00:00+00:00,12.8,A,10194200
2019-02-10 00:00:00+00:00,11.8,A,10194200
2019-02-11 00:00:00+00:00,10.2,A,10194200
2019-02-12 00:00:00+00:00,11.7,A,10194200
2019-02-13 00:00:00+00:00,15.2,A,10194200
2019-02-14 00:00:00+00:00,17.3,A,10194200
2019-02-15 00:00:00+00:00,23.5,A,10194200
2019-02-16 00:00:00+00:00,16.9,A,10194200
2019-02-17 00:00:00+00:00,13.1,A,10194200
2019-02-18 00:00:00+00:00,11.2,A,10194200
2019-02-19 00:00:00+00:00,13.4,A,10194200
2019-02-20 00:00:00+00:00,7.17,A,10194200
2019-02-21 00:00:00+00:00,14.8,A,10194200
2019-02-22 00:00:00+00:00,13.2,A,10194200
2019-02-23 00:00:00+00:00,9.65,A,10194200
2019-02-24 00:00:00+00:00,12.5,A,10194200
2019-02-25 00:00:00+00:00,15.7,A,10194200
2019-02-26 00:00:00+00:00,17.5,A,10194200
2019-02-27 00:00:00+00:00,19.6,A,10194200
2019-02-28 00:00:00+00:00,20.8,A,10194200
2019-03-01 00:00:00+00:00,27.8,A,10194200
2019-03-02 00:00:00+00:00,27.4,A,10194200
2019-03-03 00:00:00+00:00,27.0,A,10194200
2019-03-04 00:00:00+00:00,27.1,A,10194200
2019-03-05 00:00:00+00:00,23.0,A,10194200
2019-03-06 00:00:00+00:00,54.7,A,10194200
2019-03-07 00:00:00+00:00,46.1,A,10194200
2019-03-08 00:00:00+00:00,35.8,A,10194200
2019-03-09 00:00:00+00:00,27.9,A,10194200
2019-03-10 00:00:00+00:00,24.3,A,10194200
2019-03-11 00:00:00+00:00,21.9,A,10194200
2019-03-12 00:00:00+00:00,21.3,A,10194200
2019-03-13 00:00:00+00:00,23.3,A,10194200
2019-03-14 00:00:00+00:00,21.9,A,10194200
2019-03-15 00:00:00+00:00,19.9,A,10194200
2019-03-16 00:00:00+00:00,21.2,A,10194200
2019-03-17 00:00:00+00:00,24.3,A,10194200
