datetime,00060_Mean,00060_Mean_cd,site_no
2018-10-01 00:00:00+00:00,142.0,A,11292900
2018-10-02 00:00:00+00:00,142.0,A,11292900
2018-10-03 00:00:00+00:00,145.0,A,11292900
2018-10-04 00:00:00+00:00,144.0,A,11292900
2018-10-05 00:00:00+00:00,144.0,A,11292900
2018-10-06 00:00:00+00:00,144.0,A,11292900
2018-10-07 00:00:00+00:00,144.0,A,11292900
2018-10-08 00:00:00+00:00,144.0,A,11292900
2018-10-09 00:00:00+00:00,144.0,A,11292900
2018-10-10 00:00:00+00:00,144.0,A,11292900
2018-10-11 00:00:00+00:00,144.0,A,11292900
2018-10-12 00:00:00+00:00,144.0,A,11292900
2018-10-13 00:00:00+00:00,144.0,A,11292900
2018-10-14 00:00:00+00:00,144.0,A,11292900
2018-10-15 00:00:00+00:00,144.0,A,11292900
2018-10-16 00:00:00+00:00,144.0,A,11292900
2018-10-17 00:00:00+00:00,144.0,A,11292900
2018-10-18 00:00:00+00:00,144.0,A,11292900
2018-10-19 00:00:00+00:00,143.0,A,11292900
2018-10-20 00:00:00+00:00,142.0,A,11292900
2018-10-21 00:00:00+00:00,78.0,A,11292900
2018-10-22 00:00:00+00:00,35.5,A,11292900
2018-10-23 00:00:00+00:00,34.1,A,11292900
2018-10-24 00:00:00+00:00,99.7,A,11292900
2018-10-25 00:00:00+00:00,147.0,A,11292900
2018-10-26 00:00:00+00:00,139.0,A,11292900
2018-10-27 00:00:00+00:00,140.0,A,11292900
2018-10-28 00:00:00+00:00,141.0,A,11292900
2018-10-29 00:00:00+00:00,143.0,A,11292900
2018-10-30 00:00:00+00:00,143.0,A,11292900
2018-10-31 00:00:00+00:00,143.0,A,11292900
2018-11-01 00:00:00+00:00,144.0,A,11292900
2018-11-02 00:00:00+00:00,145.0,A,11292900
2018-11-03 00:00:00+00:00,145.0,A,11292900
2018-11-04 00:00:00+00:00,145.0,A,11292900
2018-11-05 00:00:00+00:00,145.0,A,11292900
2018-11-06 00:00:00+00:00,145.0,A,11292900
2018-11-07 00:00:00+00:00,145.0,A,11292900
2018-11-08 00:00:00+00:00,145.0,A,11292900
2018-11-09 00:00:00+00:00,145.0,A,11292900
2018-11-10 00:00:00+00:00,145.0,A,11292900
2018-11-11 00:00:00+00:00,145.0,A,11292900
2018-11-12 00:00:00+00:00,145.0,A,11292900
2018-11-13 00:00:00+00:00,145.0,A,11292900
2018-11-14 00:00:00+00:00,145.0,A,11292900
2018-11-15 00:00:00+00:00,145.0,A,11292900
2018-11-16 00:00:00+00:00,145.0,A,11292900
2018-11-17 00:00:00+00:00,145.0,A,11292900
2018-11-18 00:00:00+00:00,145.0,A,11292900
2018-11-19 00:00:00+00:00,145.0,A,11292900
2018-11-20 00:00:00+00:00,145.0,A,11292900
2018-11-21 00:00:00+00:00,144.0,A,11292900
2018-11-22 00:00:00+00:00,141.0,A,11292900
2018-11-23 00:00:00+00:00,141.0,A,11292900
2018-11-24 00:00:00+00:00,141.0,A,11292900
2018-11-25 00:00:00+00:00,141.0,A,11292900
2018-11-26 00:00:00+00:00,141.0,A,11292900
2018-11-27 00:00:00+00:00,141.0,A,11292900
2018-11-28 00:00:00+00:00,141.0,A,11292900
2018-11-29 00:00:00+00:00,141.0,A,11292900
2018-11-30 00:00:00+00:00,141.0,A,11292900
2018-12-01 00:00:00+00:00,141.0,A,11292900
2018-12-02 00:00:00+00:00,141.0,A,11292900
2018-12-03 00:00:00+00:00,141.0,A,11292900
2018-12-04 00:00:00+00:00,141.0,A,11292900
2018-12-05 00:00:00+00:00,141.0,A,11292900
2018-12-06 00:00:00+00:00,141.0,A,11292900
