datetime,00060_Mean,00060_Mean_cd,site_no
1988-10-01 00:00:00+00:00,190.0,A,15896000
1988-10-02 00:00:00+00:00,180.0,A,15896000
1988-10-03 00:00:00+00:00,170.0,A,15896000
1988-10-04 00:00:00+00:00,170.0,A,15896000
1988-10-05 00:00:00+00:00,160.0,A,15896000
1988-10-06 00:00:00+00:00,160.0,A,15896000
1988-10-07 00:00:00+00:00,150.0,A,15896000
1988-10-08 00:00:00+00:00,140.0,A,15896000
1988-10-09 00:00:00+00:00,140.0,A,15896000
1988-10-10 00:00:00+00:00,130.0,A,15896000
1988-10-11 00:00:00+00:00,120.0,A,15896000
1988-10-12 00:00:00+00:00,120.0,A,15896000
1988-10-13 00:00:00+00:00,110.0,A,15896000
1988-10-14 00:00:00+00:00,110.0,A,15896000
1988-10-15 00:00:00+00:00,100.0,A,15896000
1988-10-16 00:00:00+00:00,90.0,A,15896000
1988-10-17 00:00:00+00:00,80.0,A,15896000
1988-10-18 00:00:00+00:00,70.0,A,15896000
1988-10-19 00:00:00+00:00,60.0,A,15896000
1988-10-20 00:00:00+00:00,50.0,A,15896000
1988-10-21 00:00:00+00:00,40.0,A,15896000
1988-10-22 00:00:00+00:00,30.0,A,15896000
1988-10-23 00:00:00+00:00,30.0,A,15896000
1988-10-24 00:00:00+00:00,25.0,A,15896000
1988-10-25 00:00:00+00:00,20.0,A,15896000
1988-10-26 00:00:00+00:00,18.0,A,15896000
1988-10-27 00:00:00+00:00,16.0,A,15896000
1988-10-28 00:00:00+00:00,14.0,A,15896000
1988-10-29 00:00:00+00:00,12.0,A,15896000
1988-10-30 00:00:00+00:00,10.0,A,15896000
1988-10-31 00:00:00+00:00,10.0,A,15896000
1988-11-01 00:00:00+00:00,8.0,A,15896000
1988-11-02 00:00:00+00:00,6.0,A,15896000
1988-11-03 00:00:00+00:00,4.0,A,15896000
1988-11-04 00:00:00+00:00,2.0,A,15896000
1988-11-05 00:00:00+00:00,2.0,A,15896000
1988-11-06 00:00:00+00:00,1.0,A,15896000
1988-11-07 00:00:00+00:00,1.0,A,15896000
1988-11-08 00:00:00+00:00,1.0,A,15896000
1988-11-09 00:00:00+00:00,0.0,A,15896000
1988-11-10 00:00:00+00:00,0.0,A,15896000
1988-11-11 00:00:00+00:00,0.0,A,15896000
1988-11-12 00:00:00+00:00,0.0,A,15896000
1988-11-13 00:00:00+00:00,0.0,A,15896000
1988-11-14 00:00:00+00:00,0.0,A,15896000
1988-11-15 00:00:00+00:00,0.0,A,15896000
1988-11-16 00:00:00+00:00,0.0,A,15896000
1988-11-17 00:00:00+00:00,0.0,A,15896000
1988-11-18 00:00:00+00:00,0.0,A,15896000
1988-11-19 00:00:00+00:00,0.0,A,15896000
1988-11-20 00:00:00+00:00,0.0,A,15896000
1988-11-21 00:00:00+00:00,0.0,A,15896000
1988-11-22 00:00:00+00:00,0.0,A,15896000
1988-11-23 00:00:00+00:00,0.0,A,15896000
1988-11-24 00:00:00+00:00,0.0,A,15896000
1988-11-25 00:00:00+00:00,0.0,A,15896000
1988-11-26 00:00:00+00:00,0.0,A,15896000
1988-11-27 00:00:00+00:00,0.0,A,15896000
1988-11-28 00:00:00+00:00,0.0,A,15896000
1988-11-29 00:00:00+00:00,0.0,A,15896000
1988-11-30 00:00:00+00:00,0.0,A,15896000
1988-12-01 00:00:00+00:00,0.0,A,15896000
1988-12-02 00:00:00+00:00,0.0,A,15896000
1988-12-03 00:00:00+00:00,0.0,A,15896000
1988-12-04 00:00:00+00:00,0.0,A,15896000
1988-12-05 00:00:00+00:00,0.0,A,15896000
1988-12-06 00:00:00+00:00,0.0,A,15896000
1988-12-07 00:00:00+00:00,0.0,A,15896000
1988-12-08 00:00:00+00:00,0.0,A,15896000
1988-12-09 00:00:00+00:00,0.0,A,15896000
1988-12-10 00:00:00+00:00,0.0,A,15896000
1988-12-11 00:00:00+00:00,0.0,A,15896000
1988-12-12 00:00:00+00:00,0.0,A,15896000
1988-12-13 00:00:00+00:00,0.0,A,15896000
1988-12-14 00:00:00+00:00,0.0,A,15896000
1988-12-15 00:00:00+00:00,0.0,A,15896000
1988-12-16 00:00:00+00:00,0.0,A,15896000
1988-12-17 00:00:00+00:00,0.0,A,15896000
1988-12-18 00:00:00+00:00,0.0,A,15896000
1988-12-19 00:00:00+00:00,0.0,A,15896000
1988-12-20 00:00:00+00:00,0.0,A,15896000
