datetime,00060_Mean,00060_Mean_cd,site_no
1988-10-01 00:00:00+00:00,23.0,A,13148500
1988-10-02 00:00:00+00:00,25.0,A,13148500
1988-10-03 00:00:00+00:00,26.0,A,13148500
1988-10-04 00:00:00+00:00,26.0,A,13148500
1988-10-05 00:00:00+00:00,26.0,A,13148500
1988-10-06 00:00:00+00:00,26.0,A,13148500
1988-10-07 00:00:00+00:00,26.0,A,13148500
1988-10-08 00:00:00+00:00,27.0,A,13148500
1988-10-09 00:00:00+00:00,27.0,A,13148500
1988-10-10 00:00:00+00:00,27.0,A,13148500
1988-10-11 00:00:00+00:00,27.0,A,13148500
1988-10-12 00:00:00+00:00,27.0,A,13148500
1988-10-13 00:00:00+00:00,27.0,A,13148500
1988-10-14 00:00:00+00:00,27.0,A,13148500
1988-10-15 00:00:00+00:00,27.0,A,13148500
1988-10-16 00:00:00+00:00,28.0,A,13148500
1988-10-17 00:00:00+00:00,28.0,A,13148500
1988-10-18 00:00:00+00:00,28.0,A,13148500
1988-10-19 00:00:00+00:00,28.0,A,13148500
1988-10-20 00:00:00+00:00,28.0,A,13148500
1988-10-21 00:00:00+00:00,28.0,A,13148500
1988-10-22 00:00:00+00:00,28.0,A,13148500
1988-10-23 00:00:00+00:00,27.0,A,13148500
1988-10-24 00:00:00+00:00,27.0,A,13148500
1988-10-25 00:00:00+00:00,27.0,A,13148500
1988-10-26 00:00:00+00:00,27.0,A,13148500
1988-10-27 00:00:00+00:00,27.0,A,13148500
1988-10-28 00:00:00+00:00,27.0,A,13148500
1988-10-29 00:00:00+00:00,26.0,A,13148500
1988-10-30 00:00:00+00:00,26.0,A,13148500
1988-10-31 00:00:00+00:00,20.0,A,13148500
1988-11-01 00:00:00+00:00,4.8,A,13148500
1988-11-02 00:00:00+00:00,2.9,A,13148500
1988-11-03 00:00:00+00:00,2.7,A,13148500
1988-11-04 00:00:00+00:00,2.5,A,13148500
1988-11-05 00:00:00+00:00,2.1,A,13148500
1988-11-06 00:00:00+00:00,2.1,A,13148500
1988-11-07 00:00:00+00:00,1.8,A,13148500
1988-11-08 00:00:00+00:00,1.8,A,13148500
1988-11-09 00:00:00+00:00,1.8,A,13148500
1988-11-10 00:00:00+00:00,1.8,A,13148500
1988-11-11 00:00:00+00:00,1.8,A,13148500
1988-11-12 00:00:00+00:00,1.6,A,13148500
1988-11-13 00:00:00+00:00,1.6,A,13148500
1988-11-14 00:00:00+00:00,1.6,A,13148500
1988-11-15 00:00:00+00:00,1.4,A,13148500
1988-11-16 00:00:00+00:00,1.4,A,13148500
1988-11-17 00:00:00+00:00,1.6,A,13148500
1988-11-18 00:00:00+00:00,1.6,A,13148500
1988-11-19 00:00:00+00:00,1.5,A,13148500
1988-11-20 00:00:00+00:00,1.2,A,13148500
1988-11-21 00:00:00+00:00,1.2,A,13148500
1988-11-22 00:00:00+00:00,1.5,A,13148500
1988-11-23 00:00:00+00:00,3.4,A,13148500
1988-11-24 00:00:00+00:00,3.0,A,13148500
1988-11-25 00:00:00+00:00,2.5,A,13148500
1988-11-26 00:00:00+00:00,2.1,A,13148500
1988-11-27 00:00:00+00:00,1.9,A,13148500
1988-11-28 00:00:00+00:00,2.0,A,13148500
1988-11-29 00:00:00+00:00,1.9,A,13148500
1988-11-30 00:00:00+00:00,1.9,A,13148500
1988-12-01 00:00:00+00:00,2.0,A,13148500
1988-12-02 00:00:00+00:00,2.1,A,13148500
1988-12-03 00:00:00+00:00,2.1,A,13148500
1988-12-04 00:00:00+00:00,1.9,A,13148500
1988-12-05 00:00:00+00:00,1.8,A,13148500
1988-12-06 00:00:00+00:00,1.7,A,13148500
1988-12-07 00:00:00+00:00,1.4,A,13148500
1988-12-08 00:00:00+00:00,1.2,"A, e",13148500
1988-12-09 00:00:00+00:00,1.2,A,13148500
1988-12-10 00:00:00+00:00,1.2,A,13148500
1988-12-11 00:00:00+00:00,1.2,A,13148500
1988-12-12 00:00:00+00:00,1.1,A,13148500
