datetime,00060_Mean,00060_Mean_cd,site_no
2012-10-01 00:00:00+00:00,6.78,A,10131000
2012-10-02 00:00:00+00:00,7.72,A,10131000
2012-10-03 00:00:00+00:00,7.59,A,10131000
2012-10-04 00:00:00+00:00,7.48,A,10131000
2012-10-05 00:00:00+00:00,7.62,A,10131000
2012-10-06 00:00:00+00:00,7.99,A,10131000
2012-10-07 00:00:00+00:00,8.19,A,10131000
2012-10-08 00:00:00+00:00,9.31,A,10131000
2012-10-09 00:00:00+00:00,11.2,A,10131000
2012-10-10 00:00:00+00:00,12.1,A,10131000
2012-10-11 00:00:00+00:00,9.3,A,10131000
2012-10-12 00:00:00+00:00,9.36,A,10131000
2012-10-13 00:00:00+00:00,13.1,A,10131000
2012-10-14 00:00:00+00:00,11.2,A,10131000
2012-10-15 00:00:00+00:00,10.6,A,10131000
2012-10-16 00:00:00+00:00,10.2,A,10131000
2012-10-17 00:00:00+00:00,10.4,A,10131000
2012-10-18 00:00:00+00:00,10.7,A,10131000
2012-10-19 00:00:00+00:00,10.5,A,10131000
2012-10-20 00:00:00+00:00,9.95,A,10131000
2012-10-21 00:00:00+00:00,9.62,A,10131000
2012-10-22 00:00:00+00:00,9.73,A,10131000
2012-10-23 00:00:00+00:00,11.2,A,10131000
2012-10-24 00:00:00+00:00,13.9,A,10131000
2012-10-25 00:00:00+00:00,13.6,A,10131000
2012-10-26 00:00:00+00:00,13.0,A,10131000
2012-10-27 00:00:00+00:00,12.1,A,10131000
2012-10-28 00:00:00+00:00,13.3,A,10131000
2012-10-29 00:00:00+00:00,13.2,A,10131000
2012-10-30 00:00:00+00:00,13.0,A,10131000
2012-10-31 00:00:00+00:00,12.8,A,10131000
2012-11-01 00:00:00+00:00,12.8,A,10131000
2012-11-02 00:00:00+00:00,12.8,A,10131000
2012-11-03 00:00:00+00:00,12.8,A,10131000
2012-11-04 00:00:00+00:00,12.4,A,10131000
2012-11-05 00:00:00+00:00,12.1,A,10131000
2012-11-06 00:00:00+00:00,12.8,A,10131000
2012-11-07 00:00:00+00:00,12.6,A,10131000
2012-11-08 00:00:00+00:00,12.2,A,10131000
2012-11-09 00:00:00+00:00,15.0,A,10131000
2012-11-10 00:00:00+00:00,17.6,A,10131000
2012-11-11 00:00:00+00:00,13.2,A,10131000
2012-11-12 00:00:00+00:00,11.0,A,10131000
2012-11-13 00:00:00+00:00,14.1,A,10131000
2012-11-14 00:00:00+00:00,15.0,A,10131000
2012-11-15 00:00:00+00:00,15.7,A,10131000
2012-11-16 00:00:00+00:00,15.5,A,10131000
2012-11-17 00:00:00+00:00,16.9,A,10131000
2012-11-18 00:00:00+00:00,18.8,A,10131000
2012-11-19 00:00:00+00:00,20.0,A,10131000
2012-11-20 00:00:00+00:00,17.9,A,10131000
2012-11-21 00:00:00+00:00,18.2,A,10131000
2012-11-22 00:00:00+00:00,17.3,A,10131000
2012-11-23 00:00:00+00:00,15.7,A,10131000
2012-11-24 00:00:00+00:00,14.5,A,10131000
2012-11-25 00:00:00+00:00,16.4,A,10131000
2012-11-26 00:00:00+00:00,15.6,A,10131000
2012-11-27 00:00:00+00:00,12.0,A,10131000
2012-11-28 00:00:00+00:00,14.1,A,10131000
2012-11-29 00:00:00+00:00,18.1,A,10131000
2012-11-30 00:00:00+00:00,15.6,A,10131000
2012-12-01 00:00:00+00:00,16.0,A,10131000
2012-12-02 00:00:00+00:00,16.8,A,10131000
2012-12-03 00:00:00+00:00,19.1,A,10131000
2012-12-04 00:00:00+00:00,14.3,A,10131000
2012-12-05 00:00:00+00:00,20.9,A,10131000
2012-12-06 00:00:00+00:00,19.2,A,10131000
2012-12-07 00:00:00+00:00,17.9,A,10131000
2012-12-08 00:00:00+00:00,15.4,A,10131000
2012-12-09 00:00:00+00:00,7.81,A,10131000
2012-12-10 00:00:00+00:00,10.0,A,10131000
2012-12-11 00:00:00+00:00,14.7,A,10131000
2012-12-12 00:00:00+00:00,17.1,A,10131000
2012-12-13 00:00:00+00:00,16.5,A,10131000
2012-12-14 00:00:00+00:00,15.6,A,10131000
2012-12-15 00:00:00+00:00,16.6,A,10131000
2012-12-16 00:00:00+00:00,15.6,A,10131000
2012-12-17 00:00:00+00:00,15.2,A,10131000
2012-12-18 00:00:00+00:00,16.5,"A, e",10131000
2012-12-19 00:00:00+00:00,11.0,"A, e",10131000
2012-12-20 00:00:00+00:00,8.0,"A, e",10131000
2012-12-21 00:00:00+00:00,12.0,"A, e",10131000
2012-12-22 00:00:00+00:00,13.0,"A, e",10131000
2012-12-23 00:00:00+00:00,14.0,"A, e",10131000
2012-12-24 00:00:00+00:00,15.0,"A, e",10131000
2012-12-25 00:00:00+00:00,14.0,"A, e",10131000
2012-12-26 00:00:00+00:00,13.0,"A, e",10131000
2012-12-27 00:00:00+00:00,13.0,"A, e",10131000
2012-12-28 00:00:00+00:00,12.0,"A, e",10131000
2012-12-29 00:00:00+00:00,11.0,"A, e",10131000
2012-12-30 00:00:00+00:00,11.0,"A, e",10131000
2012-12-31 00:00:00+00:00,12.0,"A, e",10131000
2013-01-01 00:00:00+00:00,12.0,"A, e",10131000
2013-01-02 00:00:00+00:00,12.0,"A, e",10131000
2013-01-03 00:00:00+00:00,10.0,"A, e",10131000
2013-01-04 00:00:00+00:00,10.0,"A, e",10131000
2013-01-05 00:00:00+00:00,10.0,"A, e",10131000
2013-01-06 00:00:00+00:00,11.0,"A, e",10131000
2013-01-07 00:00:00+00:00,11.0,"A, e",10131000
2013-01-08 00:00:00+00:00,12.0,"A, e",10131000
2013-01-09 00:00:00+00:00,12.0,"A, e",10131000
2013-01-10 00:00:00+00:00,11.0,"A, e",10131000
2013-01-11 00:00:00+00:00,10.0,"A, e",10131000
2013-01-12 00:00:00+00:00,6.0,"A, e",10131000
2013-01-13 00:00:00+00:00,5.0,"A, e",10131000
2013-01-14 00:00:00+00:00,5.0,"A, e",10131000
2013-01-15 00:00:00+00:00,6.0,"A, e",10131000
2013-01-16 00:00:00+00:00,7.0,"A, e",10131000
2013-01-17 00:00:00+00:00,7.0,"A, e",10131000
2013-01-18 00:00:00+00:00,7.0,"A, e",10131000
2013-01-19 00:00:00+00:00,8.0,"A, e",10131000
2013-01-20 00:00:00+00:00,9.0,"A, e",10131000
2013-01-21 00:00:00+00:00,10.0,"A, e",10131000
2013-01-22 00:00:00+00:00,10.0,"A, e",10131000
2013-01-23 00:00:00+00:00,11.0,"A, e",10131000
2013-01-24 00:00:00+00:00,12.0,"A, e",10131000
2013-01-25 00:00:00+00:00,12.5,A,10131000
2013-01-26 00:00:00+00:00,13.6,A,10131000
2013-01-27 00:00:00+00:00,14.7,A,10131000
2013-01-28 00:00:00+00:00,15.0,A,10131000
2013-01-29 00:00:00+00:00,13.8,A,10131000
2013-01-30 00:00:00+00:00,14.1,A,10131000
2013-01-31 00:00:00+00:00,14.9,A,10131000
2013-02-01 00:00:00+00:00,14.9,A,10131000
2013-02-02 00:00:00+00:00,11.6,A,10131000
2013-02-03 00:00:00+00:00,12.8,A,10131000
2013-02-04 00:00:00+00:00,12.0,A,10131000
2013-02-05 00:00:00+00:00,13.5,A,10131000
2013-02-06 00:00:00+00:00,15.8,A,10131000
2013-02-07 00:00:00+00:00,11.6,A,10131000
2013-02-08 00:00:00+00:00,11.8,A,10131000
2013-02-09 00:00:00+00:00,15.2,A,10131000
2013-02-10 00:00:00+00:00,15.2,A,10131000
2013-02-11 00:00:00+00:00,11.0,A,10131000
2013-02-12 00:00:00+00:00,11.2,A,10131000
2013-02-13 00:00:00+00:00,15.2,A,10131000
2013-02-14 00:00:00+00:00,15.3,A,10131000
2013-02-15 00:00:00+00:00,13.7,A,10131000
2013-02-16 00:00:00+00:00,11.2,A,10131000
2013-02-17 00:00:00+00:00,13.0,A,10131000
2013-02-18 00:00:00+00:00,11.1,A,10131000
2013-02-19 00:00:00+00:00,11.8,A,10131000
2013-02-20 00:00:00+00:00,15.7,A,10131000
2013-02-21 00:00:00+00:00,15.7,A,10131000
2013-02-22 00:00:00+00:00,11.5,A,10131000
2013-02-23 00:00:00+00:00,13.3,A,10131000
2013-02-24 00:00:00+00:00,13.5,A,10131000
2013-02-25 00:00:00+00:00,10.9,A,10131000
2013-02-26 00:00:00+00:00,13.1,A,10131000
2013-02-27 00:00:00+00:00,11.3,A,10131000
2013-02-28 00:00:00+00:00,11.1,A,10131000
2013-03-01 00:00:00+00:00,18.0,A,10131000
2013-03-02 00:00:00+00:00,15.0,A,10131000
2013-03-03 00:00:00+00:00,19.9,A,10131000
2013-03-04 00:00:00+00:00,20.6,A,10131000
2013-03-05 00:00:00+00:00,14.8,A,10131000
2013-03-06 00:00:00+00:00,19.9,A,10131000
2013-03-07 00:00:00+00:00,25.4,A,10131000
2013-03-08 00:00:00+00:00,21.5,A,10131000
2013-03-09 00:00:00+00:00,21.3,A,10131000
2013-03-10 00:00:00+00:00,17.2,A,10131000
2013-03-11 00:00:00+00:00,19.5,A,10131000
2013-03-12 00:00:00+00:00,22.5,A,10131000
2013-03-13 00:00:00+00:00,21.7,A,10131000
2013-03-14 00:00:00+00:00,25.2,A,10131000
2013-03-15 00:00:00+00:00,28.3,A,10131000
2013-03-16 00:00:00+00:00,29.0,A,10131000
2013-03-17 00:00:00+00:00,29.5,A,10131000
2013-03-18 00:00:00+00:00,25.8,A,10131000
2013-03-19 00:00:00+00:00,22.8,A,10131000
2013-03-20 00:00:00+00:00,23.7,A,10131000
2013-03-21 00:00:00+00:00,27.8,A,10131000
2013-03-22 00:00:00+00:00,23.3,A,10131000
2013-03-23 00:00:00+00:00,23.2,A,10131000
2013-03-24 00:00:00+00:00,21.3,A,10131000
2013-03-25 00:00:00+00:00,20.8,A,10131000
