datetime,00060_Mean,00060_Mean_cd,site_no
2012-10-05 00:00:00+00:00,25.0,A,11215000
2012-12-03 00:00:00+00:00,31.0,A,11215000
2012-12-23 00:00:00+00:00,23.0,A,11215000
2013-01-12 00:00:00+00:00,25.0,A,11215000
2013-01-16 00:00:00+00:00,26.0,A,11215000
2013-01-17 00:00:00+00:00,27.0,A,11215000
2013-01-18 00:00:00+00:00,28.0,A,11215000
2013-01-19 00:00:00+00:00,28.0,A,11215000
2013-01-20 00:00:00+00:00,28.0,A,11215000
2013-01-21 00:00:00+00:00,28.0,A,11215000
2013-01-22 00:00:00+00:00,29.0,A,11215000
2013-01-23 00:00:00+00:00,30.0,A,11215000
2013-01-24 00:00:00+00:00,53.0,A,11215000
2013-01-25 00:00:00+00:00,41.0,A,11215000
2013-01-26 00:00:00+00:00,38.0,A,11215000
2013-01-27 00:00:00+00:00,35.0,A,11215000
2013-01-28 00:00:00+00:00,32.0,A,11215000
2013-01-29 00:00:00+00:00,30.0,A,11215000
2013-01-30 00:00:00+00:00,29.0,A,11215000
2013-01-31 00:00:00+00:00,28.0,A,11215000
2013-02-01 00:00:00+00:00,28.0,A,11215000
2013-02-02 00:00:00+00:00,28.0,A,11215000
2013-02-03 00:00:00+00:00,28.0,A,11215000
2013-02-04 00:00:00+00:00,29.0,A,11215000
2013-02-05 00:00:00+00:00,29.0,A,11215000
2013-02-06 00:00:00+00:00,29.0,A,11215000
2013-02-07 00:00:00+00:00,28.0,A,11215000
2013-02-08 00:00:00+00:00,29.0,A,11215000
2013-02-09 00:00:00+00:00,28.0,A,11215000
2013-02-10 00:00:00+00:00,28.0,A,11215000
2013-02-11 00:00:00+00:00,27.0,A,11215000
2013-02-12 00:00:00+00:00,27.0,A,11215000
2013-02-13 00:00:00+00:00,28.0,A,11215000
2013-02-14 00:00:00+00:00,28.0,A,11215000
2013-02-15 00:00:00+00:00,28.0,A,11215000
2013-02-16 00:00:00+00:00,28.0,A,11215000
2013-02-17 00:00:00+00:00,27.0,A,11215000
2013-02-18 00:00:00+00:00,27.0,A,11215000
2013-02-19 00:00:00+00:00,27.0,A,11215000
2013-02-20 00:00:00+00:00,26.0,A,11215000
