datetime,00060_Mean,00060_Mean_cd,site_no
1997-10-01 00:00:00+00:00,0.0,A,13112000
1997-10-02 00:00:00+00:00,0.0,A,13112000
1997-10-03 00:00:00+00:00,0.0,A,13112000
1997-10-04 00:00:00+00:00,0.0,A,13112000
1997-10-05 00:00:00+00:00,0.0,A,13112000
1997-10-06 00:00:00+00:00,0.0,A,13112000
1997-10-07 00:00:00+00:00,0.0,A,13112000
1997-10-08 00:00:00+00:00,0.0,A,13112000
1997-10-09 00:00:00+00:00,0.0,A,13112000
1997-10-10 00:00:00+00:00,0.0,A,13112000
1997-10-11 00:00:00+00:00,0.0,A,13112000
1997-10-12 00:00:00+00:00,0.0,A,13112000
1997-10-13 00:00:00+00:00,0.0,A,13112000
1997-10-14 00:00:00+00:00,0.0,A,13112000
1997-10-15 00:00:00+00:00,0.0,A,13112000
1997-10-16 00:00:00+00:00,0.0,A,13112000
1997-10-17 00:00:00+00:00,0.0,A,13112000
1997-10-18 00:00:00+00:00,0.0,A,13112000
1997-10-19 00:00:00+00:00,0.0,A,13112000
1997-10-20 00:00:00+00:00,0.0,A,13112000
1997-10-21 00:00:00+00:00,0.0,A,13112000
1997-10-22 00:00:00+00:00,0.0,A,13112000
1997-10-23 00:00:00+00:00,0.0,A,13112000
1997-10-24 00:00:00+00:00,0.0,A,13112000
1997-10-25 00:00:00+00:00,0.0,A,13112000
1997-10-26 00:00:00+00:00,0.0,A,13112000
1997-10-27 00:00:00+00:00,0.0,A,13112000
1997-10-28 00:00:00+00:00,0.0,A,13112000
1997-10-29 00:00:00+00:00,0.0,A,13112000
1997-10-30 00:00:00+00:00,0.0,A,13112000
1997-10-31 00:00:00+00:00,0.0,A,13112000
1997-11-01 00:00:00+00:00,0.0,A,13112000
1997-11-02 00:00:00+00:00,0.0,A,13112000
1997-11-03 00:00:00+00:00,0.0,A,13112000
1997-11-04 00:00:00+00:00,0.0,A,13112000
1997-11-05 00:00:00+00:00,0.0,A,13112000
1997-11-06 00:00:00+00:00,0.0,A,13112000
1997-11-07 00:00:00+00:00,0.0,A,13112000
1997-11-08 00:00:00+00:00,0.0,A,13112000
1997-11-09 00:00:00+00:00,0.0,A,13112000
1997-11-10 00:00:00+00:00,0.0,A,13112000
1997-11-11 00:00:00+00:00,0.0,A,13112000
1997-11-12 00:00:00+00:00,0.0,A,13112000
1997-11-13 00:00:00+00:00,0.0,A,13112000
1997-11-14 00:00:00+00:00,0.0,A,13112000
1997-11-15 00:00:00+00:00,0.0,A,13112000
1997-11-16 00:00:00+00:00,0.0,A,13112000
1997-11-17 00:00:00+00:00,0.0,A,13112000
1997-11-18 00:00:00+00:00,0.0,A,13112000
1997-11-19 00:00:00+00:00,0.0,A,13112000
1997-11-20 00:00:00+00:00,0.0,A,13112000
1997-11-21 00:00:00+00:00,0.0,A,13112000
1997-11-22 00:00:00+00:00,0.0,A,13112000
1997-11-23 00:00:00+00:00,0.0,A,13112000
1997-11-24 00:00:00+00:00,0.0,A,13112000
1997-11-25 00:00:00+00:00,0.0,A,13112000
1997-11-26 00:00:00+00:00,0.0,A,13112000
1997-11-27 00:00:00+00:00,0.0,A,13112000
1997-11-28 00:00:00+00:00,0.0,A,13112000
1997-11-29 00:00:00+00:00,0.0,A,13112000
1997-11-30 00:00:00+00:00,0.0,A,13112000
1997-12-01 00:00:00+00:00,0.0,A,13112000
1997-12-02 00:00:00+00:00,0.0,A,13112000
1997-12-03 00:00:00+00:00,0.0,A,13112000
1997-12-04 00:00:00+00:00,0.0,A,13112000
1997-12-05 00:00:00+00:00,0.0,A,13112000
1997-12-06 00:00:00+00:00,0.0,A,13112000
1997-12-07 00:00:00+00:00,0.0,A,13112000
1997-12-08 00:00:00+00:00,0.0,A,13112000
1997-12-09 00:00:00+00:00,0.0,A,13112000
1997-12-10 00:00:00+00:00,0.0,A,13112000
1997-12-11 00:00:00+00:00,0.0,A,13112000
1997-12-12 00:00:00+00:00,0.0,A,13112000
1997-12-13 00:00:00+00:00,0.0,A,13112000
1997-12-14 00:00:00+00:00,0.0,A,13112000
1997-12-15 00:00:00+00:00,0.0,A,13112000
1997-12-16 00:00:00+00:00,0.0,A,13112000
1997-12-17 00:00:00+00:00,0.0,A,13112000
1997-12-18 00:00:00+00:00,0.0,A,13112000
1997-12-19 00:00:00+00:00,0.0,A,13112000
1997-12-20 00:00:00+00:00,0.0,A,13112000
1997-12-21 00:00:00+00:00,0.0,A,13112000
1997-12-22 00:00:00+00:00,0.0,A,13112000
1997-12-23 00:00:00+00:00,0.0,A,13112000
1997-12-24 00:00:00+00:00,0.0,A,13112000
1997-12-25 00:00:00+00:00,0.0,A,13112000
1997-12-26 00:00:00+00:00,0.0,A,13112000
1997-12-27 00:00:00+00:00,0.0,A,13112000
1997-12-28 00:00:00+00:00,0.0,A,13112000
1997-12-29 00:00:00+00:00,0.0,A,13112000
1997-12-30 00:00:00+00:00,0.0,A,13112000
1997-12-31 00:00:00+00:00,0.0,A,13112000
1998-01-01 00:00:00+00:00,0.0,A,13112000
1998-01-02 00:00:00+00:00,0.0,A,13112000
1998-01-03 00:00:00+00:00,0.0,A,13112000
1998-01-04 00:00:00+00:00,0.0,A,13112000
1998-01-05 00:00:00+00:00,0.0,A,13112000
1998-01-06 00:00:00+00:00,0.0,A,13112000
1998-01-07 00:00:00+00:00,0.0,A,13112000
1998-01-08 00:00:00+00:00,0.0,A,13112000
1998-01-09 00:00:00+00:00,0.0,A,13112000
1998-01-10 00:00:00+00:00,0.0,A,13112000
1998-01-11 00:00:00+00:00,0.0,A,13112000
1998-01-12 00:00:00+00:00,0.0,A,13112000
1998-01-13 00:00:00+00:00,0.0,A,13112000
1998-01-14 00:00:00+00:00,0.0,A,13112000
1998-01-15 00:00:00+00:00,0.0,A,13112000
1998-01-16 00:00:00+00:00,0.0,A,13112000
1998-01-17 00:00:00+00:00,0.0,A,13112000
1998-01-18 00:00:00+00:00,0.0,A,13112000
1998-01-19 00:00:00+00:00,0.0,A,13112000
1998-01-20 00:00:00+00:00,0.0,A,13112000
1998-01-21 00:00:00+00:00,5.0,"A, e",13112000
1998-01-22 00:00:00+00:00,4.0,"A, e",13112000
