stationId,durCode,SENSOR_NUM,sensorType,date,obsDate,value,dataFlag,units
SSL,D,3,SNOW WC,1994-7-15 00:00,1994-7-15 00:00,0.84, ,INCHES
SSL,D,3,SNOW WC,1994-7-16 00:00,1994-7-16 00:00,0.84, ,INCHES
SSL,D,3,SNOW WC,1994-7-17 00:00,1994-7-17 00:00,0.72, ,INCHES
SSL,D,3,SNOW WC,1994-7-18 00:00,1994-7-18 00:00,0.72, ,INCHES
SSL,D,3,SNOW WC,1994-7-19 00:00,1994-7-19 00:00,0.72, ,INCHES
SSL,D,3,SNOW WC,1994-7-20 00:00,1994-7-20 00:00,0.72, ,INCHES
SSL,D,3,SNOW WC,1994-7-21 00:00,1994-7-21 00:00,0.72, ,INCHES
SSL,D,82,SNO ADJ,1993-10-1 00:00,1993-10-1 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-2 00:00,1993-10-2 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-3 00:00,1993-10-3 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-4 00:00,1993-10-4 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-5 00:00,1993-10-5 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-6 00:00,1993-10-6 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-7 00:00,1993-10-7 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-8 00:00,1993-10-8 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-9 00:00,1993-10-9 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-10 00:00,1993-10-10 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-11 00:00,1993-10-11 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-12 00:00,1993-10-12 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-13 00:00,1993-10-13 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-14 00:00,1993-10-14 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-15 00:00,1993-10-15 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-16 00:00,1993-10-16 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-17 00:00,1993-10-17 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1993-10-18 00:00,1993-10-18 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-19 00:00,1993-10-19 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-20 00:00,1993-10-20 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-21 00:00,1993-10-21 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-22 00:00,1993-10-22 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-23 00:00,1993-10-23 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-24 00:00,1993-10-24 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-25 00:00,1993-10-25 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-26 00:00,1993-10-26 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-27 00:00,1993-10-27 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-28 00:00,1993-10-28 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-29 00:00,1993-10-29 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-30 00:00,1993-10-30 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-10-31 00:00,1993-10-31 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-11-1 00:00,1993-11-1 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-11-2 00:00,1993-11-2 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-11-3 00:00,1993-11-3 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1993-11-4 00:00,1993-11-4 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-11-5 00:00,1993-11-5 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1993-11-6 00:00,1993-11-6 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1993-11-7 00:00,1993-11-7 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1993-11-8 00:00,1993-11-8 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1993-11-9 00:00,1993-11-9 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-11-10 00:00,1993-11-10 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-11-11 00:00,1993-11-11 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-11-12 00:00,1993-11-12 00:00,0.24, ,INCHES
SSL,D,82,SNO ADJ,1993-11-13 00:00,1993-11-13 00:00,0.48, ,INCHES
SSL,D,82,SNO ADJ,1993-11-14 00:00,1993-11-14 00:00,0.48, ,INCHES
SSL,D,82,SNO ADJ,1993-11-15 00:00,1993-11-15 00:00,0.48, ,INCHES
SSL,D,82,SNO ADJ,1993-11-16 00:00,1993-11-16 00:00,0.48, ,INCHES
SSL,D,82,SNO ADJ,1993-11-17 00:00,1993-11-17 00:00,0.48, ,INCHES
SSL,D,82,SNO ADJ,1993-11-18 00:00,1993-11-18 00:00,0.48, ,INCHES
SSL,D,82,SNO ADJ,1993-11-19 00:00,1993-11-19 00:00,0.36, ,INCHES
SSL,D,82,SNO ADJ,1993-11-20 00:00,1993-11-20 00:00,0.24, ,INCHES
SSL,D,82,SNO ADJ,1993-11-21 00:00,1993-11-21 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1993-11-22 00:00,1993-11-22 00:00,0.12, ,INCHES
SSL,D,82,SNO ADJ,1993-11-23 00:00,1993-11-23 00:00,0.72, ,INCHES
SSL,D,82,SNO ADJ,1993-11-24 00:00,1993-11-24 00:00,0.96, ,INCHES
SSL,D,82,SNO ADJ,1993-11-25 00:00,1993-11-25 00:00,0.84, ,INCHES
SSL,D,82,SNO ADJ,1993-11-26 00:00,1993-11-26 00:00,0.72, ,INCHES
SSL,D,82,SNO ADJ,1993-11-27 00:00,1993-11-27 00:00,0.72,r,INCHES
SSL,D,82,SNO ADJ,1993-11-28 00:00,1993-11-28 00:00,0.72, ,INCHES
SSL,D,82,SNO ADJ,1993-11-29 00:00,1993-11-29 00:00,1.44, ,INCHES
SSL,D,82,SNO ADJ,1993-11-30 00:00,1993-11-30 00:00,2.33,e,INCHES
SSL,D,82,SNO ADJ,1993-12-1 00:00,1993-12-1 00:00,3.61, ,INCHES
SSL,D,82,SNO ADJ,1993-12-2 00:00,1993-12-2 00:00,3.61, ,INCHES
SSL,D,82,SNO ADJ,1993-12-3 00:00,1993-12-3 00:00,3.84, ,INCHES
SSL,D,82,SNO ADJ,1993-12-4 00:00,1993-12-4 00:00,3.84,r,INCHES
SSL,D,82,SNO ADJ,1993-12-5 00:00,1993-12-5 00:00,3.84, ,INCHES
SSL,D,82,SNO ADJ,1993-12-6 00:00,1993-12-6 00:00,3.73, ,INCHES
SSL,D,82,SNO ADJ,1993-12-7 00:00,1993-12-7 00:00,3.61, ,INCHES
SSL,D,82,SNO ADJ,1993-12-8 00:00,1993-12-8 00:00,3.61, ,INCHES
SSL,D,82,SNO ADJ,1993-12-9 00:00,1993-12-9 00:00,5.4, ,INCHES
SSL,D,82,SNO ADJ,1993-12-10 00:00,1993-12-10 00:00,6.37, ,INCHES
SSL,D,82,SNO ADJ,1993-12-11 00:00,1993-12-11 00:00,6.49, ,INCHES
SSL,D,82,SNO ADJ,1993-12-12 00:00,1993-12-12 00:00,7.2, ,INCHES
SSL,D,82,SNO ADJ,1993-12-13 00:00,1993-12-13 00:00,7.2, ,INCHES
SSL,D,82,SNO ADJ,1993-12-14 00:00,1993-12-14 00:00,7.32, ,INCHES
SSL,D,82,SNO ADJ,1993-12-15 00:00,1993-12-15 00:00,7.32, ,INCHES
SSL,D,82,SNO ADJ,1993-12-16 00:00,1993-12-16 00:00,7.32, ,INCHES
SSL,D,82,SNO ADJ,1993-12-17 00:00,1993-12-17 00:00,7.32, ,INCHES
SSL,D,82,SNO ADJ,1993-12-18 00:00,1993-12-18 00:00,7.32, ,INCHES
SSL,D,82,SNO ADJ,1993-12-19 00:00,1993-12-19 00:00,7.32, ,INCHES
SSL,D,82,SNO ADJ,1993-12-20 00:00,1993-12-20 00:00,7.44, ,INCHES
SSL,D,82,SNO ADJ,1993-12-21 00:00,1993-12-21 00:00,7.44, ,INCHES
SSL,D,82,SNO ADJ,1993-12-22 00:00,1993-12-22 00:00,7.44, ,INCHES
SSL,D,82,SNO ADJ,1993-12-23 00:00,1993-12-23 00:00,9.13, ,INCHES
SSL,D,82,SNO ADJ,1993-12-24 00:00,1993-12-24 00:00,9.25, ,INCHES
SSL,D,82,SNO ADJ,1993-12-25 00:00,1993-12-25 00:00,9.37, ,INCHES
SSL,D,82,SNO ADJ,1993-12-26 00:00,1993-12-26 00:00,9.37, ,INCHES
SSL,D,82,SNO ADJ,1993-12-27 00:00,1993-12-27 00:00,9.37, ,INCHES
SSL,D,82,SNO ADJ,1993-12-28 00:00,1993-12-28 00:00,9.61, ,INCHES
SSL,D,82,SNO ADJ,1993-12-29 00:00,1993-12-29 00:00,9.61, ,INCHES
SSL,D,82,SNO ADJ,1993-12-30 00:00,1993-12-30 00:00,9.61, ,INCHES
SSL,D,82,SNO ADJ,1993-12-31 00:00,1993-12-31 00:00,9.61, ,INCHES
SSL,D,82,SNO ADJ,1994-1-1 00:00,1994-1-1 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-1-2 00:00,1994-1-2 00:00,9.61, ,INCHES
SSL,D,82,SNO ADJ,1994-1-3 00:00,1994-1-3 00:00,9.61, ,INCHES
SSL,D,82,SNO ADJ,1994-1-4 00:00,1994-1-4 00:00,9.37, ,INCHES
SSL,D,82,SNO ADJ,1994-1-5 00:00,1994-1-5 00:00,10.08, ,INCHES
SSL,D,82,SNO ADJ,1994-1-6 00:00,1994-1-6 00:00,10.21, ,INCHES
SSL,D,82,SNO ADJ,1994-1-7 00:00,1994-1-7 00:00,10.32, ,INCHES
SSL,D,82,SNO ADJ,1994-1-8 00:00,1994-1-8 00:00,10.32, ,INCHES
SSL,D,82,SNO ADJ,1994-1-9 00:00,1994-1-9 00:00,10.21, ,INCHES
SSL,D,82,SNO ADJ,1994-1-10 00:00,1994-1-10 00:00,10.21, ,INCHES
SSL,D,82,SNO ADJ,1994-1-11 00:00,1994-1-11 00:00,10.21, ,INCHES
SSL,D,82,SNO ADJ,1994-1-12 00:00,1994-1-12 00:00,10.32, ,INCHES
SSL,D,82,SNO ADJ,1994-1-13 00:00,1994-1-13 00:00,10.32, ,INCHES
SSL,D,82,SNO ADJ,1994-1-14 00:00,1994-1-14 00:00,10.32, ,INCHES
SSL,D,82,SNO ADJ,1994-1-15 00:00,1994-1-15 00:00,10.32, ,INCHES
SSL,D,82,SNO ADJ,1994-1-16 00:00,1994-1-16 00:00,10.32, ,INCHES
SSL,D,82,SNO ADJ,1994-1-17 00:00,1994-1-17 00:00,10.32, ,INCHES
SSL,D,82,SNO ADJ,1994-1-18 00:00,1994-1-18 00:00,10.32, ,INCHES
SSL,D,82,SNO ADJ,1994-1-19 00:00,1994-1-19 00:00,10.21, ,INCHES
SSL,D,82,SNO ADJ,1994-1-20 00:00,1994-1-20 00:00,10.21, ,INCHES
SSL,D,82,SNO ADJ,1994-1-21 00:00,1994-1-21 00:00,10.21, ,INCHES
SSL,D,82,SNO ADJ,1994-1-22 00:00,1994-1-22 00:00,10.21, ,INCHES
SSL,D,82,SNO ADJ,1994-1-23 00:00,1994-1-23 00:00,10.08, ,INCHES
SSL,D,82,SNO ADJ,1994-1-24 00:00,1994-1-24 00:00,11.04, ,INCHES
SSL,D,82,SNO ADJ,1994-1-25 00:00,1994-1-25 00:00,12.01, ,INCHES
SSL,D,82,SNO ADJ,1994-1-26 00:00,1994-1-26 00:00,12.13, ,INCHES
SSL,D,82,SNO ADJ,1994-1-27 00:00,1994-1-27 00:00,12.25, ,INCHES
SSL,D,82,SNO ADJ,1994-1-28 00:00,1994-1-28 00:00,12.25, ,INCHES
SSL,D,82,SNO ADJ,1994-1-29 00:00,1994-1-29 00:00,12.25, ,INCHES
SSL,D,82,SNO ADJ,1994-1-30 00:00,1994-1-30 00:00,12.73, ,INCHES
SSL,D,82,SNO ADJ,1994-1-31 00:00,1994-1-31 00:00,12.49, ,INCHES
SSL,D,82,SNO ADJ,1994-2-1 00:00,1994-2-1 00:00,12.49, ,INCHES
SSL,D,82,SNO ADJ,1994-2-2 00:00,1994-2-2 00:00,12.49, ,INCHES
SSL,D,82,SNO ADJ,1994-2-3 00:00,1994-2-3 00:00,12.49, ,INCHES
SSL,D,82,SNO ADJ,1994-2-4 00:00,1994-2-4 00:00,12.49, ,INCHES
SSL,D,82,SNO ADJ,1994-2-5 00:00,1994-2-5 00:00,12.25, ,INCHES
SSL,D,82,SNO ADJ,1994-2-6 00:00,1994-2-6 00:00,12.25, ,INCHES
SSL,D,82,SNO ADJ,1994-2-7 00:00,1994-2-7 00:00,12.25, ,INCHES
SSL,D,82,SNO ADJ,1994-2-8 00:00,1994-2-8 00:00,13.56, ,INCHES
SSL,D,82,SNO ADJ,1994-2-9 00:00,1994-2-9 00:00,13.69, ,INCHES
SSL,D,82,SNO ADJ,1994-2-10 00:00,1994-2-10 00:00,13.69, ,INCHES
SSL,D,82,SNO ADJ,1994-2-11 00:00,1994-2-11 00:00,13.92, ,INCHES
SSL,D,82,SNO ADJ,1994-2-12 00:00,1994-2-12 00:00,13.92, ,INCHES
SSL,D,82,SNO ADJ,1994-2-13 00:00,1994-2-13 00:00,15.84, ,INCHES
SSL,D,82,SNO ADJ,1994-2-14 00:00,1994-2-14 00:00,15.84, ,INCHES
SSL,D,82,SNO ADJ,1994-2-15 00:00,1994-2-15 00:00,15.84, ,INCHES
SSL,D,82,SNO ADJ,1994-2-16 00:00,1994-2-16 00:00,15.84, ,INCHES
SSL,D,82,SNO ADJ,1994-2-17 00:00,1994-2-17 00:00,16.45, ,INCHES
SSL,D,82,SNO ADJ,1994-2-18 00:00,1994-2-18 00:00,17.52, ,INCHES
SSL,D,82,SNO ADJ,1994-2-19 00:00,1994-2-19 00:00,17.52, ,INCHES
SSL,D,82,SNO ADJ,1994-2-20 00:00,1994-2-20 00:00,17.64, ,INCHES
SSL,D,82,SNO ADJ,1994-2-21 00:00,1994-2-21 00:00,17.76, ,INCHES
SSL,D,82,SNO ADJ,1994-2-22 00:00,1994-2-22 00:00,17.76, ,INCHES
SSL,D,82,SNO ADJ,1994-2-23 00:00,1994-2-23 00:00,17.76, ,INCHES
SSL,D,82,SNO ADJ,1994-2-24 00:00,1994-2-24 00:00,18.25, ,INCHES
SSL,D,82,SNO ADJ,1994-2-25 00:00,1994-2-25 00:00,23.17, ,INCHES
SSL,D,82,SNO ADJ,1994-2-26 00:00,1994-2-26 00:00,23.17, ,INCHES
SSL,D,82,SNO ADJ,1994-2-27 00:00,1994-2-27 00:00,23.88, ,INCHES
SSL,D,82,SNO ADJ,1994-2-28 00:00,1994-2-28 00:00,24.25, ,INCHES
SSL,D,82,SNO ADJ,1994-3-1 00:00,1994-3-1 00:00,24.25, ,INCHES
SSL,D,82,SNO ADJ,1994-3-2 00:00,1994-3-2 00:00,24.12, ,INCHES
SSL,D,82,SNO ADJ,1994-3-3 00:00,1994-3-3 00:00,24.0, ,INCHES
SSL,D,82,SNO ADJ,1994-3-4 00:00,1994-3-4 00:00,23.88, ,INCHES
SSL,D,82,SNO ADJ,1994-3-5 00:00,1994-3-5 00:00,23.76, ,INCHES
SSL,D,82,SNO ADJ,1994-3-6 00:00,1994-3-6 00:00,24.12, ,INCHES
SSL,D,82,SNO ADJ,1994-3-7 00:00,1994-3-7 00:00,24.25, ,INCHES
SSL,D,82,SNO ADJ,1994-3-8 00:00,1994-3-8 00:00,24.0, ,INCHES
SSL,D,82,SNO ADJ,1994-3-9 00:00,1994-3-9 00:00,23.76, ,INCHES
SSL,D,82,SNO ADJ,1994-3-10 00:00,1994-3-10 00:00,23.29, ,INCHES
SSL,D,82,SNO ADJ,1994-3-11 00:00,1994-3-11 00:00,23.64, ,INCHES
SSL,D,82,SNO ADJ,1994-3-12 00:00,1994-3-12 00:00,23.76, ,INCHES
SSL,D,82,SNO ADJ,1994-3-13 00:00,1994-3-13 00:00,23.76, ,INCHES
SSL,D,82,SNO ADJ,1994-3-14 00:00,1994-3-14 00:00,23.52, ,INCHES
SSL,D,82,SNO ADJ,1994-3-15 00:00,1994-3-15 00:00,23.04, ,INCHES
SSL,D,82,SNO ADJ,1994-3-16 00:00,1994-3-16 00:00,22.21, ,INCHES
SSL,D,82,SNO ADJ,1994-3-17 00:00,1994-3-17 00:00,21.84, ,INCHES
SSL,D,82,SNO ADJ,1994-3-18 00:00,1994-3-18 00:00,21.48, ,INCHES
SSL,D,82,SNO ADJ,1994-3-19 00:00,1994-3-19 00:00,21.12, ,INCHES
SSL,D,82,SNO ADJ,1994-3-20 00:00,1994-3-20 00:00,20.88, ,INCHES
SSL,D,82,SNO ADJ,1994-3-21 00:00,1994-3-21 00:00,20.17, ,INCHES
SSL,D,82,SNO ADJ,1994-3-22 00:00,1994-3-22 00:00,19.68, ,INCHES
SSL,D,82,SNO ADJ,1994-3-23 00:00,1994-3-23 00:00,19.45, ,INCHES
SSL,D,82,SNO ADJ,1994-3-24 00:00,1994-3-24 00:00,19.68, ,INCHES
SSL,D,82,SNO ADJ,1994-3-25 00:00,1994-3-25 00:00,19.68, ,INCHES
SSL,D,82,SNO ADJ,1994-3-26 00:00,1994-3-26 00:00,19.68, ,INCHES
SSL,D,82,SNO ADJ,1994-3-27 00:00,1994-3-27 00:00,19.45, ,INCHES
SSL,D,82,SNO ADJ,1994-3-28 00:00,1994-3-28 00:00,18.96, ,INCHES
SSL,D,82,SNO ADJ,1994-3-29 00:00,1994-3-29 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-3-30 00:00,1994-3-30 00:00,17.76, ,INCHES
SSL,D,82,SNO ADJ,1994-3-31 00:00,1994-3-31 00:00,17.52, ,INCHES
SSL,D,82,SNO ADJ,1994-4-1 00:00,1994-4-1 00:00,16.8, ,INCHES
SSL,D,82,SNO ADJ,1994-4-2 00:00,1994-4-2 00:00,16.08, ,INCHES
SSL,D,82,SNO ADJ,1994-4-3 00:00,1994-4-3 00:00,15.36, ,INCHES
SSL,D,82,SNO ADJ,1994-4-4 00:00,1994-4-4 00:00,15.12, ,INCHES
SSL,D,82,SNO ADJ,1994-4-5 00:00,1994-4-5 00:00,14.88, ,INCHES
SSL,D,82,SNO ADJ,1994-4-6 00:00,1994-4-6 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-4-7 00:00,1994-4-7 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-4-8 00:00,1994-4-8 00:00,13.8, ,INCHES
SSL,D,82,SNO ADJ,1994-4-9 00:00,1994-4-9 00:00,14.04, ,INCHES
SSL,D,82,SNO ADJ,1994-4-10 00:00,1994-4-10 00:00,14.4, ,INCHES
SSL,D,82,SNO ADJ,1994-4-11 00:00,1994-4-11 00:00,14.17, ,INCHES
SSL,D,82,SNO ADJ,1994-4-12 00:00,1994-4-12 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-4-13 00:00,1994-4-13 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-4-14 00:00,1994-4-14 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-4-15 00:00,1994-4-15 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-4-16 00:00,1994-4-16 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-4-17 00:00,1994-4-17 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-4-18 00:00,1994-4-18 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-4-19 00:00,1994-4-19 00:00,6.37, ,INCHES
SSL,D,82,SNO ADJ,1994-4-20 00:00,1994-4-20 00:00,4.8, ,INCHES
SSL,D,82,SNO ADJ,1994-4-21 00:00,1994-4-21 00:00,3.61, ,INCHES
SSL,D,82,SNO ADJ,1994-4-22 00:00,1994-4-22 00:00,2.4, ,INCHES
SSL,D,82,SNO ADJ,1994-4-23 00:00,1994-4-23 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-4-24 00:00,1994-4-24 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-4-25 00:00,1994-4-25 00:00,1.68, ,INCHES
SSL,D,82,SNO ADJ,1994-4-26 00:00,1994-4-26 00:00,2.4, ,INCHES
SSL,D,82,SNO ADJ,1994-4-27 00:00,1994-4-27 00:00,2.64, ,INCHES
SSL,D,82,SNO ADJ,1994-4-28 00:00,1994-4-28 00:00,2.4, ,INCHES
SSL,D,82,SNO ADJ,1994-4-29 00:00,1994-4-29 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-4-30 00:00,1994-4-30 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-1 00:00,1994-5-1 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-2 00:00,1994-5-2 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-3 00:00,1994-5-3 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-4 00:00,1994-5-4 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-5 00:00,1994-5-5 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-6 00:00,1994-5-6 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-7 00:00,1994-5-7 00:00,1.8, ,INCHES
SSL,D,82,SNO ADJ,1994-5-8 00:00,1994-5-8 00:00,1.68, ,INCHES
SSL,D,82,SNO ADJ,1994-5-9 00:00,1994-5-9 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-10 00:00,1994-5-10 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-11 00:00,1994-5-11 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-12 00:00,1994-5-12 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-13 00:00,1994-5-13 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-14 00:00,1994-5-14 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-15 00:00,1994-5-15 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-16 00:00,1994-5-16 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-17 00:00,1994-5-17 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-18 00:00,1994-5-18 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-19 00:00,1994-5-19 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-20 00:00,1994-5-20 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-21 00:00,1994-5-21 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-22 00:00,1994-5-22 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-23 00:00,1994-5-23 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-24 00:00,1994-5-24 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-25 00:00,1994-5-25 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-26 00:00,1994-5-26 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-27 00:00,1994-5-27 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-28 00:00,1994-5-28 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-29 00:00,1994-5-29 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-30 00:00,1994-5-30 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-5-31 00:00,1994-5-31 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-1 00:00,1994-6-1 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-2 00:00,1994-6-2 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-3 00:00,1994-6-3 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-4 00:00,1994-6-4 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-5 00:00,1994-6-5 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-6 00:00,1994-6-6 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-7 00:00,1994-6-7 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-8 00:00,1994-6-8 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-9 00:00,1994-6-9 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-10 00:00,1994-6-10 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-11 00:00,1994-6-11 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-12 00:00,1994-6-12 00:00,0.0,r,INCHES
SSL,D,82,SNO ADJ,1994-6-13 00:00,1994-6-13 00:00,0.0,e,INCHES
SSL,D,82,SNO ADJ,1994-6-14 00:00,1994-6-14 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-15 00:00,1994-6-15 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-16 00:00,1994-6-16 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-17 00:00,1994-6-17 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-18 00:00,1994-6-18 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-19 00:00,1994-6-19 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-20 00:00,1994-6-20 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-21 00:00,1994-6-21 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-22 00:00,1994-6-22 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-23 00:00,1994-6-23 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-24 00:00,1994-6-24 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-25 00:00,1994-6-25 00:00,-9999.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-26 00:00,1994-6-26 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-27 00:00,1994-6-27 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-28 00:00,1994-6-28 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-29 00:00,1994-6-29 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-6-30 00:00,1994-6-30 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-7-1 00:00,1994-7-1 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-7-2 00:00,1994-7-2 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-7-3 00:00,1994-7-3 00:00,0.0, ,INCHES
SSL,D,82,SNO ADJ,1994-7-4 00:00,1994-7-4 00:00,0.0, ,INCHES
