datetime,00060_Mean,00060_Mean_cd,site_no
2000-10-01 00:00:00+00:00,19.0,A,08382650
2000-10-02 00:00:00+00:00,19.0,A,08382650
2000-10-03 00:00:00+00:00,19.0,A,08382650
2000-10-04 00:00:00+00:00,20.0,A,08382650
2000-10-05 00:00:00+00:00,20.0,A,08382650
2000-10-06 00:00:00+00:00,21.0,A,08382650
2000-10-07 00:00:00+00:00,21.0,A,08382650
2000-10-08 00:00:00+00:00,22.0,A,08382650
2000-10-09 00:00:00+00:00,21.0,A,08382650
2000-10-10 00:00:00+00:00,21.0,A,08382650
2000-10-11 00:00:00+00:00,20.0,A,08382650
2000-10-12 00:00:00+00:00,20.0,A,08382650
2000-10-13 00:00:00+00:00,18.0,A,08382650
2000-10-14 00:00:00+00:00,19.0,A,08382650
2000-10-15 00:00:00+00:00,18.0,A,08382650
2000-10-16 00:00:00+00:00,18.0,A,08382650
2000-10-17 00:00:00+00:00,18.0,A,08382650
2000-10-18 00:00:00+00:00,19.0,A,08382650
2000-10-19 00:00:00+00:00,19.0,A,08382650
2000-10-20 00:00:00+00:00,18.0,A,08382650
2000-10-21 00:00:00+00:00,20.0,A,08382650
2000-10-22 00:00:00+00:00,20.0,A,08382650
2000-10-23 00:00:00+00:00,80.0,"A, e",08382650
2000-10-24 00:00:00+00:00,950.0,"A, e",08382650
2000-10-25 00:00:00+00:00,459.0,A,08382650
2000-10-26 00:00:00+00:00,217.0,A,08382650
2000-10-27 00:00:00+00:00,180.0,"A, e",08382650
2000-10-28 00:00:00+00:00,140.0,A,08382650
2000-10-29 00:00:00+00:00,1100.0,"A, e",08382650
2000-10-30 00:00:00+00:00,340.0,"A, e",08382650
2000-10-31 00:00:00+00:00,251.0,A,08382650
2000-11-01 00:00:00+00:00,165.0,A,08382650
2000-11-02 00:00:00+00:00,124.0,A,08382650
2000-11-03 00:00:00+00:00,97.0,A,08382650
2000-11-04 00:00:00+00:00,77.0,A,08382650
2000-11-05 00:00:00+00:00,65.0,A,08382650
2000-11-06 00:00:00+00:00,56.0,A,08382650
2000-11-07 00:00:00+00:00,58.0,A,08382650
2000-11-08 00:00:00+00:00,67.0,A,08382650
2000-11-09 00:00:00+00:00,63.0,A,08382650
2000-11-10 00:00:00+00:00,50.0,A,08382650
2000-11-11 00:00:00+00:00,42.0,A,08382650
2000-11-12 00:00:00+00:00,37.0,A,08382650
2000-11-13 00:00:00+00:00,37.0,A,08382650
2000-11-14 00:00:00+00:00,32.0,A,08382650
2000-11-15 00:00:00+00:00,24.0,A,08382650
2000-11-16 00:00:00+00:00,15.0,A,08382650
2000-11-17 00:00:00+00:00,15.0,A,08382650
2000-11-18 00:00:00+00:00,17.0,A,08382650
2000-11-19 00:00:00+00:00,15.0,A,08382650
2000-11-20 00:00:00+00:00,14.0,A,08382650
2000-11-21 00:00:00+00:00,14.0,A,08382650
2000-11-22 00:00:00+00:00,15.0,A,08382650
2000-11-23 00:00:00+00:00,14.0,A,08382650
2000-11-24 00:00:00+00:00,16.0,A,08382650
2000-11-25 00:00:00+00:00,19.0,A,08382650
2000-11-26 00:00:00+00:00,16.0,A,08382650
2000-11-27 00:00:00+00:00,17.0,A,08382650
2000-11-28 00:00:00+00:00,18.0,A,08382650
2000-11-29 00:00:00+00:00,17.0,A,08382650
2000-11-30 00:00:00+00:00,16.0,A,08382650
2000-12-01 00:00:00+00:00,17.0,A,08382650
2000-12-02 00:00:00+00:00,17.0,A,08382650
2000-12-03 00:00:00+00:00,18.0,A,08382650
2000-12-04 00:00:00+00:00,19.0,A,08382650
2000-12-05 00:00:00+00:00,19.0,A,08382650
2000-12-06 00:00:00+00:00,19.0,A,08382650
2000-12-07 00:00:00+00:00,20.0,A,08382650
2000-12-08 00:00:00+00:00,26.0,A,08382650
2000-12-09 00:00:00+00:00,22.0,A,08382650
2000-12-10 00:00:00+00:00,21.0,A,08382650
2000-12-11 00:00:00+00:00,22.0,A,08382650
2000-12-12 00:00:00+00:00,22.0,A,08382650
2000-12-13 00:00:00+00:00,22.0,A,08382650
2000-12-14 00:00:00+00:00,22.0,A,08382650
2000-12-15 00:00:00+00:00,21.0,A,08382650
2000-12-16 00:00:00+00:00,22.0,A,08382650
2000-12-17 00:00:00+00:00,21.0,A,08382650
2000-12-18 00:00:00+00:00,21.0,A,08382650
2000-12-19 00:00:00+00:00,22.0,A,08382650
2000-12-20 00:00:00+00:00,22.0,A,08382650
2000-12-21 00:00:00+00:00,22.0,A,08382650
2000-12-22 00:00:00+00:00,22.0,A,08382650
2000-12-23 00:00:00+00:00,21.0,A,08382650
2000-12-24 00:00:00+00:00,20.0,A,08382650
2000-12-25 00:00:00+00:00,21.0,A,08382650
2000-12-26 00:00:00+00:00,22.0,A,08382650
2000-12-27 00:00:00+00:00,21.0,A,08382650
2000-12-28 00:00:00+00:00,21.0,A,08382650
2000-12-29 00:00:00+00:00,21.0,A,08382650
2000-12-30 00:00:00+00:00,20.0,A,08382650
2000-12-31 00:00:00+00:00,19.0,A,08382650
2001-01-01 00:00:00+00:00,19.0,A,08382650
2001-01-02 00:00:00+00:00,18.0,A,08382650
2001-01-03 00:00:00+00:00,19.0,A,08382650
2001-01-04 00:00:00+00:00,19.0,A,08382650
2001-01-05 00:00:00+00:00,19.0,A,08382650
2001-01-06 00:00:00+00:00,19.0,A,08382650
2001-01-07 00:00:00+00:00,19.0,A,08382650
2001-01-08 00:00:00+00:00,19.0,A,08382650
2001-01-09 00:00:00+00:00,19.0,A,08382650
2001-01-10 00:00:00+00:00,17.0,A,08382650
2001-01-11 00:00:00+00:00,17.0,A,08382650
2001-01-12 00:00:00+00:00,17.0,A,08382650
2001-01-13 00:00:00+00:00,15.0,A,08382650
2001-01-14 00:00:00+00:00,16.0,A,08382650
2001-01-15 00:00:00+00:00,16.0,A,08382650
2001-01-16 00:00:00+00:00,17.0,A,08382650
2001-01-17 00:00:00+00:00,16.0,A,08382650
2001-01-18 00:00:00+00:00,16.0,A,08382650
2001-01-19 00:00:00+00:00,16.0,A,08382650
2001-01-20 00:00:00+00:00,17.0,A,08382650
2001-01-21 00:00:00+00:00,17.0,A,08382650
2001-01-22 00:00:00+00:00,17.0,A,08382650
2001-01-23 00:00:00+00:00,17.0,A,08382650
2001-01-24 00:00:00+00:00,17.0,A,08382650
2001-01-25 00:00:00+00:00,18.0,A,08382650
2001-01-26 00:00:00+00:00,18.0,A,08382650
2001-01-27 00:00:00+00:00,19.0,A,08382650
2001-01-28 00:00:00+00:00,18.0,A,08382650
2001-01-29 00:00:00+00:00,17.0,A,08382650
2001-01-30 00:00:00+00:00,17.0,A,08382650
2001-01-31 00:00:00+00:00,17.0,A,08382650
2001-02-01 00:00:00+00:00,17.0,A,08382650
2001-02-02 00:00:00+00:00,17.0,A,08382650
