datetime,00060_Mean,00060_Mean_cd,site_no
2014-10-01 00:00:00+00:00,16.7,A,10164500
2014-10-02 00:00:00+00:00,15.8,A,10164500
2014-10-03 00:00:00+00:00,15.1,A,10164500
2014-10-04 00:00:00+00:00,14.6,A,10164500
2014-10-05 00:00:00+00:00,14.4,A,10164500
2014-10-06 00:00:00+00:00,13.8,A,10164500
2014-10-07 00:00:00+00:00,13.3,A,10164500
2014-10-08 00:00:00+00:00,13.3,A,10164500
2014-10-09 00:00:00+00:00,13.0,A,10164500
2014-10-10 00:00:00+00:00,12.6,A,10164500
2014-10-11 00:00:00+00:00,12.6,A,10164500
2014-10-12 00:00:00+00:00,14.6,A,10164500
2014-10-13 00:00:00+00:00,14.1,A,10164500
2014-10-14 00:00:00+00:00,13.9,A,10164500
2014-10-15 00:00:00+00:00,13.9,A,10164500
2014-10-16 00:00:00+00:00,13.9,A,10164500
2014-10-17 00:00:00+00:00,13.9,A,10164500
2014-10-18 00:00:00+00:00,13.9,A,10164500
2014-10-19 00:00:00+00:00,13.3,A,10164500
2014-10-20 00:00:00+00:00,13.3,A,10164500
2014-10-21 00:00:00+00:00,13.3,A,10164500
2014-10-22 00:00:00+00:00,13.3,A,10164500
2014-10-23 00:00:00+00:00,13.3,A,10164500
2014-10-24 00:00:00+00:00,12.7,A,10164500
2014-10-25 00:00:00+00:00,12.5,A,10164500
2014-10-26 00:00:00+00:00,12.0,A,10164500
2014-10-27 00:00:00+00:00,12.0,A,10164500
2014-10-28 00:00:00+00:00,12.0,A,10164500
2014-10-29 00:00:00+00:00,12.0,A,10164500
2014-10-30 00:00:00+00:00,12.0,A,10164500
2014-10-31 00:00:00+00:00,12.0,A,10164500
2014-11-01 00:00:00+00:00,12.2,A,10164500
2014-11-02 00:00:00+00:00,12.5,A,10164500
2014-11-03 00:00:00+00:00,11.6,A,10164500
2014-11-04 00:00:00+00:00,11.1,A,10164500
2014-11-05 00:00:00+00:00,11.0,A,10164500
2014-11-06 00:00:00+00:00,10.8,A,10164500
2014-11-07 00:00:00+00:00,10.8,A,10164500
2014-11-08 00:00:00+00:00,10.8,A,10164500
2014-11-09 00:00:00+00:00,10.8,A,10164500
2014-11-10 00:00:00+00:00,10.8,A,10164500
2014-11-11 00:00:00+00:00,10.8,A,10164500
2014-11-12 00:00:00+00:00,10.6,A,10164500
2014-11-13 00:00:00+00:00,10.1,A,10164500
2014-11-14 00:00:00+00:00,10.6,A,10164500
2014-11-15 00:00:00+00:00,10.8,A,10164500
2014-11-16 00:00:00+00:00,8.69,A,10164500
2014-11-17 00:00:00+00:00,7.64,A,10164500
2014-11-18 00:00:00+00:00,7.59,A,10164500
2014-11-19 00:00:00+00:00,8.3,A,10164500
2014-11-20 00:00:00+00:00,9.38,A,10164500
2014-11-21 00:00:00+00:00,9.72,A,10164500
2014-11-22 00:00:00+00:00,10.5,A,10164500
