datetime,00060_Mean,00060_Mean_cd,site_no
2014-10-01 00:00:00+00:00,1430.0,A,11446500
2014-10-02 00:00:00+00:00,1220.0,A,11446500
2014-10-03 00:00:00+00:00,1090.0,A,11446500
2014-10-04 00:00:00+00:00,1070.0,A,11446500
2014-10-05 00:00:00+00:00,1060.0,A,11446500
2014-10-06 00:00:00+00:00,1050.0,A,11446500
2014-10-07 00:00:00+00:00,1050.0,A,11446500
2014-10-08 00:00:00+00:00,1040.0,A,11446500
2014-10-09 00:00:00+00:00,1040.0,A,11446500
2014-10-10 00:00:00+00:00,1040.0,A,11446500
2014-10-11 00:00:00+00:00,1040.0,A,11446500
2014-10-12 00:00:00+00:00,1040.0,A,11446500
2014-10-13 00:00:00+00:00,1040.0,A,11446500
2014-10-14 00:00:00+00:00,1040.0,A,11446500
2014-10-15 00:00:00+00:00,1040.0,A,11446500
2014-10-16 00:00:00+00:00,1040.0,A,11446500
2014-10-17 00:00:00+00:00,1040.0,A,11446500
2014-10-18 00:00:00+00:00,1050.0,A,11446500
2014-10-19 00:00:00+00:00,1040.0,A,11446500
2014-10-20 00:00:00+00:00,1030.0,A,11446500
2014-10-21 00:00:00+00:00,1030.0,A,11446500
2014-10-22 00:00:00+00:00,1030.0,A,11446500
2014-10-23 00:00:00+00:00,1030.0,A,11446500
2014-10-24 00:00:00+00:00,1020.0,A,11446500
2014-10-25 00:00:00+00:00,1020.0,A,11446500
2014-10-26 00:00:00+00:00,1030.0,A,11446500
2014-10-27 00:00:00+00:00,1030.0,A,11446500
2014-10-28 00:00:00+00:00,1030.0,A,11446500
2014-10-29 00:00:00+00:00,1030.0,A,11446500
2014-10-30 00:00:00+00:00,1040.0,A,11446500
2014-10-31 00:00:00+00:00,1050.0,A,11446500
2014-11-01 00:00:00+00:00,1070.0,A,11446500
2014-11-02 00:00:00+00:00,1070.0,A,11446500
2014-11-03 00:00:00+00:00,1040.0,A,11446500
2014-11-04 00:00:00+00:00,1020.0,A,11446500
2014-11-05 00:00:00+00:00,1030.0,A,11446500
2014-11-06 00:00:00+00:00,1040.0,A,11446500
2014-11-07 00:00:00+00:00,1040.0,A,11446500
2014-11-08 00:00:00+00:00,1040.0,A,11446500
2014-11-09 00:00:00+00:00,1050.0,A,11446500
2014-11-10 00:00:00+00:00,1050.0,A,11446500
2014-11-11 00:00:00+00:00,1060.0,A,11446500
2014-11-12 00:00:00+00:00,1030.0,A,11446500
2014-11-13 00:00:00+00:00,1020.0,A,11446500
2014-11-14 00:00:00+00:00,1010.0,A,11446500
2014-11-15 00:00:00+00:00,1020.0,A,11446500
2014-11-16 00:00:00+00:00,1020.0,A,11446500
2014-11-17 00:00:00+00:00,1020.0,A,11446500
2014-11-18 00:00:00+00:00,1020.0,A,11446500
2014-11-19 00:00:00+00:00,1040.0,A,11446500
2014-11-20 00:00:00+00:00,1040.0,A,11446500
2014-11-21 00:00:00+00:00,1010.0,A,11446500
2014-11-22 00:00:00+00:00,999.0,A,11446500
2014-11-23 00:00:00+00:00,1000.0,A,11446500
2014-11-24 00:00:00+00:00,1000.0,A,11446500
2014-11-25 00:00:00+00:00,996.0,A,11446500
2014-11-26 00:00:00+00:00,997.0,A,11446500
2014-11-27 00:00:00+00:00,989.0,A,11446500
2014-11-28 00:00:00+00:00,988.0,A,11446500
2014-11-29 00:00:00+00:00,986.0,A,11446500
2014-11-30 00:00:00+00:00,989.0,A,11446500
2014-12-01 00:00:00+00:00,904.0,A,11446500
2014-12-02 00:00:00+00:00,868.0,A,11446500
2014-12-03 00:00:00+00:00,868.0,A,11446500
2014-12-04 00:00:00+00:00,904.0,A,11446500
2014-12-05 00:00:00+00:00,905.0,A,11446500
2014-12-06 00:00:00+00:00,901.0,A,11446500
2014-12-07 00:00:00+00:00,906.0,A,11446500
2014-12-08 00:00:00+00:00,917.0,A,11446500
2014-12-09 00:00:00+00:00,921.0,A,11446500
2014-12-10 00:00:00+00:00,894.0,A,11446500
