datetime,00060_Mean,00060_Mean_cd,site_no
2014-10-01 00:00:00+00:00,303.0,A,06280300
2014-10-02 00:00:00+00:00,276.0,A,06280300
2014-10-03 00:00:00+00:00,257.0,A,06280300
2014-10-04 00:00:00+00:00,248.0,A,06280300
2014-10-05 00:00:00+00:00,243.0,A,06280300
2014-10-06 00:00:00+00:00,235.0,A,06280300
2014-10-07 00:00:00+00:00,231.0,A,06280300
2014-10-08 00:00:00+00:00,226.0,A,06280300
2014-10-09 00:00:00+00:00,223.0,A,06280300
2014-10-10 00:00:00+00:00,224.0,A,06280300
2014-10-11 00:00:00+00:00,220.0,A,06280300
2014-10-12 00:00:00+00:00,222.0,A,06280300
2014-10-13 00:00:00+00:00,216.0,A,06280300
2014-10-14 00:00:00+00:00,214.0,A,06280300
2014-10-15 00:00:00+00:00,211.0,A,06280300
2014-10-16 00:00:00+00:00,206.0,A,06280300
2014-10-17 00:00:00+00:00,204.0,A,06280300
2014-10-18 00:00:00+00:00,203.0,A,06280300
2014-10-19 00:00:00+00:00,199.0,A,06280300
2014-10-20 00:00:00+00:00,197.0,A,06280300
2014-10-21 00:00:00+00:00,198.0,A,06280300
2014-10-22 00:00:00+00:00,195.0,A,06280300
2014-10-23 00:00:00+00:00,191.0,A,06280300
2014-10-24 00:00:00+00:00,190.0,A,06280300
2014-10-25 00:00:00+00:00,188.0,A,06280300
2014-10-26 00:00:00+00:00,207.0,A,06280300
2014-10-27 00:00:00+00:00,193.0,A,06280300
2014-10-28 00:00:00+00:00,184.0,A,06280300
2014-10-29 00:00:00+00:00,184.0,A,06280300
2014-10-30 00:00:00+00:00,184.0,A,06280300
2014-10-31 00:00:00+00:00,184.0,A,06280300
2014-11-01 00:00:00+00:00,184.0,A,06280300
2014-11-02 00:00:00+00:00,182.0,A,06280300
2014-11-03 00:00:00+00:00,177.0,A,06280300
2014-11-04 00:00:00+00:00,167.0,A,06280300
2014-11-05 00:00:00+00:00,172.0,A,06280300
2014-11-06 00:00:00+00:00,169.0,A,06280300
2014-11-07 00:00:00+00:00,169.0,A,06280300
2014-11-08 00:00:00+00:00,165.0,A,06280300
2014-11-09 00:00:00+00:00,168.0,A,06280300
2014-11-10 00:00:00+00:00,177.0,A,06280300
2014-11-11 00:00:00+00:00,147.0,A,06280300
2014-11-12 00:00:00+00:00,125.0,A,06280300
2014-11-13 00:00:00+00:00,112.0,A,06280300
2014-11-14 00:00:00+00:00,124.0,A,06280300
2014-11-15 00:00:00+00:00,125.0,A,06280300
2014-11-16 00:00:00+00:00,95.0,A,06280300
2014-11-17 00:00:00+00:00,74.0,A,06280300
2014-11-18 00:00:00+00:00,76.3,A,06280300
2014-11-19 00:00:00+00:00,88.3,A,06280300
2014-11-20 00:00:00+00:00,97.1,A,06280300
2014-11-21 00:00:00+00:00,112.0,A,06280300
2014-11-22 00:00:00+00:00,124.0,A,06280300
2014-11-23 00:00:00+00:00,125.0,A,06280300
2014-11-24 00:00:00+00:00,125.0,A,06280300
2014-11-25 00:00:00+00:00,125.0,A,06280300
2014-11-26 00:00:00+00:00,132.0,A,06280300
2014-11-27 00:00:00+00:00,145.0,A,06280300
2014-11-28 00:00:00+00:00,150.0,A,06280300
2014-11-29 00:00:00+00:00,147.0,A,06280300
2014-11-30 00:00:00+00:00,143.0,A,06280300
2014-12-01 00:00:00+00:00,130.0,"A, e",06280300
2014-12-02 00:00:00+00:00,140.0,A,06280300
2014-12-03 00:00:00+00:00,137.0,A,06280300
2014-12-04 00:00:00+00:00,142.0,A,06280300
2014-12-05 00:00:00+00:00,140.0,A,06280300
2014-12-06 00:00:00+00:00,136.0,A,06280300
2014-12-07 00:00:00+00:00,134.0,A,06280300
2014-12-08 00:00:00+00:00,129.0,A,06280300
2014-12-09 00:00:00+00:00,130.0,A,06280300
2014-12-10 00:00:00+00:00,134.0,A,06280300
2014-12-11 00:00:00+00:00,136.0,A,06280300
2014-12-12 00:00:00+00:00,137.0,A,06280300
2014-12-13 00:00:00+00:00,137.0,A,06280300
2014-12-14 00:00:00+00:00,138.0,A,06280300
2014-12-15 00:00:00+00:00,134.0,A,06280300
2014-12-16 00:00:00+00:00,124.0,A,06280300
2014-12-17 00:00:00+00:00,132.0,A,06280300
2014-12-18 00:00:00+00:00,127.0,A,06280300
2014-12-19 00:00:00+00:00,127.0,A,06280300
2014-12-20 00:00:00+00:00,128.0,A,06280300
2014-12-21 00:00:00+00:00,126.0,A,06280300
2014-12-22 00:00:00+00:00,124.0,A,06280300
2014-12-23 00:00:00+00:00,113.0,A,06280300
2014-12-24 00:00:00+00:00,110.0,"A, e",06280300
2014-12-25 00:00:00+00:00,125.0,"A, e",06280300
2014-12-26 00:00:00+00:00,105.0,"A, e",06280300
2014-12-27 00:00:00+00:00,85.0,"A, e",06280300
2014-12-28 00:00:00+00:00,78.0,"A, e",06280300
2014-12-29 00:00:00+00:00,75.0,"A, e",06280300
2014-12-30 00:00:00+00:00,70.0,"A, e",06280300
2014-12-31 00:00:00+00:00,65.0,"A, e",06280300
2015-01-01 00:00:00+00:00,65.5,A,06280300
2015-01-02 00:00:00+00:00,86.5,A,06280300
2015-01-03 00:00:00+00:00,111.0,A,06280300
2015-01-04 00:00:00+00:00,102.0,A,06280300
2015-01-05 00:00:00+00:00,111.0,A,06280300
2015-01-06 00:00:00+00:00,120.0,"A, e",06280300
2015-01-07 00:00:00+00:00,110.0,"A, e",06280300
2015-01-08 00:00:00+00:00,115.0,"A, e",06280300
2015-01-09 00:00:00+00:00,115.0,A,06280300
2015-01-10 00:00:00+00:00,109.0,A,06280300
2015-01-11 00:00:00+00:00,121.0,A,06280300
2015-01-12 00:00:00+00:00,119.0,A,06280300
2015-01-13 00:00:00+00:00,106.0,A,06280300
2015-01-14 00:00:00+00:00,91.4,A,06280300
2015-01-15 00:00:00+00:00,95.4,A,06280300
2015-01-16 00:00:00+00:00,110.0,A,06280300
2015-01-17 00:00:00+00:00,113.0,A,06280300
2015-01-18 00:00:00+00:00,122.0,A,06280300
2015-01-19 00:00:00+00:00,123.0,A,06280300
2015-01-20 00:00:00+00:00,117.0,A,06280300
2015-01-21 00:00:00+00:00,106.0,A,06280300
2015-01-22 00:00:00+00:00,75.0,"A, e",06280300
2015-01-23 00:00:00+00:00,105.0,"A, e",06280300
