datetime,00060_Mean,00060_Mean_cd,site_no
1986-10-01 00:00:00+00:00,35.6,A,08291000
1986-10-02 00:00:00+00:00,34.4,A,08291000
1986-10-03 00:00:00+00:00,39.8,A,08291000
1986-10-04 00:00:00+00:00,37.9,A,08291000
1986-10-05 00:00:00+00:00,36.1,A,08291000
1986-10-06 00:00:00+00:00,37.1,A,08291000
1986-10-07 00:00:00+00:00,35.3,A,08291000
1986-10-08 00:00:00+00:00,32.9,A,08291000
1986-10-09 00:00:00+00:00,31.4,A,08291000
1986-10-10 00:00:00+00:00,36.8,A,08291000
1986-10-11 00:00:00+00:00,41.9,A,08291000
1986-10-12 00:00:00+00:00,39.9,A,08291000
1986-10-13 00:00:00+00:00,38.1,A,08291000
1986-10-14 00:00:00+00:00,38.0,A,08291000
1986-10-15 00:00:00+00:00,39.0,A,08291000
1986-10-16 00:00:00+00:00,39.0,A,08291000
1986-10-17 00:00:00+00:00,38.4,A,08291000
1986-10-18 00:00:00+00:00,37.8,A,08291000
1986-10-19 00:00:00+00:00,38.6,A,08291000
1986-10-20 00:00:00+00:00,44.4,A,08291000
1986-10-21 00:00:00+00:00,42.7,A,08291000
1986-10-22 00:00:00+00:00,39.8,A,08291000
1986-10-23 00:00:00+00:00,38.6,A,08291000
1986-10-24 00:00:00+00:00,37.8,A,08291000
1986-10-25 00:00:00+00:00,35.7,A,08291000
1986-10-26 00:00:00+00:00,34.8,A,08291000
1986-10-27 00:00:00+00:00,34.1,A,08291000
1986-10-28 00:00:00+00:00,32.2,A,08291000
1986-10-29 00:00:00+00:00,30.1,A,08291000
1986-10-30 00:00:00+00:00,29.3,A,08291000
1986-10-31 00:00:00+00:00,28.4,A,08291000
1986-11-01 00:00:00+00:00,29.5,A,08291000
1986-11-02 00:00:00+00:00,35.9,A,08291000
1986-11-03 00:00:00+00:00,34.6,A,08291000
1986-11-04 00:00:00+00:00,34.2,A,08291000
1986-11-05 00:00:00+00:00,31.1,A,08291000
1986-11-06 00:00:00+00:00,30.6,A,08291000
1986-11-07 00:00:00+00:00,29.3,A,08291000
1986-11-08 00:00:00+00:00,30.0,A,08291000
1986-11-09 00:00:00+00:00,24.8,A,08291000
1986-11-10 00:00:00+00:00,25.0,A,08291000
1986-11-11 00:00:00+00:00,26.0,A,08291000
1986-11-12 00:00:00+00:00,27.0,A,08291000
1986-11-13 00:00:00+00:00,27.0,A,08291000
1986-11-14 00:00:00+00:00,27.0,A,08291000
1986-11-15 00:00:00+00:00,27.0,A,08291000
1986-11-16 00:00:00+00:00,27.9,A,08291000
1986-11-17 00:00:00+00:00,27.1,A,08291000
1986-11-18 00:00:00+00:00,27.3,A,08291000
1986-11-19 00:00:00+00:00,34.9,A,08291000
1986-11-20 00:00:00+00:00,32.1,A,08291000
1986-11-21 00:00:00+00:00,31.5,A,08291000
1986-11-22 00:00:00+00:00,32.3,A,08291000
1986-11-23 00:00:00+00:00,32.1,A,08291000
1986-11-24 00:00:00+00:00,28.7,A,08291000
1986-11-25 00:00:00+00:00,30.0,A,08291000
1986-11-26 00:00:00+00:00,31.0,A,08291000
1986-11-27 00:00:00+00:00,29.0,A,08291000
1986-11-28 00:00:00+00:00,30.0,A,08291000
1986-11-29 00:00:00+00:00,32.0,A,08291000
1986-11-30 00:00:00+00:00,30.0,A,08291000
1986-12-01 00:00:00+00:00,31.0,A,08291000
1986-12-02 00:00:00+00:00,30.2,A,08291000
1986-12-03 00:00:00+00:00,33.2,A,08291000
1986-12-04 00:00:00+00:00,30.5,A,08291000
1986-12-05 00:00:00+00:00,29.4,A,08291000
1986-12-06 00:00:00+00:00,29.1,A,08291000
1986-12-07 00:00:00+00:00,30.0,A,08291000
1986-12-08 00:00:00+00:00,28.0,A,08291000
1986-12-09 00:00:00+00:00,27.0,A,08291000
1986-12-10 00:00:00+00:00,22.4,A,08291000
1986-12-11 00:00:00+00:00,23.6,A,08291000
1986-12-12 00:00:00+00:00,32.5,A,08291000
1986-12-13 00:00:00+00:00,30.0,A,08291000
1986-12-14 00:00:00+00:00,30.0,A,08291000
1986-12-15 00:00:00+00:00,30.0,A,08291000
1986-12-16 00:00:00+00:00,30.0,A,08291000
1986-12-17 00:00:00+00:00,29.4,A,08291000
1986-12-18 00:00:00+00:00,27.0,A,08291000
1986-12-19 00:00:00+00:00,22.5,A,08291000
1986-12-20 00:00:00+00:00,20.4,A,08291000
1986-12-21 00:00:00+00:00,20.3,A,08291000
1986-12-22 00:00:00+00:00,19.0,A,08291000
1986-12-23 00:00:00+00:00,21.4,A,08291000
1986-12-24 00:00:00+00:00,19.8,A,08291000
1986-12-25 00:00:00+00:00,18.1,A,08291000
1986-12-26 00:00:00+00:00,20.3,A,08291000
1986-12-27 00:00:00+00:00,19.0,A,08291000
1986-12-28 00:00:00+00:00,19.0,A,08291000
1986-12-29 00:00:00+00:00,19.0,A,08291000
1986-12-30 00:00:00+00:00,20.0,A,08291000
1986-12-31 00:00:00+00:00,20.0,A,08291000
1987-01-01 00:00:00+00:00,19.0,A,08291000
1987-01-02 00:00:00+00:00,19.0,A,08291000
1987-01-03 00:00:00+00:00,20.0,A,08291000
1987-01-04 00:00:00+00:00,19.0,A,08291000
1987-01-05 00:00:00+00:00,19.0,A,08291000
1987-01-06 00:00:00+00:00,19.0,A,08291000
1987-01-07 00:00:00+00:00,21.0,A,08291000
1987-01-08 00:00:00+00:00,21.0,A,08291000
1987-01-09 00:00:00+00:00,20.0,A,08291000
1987-01-10 00:00:00+00:00,19.0,A,08291000
1987-01-11 00:00:00+00:00,19.0,A,08291000
1987-01-12 00:00:00+00:00,19.0,A,08291000
1987-01-13 00:00:00+00:00,21.0,A,08291000
1987-01-14 00:00:00+00:00,21.0,A,08291000
