datetime,00060_Mean,00060_Mean_cd,site_no
2023-10-01 00:00:00+00:00,7.91,P,07208500
2023-10-02 00:00:00+00:00,8.88,P,07208500
2023-10-03 00:00:00+00:00,4.39,P,07208500
2023-10-04 00:00:00+00:00,3.91,P,07208500
2023-10-05 00:00:00+00:00,3.78,P,07208500
2023-10-06 00:00:00+00:00,3.58,P,07208500
2023-10-07 00:00:00+00:00,3.51,P,07208500
2023-10-08 00:00:00+00:00,3.49,P,07208500
2023-10-09 00:00:00+00:00,3.47,P,07208500
2023-10-10 00:00:00+00:00,3.45,P,07208500
2023-10-11 00:00:00+00:00,3.43,P,07208500
2023-10-12 00:00:00+00:00,3.28,P,07208500
2023-10-13 00:00:00+00:00,3.18,P,07208500
2023-10-14 00:00:00+00:00,3.16,P,07208500
2023-10-15 00:00:00+00:00,3.14,P,07208500
2023-10-16 00:00:00+00:00,3.12,P,07208500
2023-10-17 00:00:00+00:00,3.11,P,07208500
2023-10-18 00:00:00+00:00,3.09,P,07208500
2023-10-19 00:00:00+00:00,3.07,P,07208500
2023-10-20 00:00:00+00:00,3.05,P,07208500
2023-10-21 00:00:00+00:00,3.04,P,07208500
2023-10-22 00:00:00+00:00,3.02,P,07208500
2023-10-23 00:00:00+00:00,3.0,P,07208500
2023-10-24 00:00:00+00:00,2.98,P,07208500
2023-10-25 00:00:00+00:00,2.97,P,07208500
2023-10-26 00:00:00+00:00,2.95,P,07208500
2023-10-27 00:00:00+00:00,2.93,P,07208500
2023-10-28 00:00:00+00:00,2.82,P,07208500
2023-10-29 00:00:00+00:00,2.7,P,07208500
2023-10-30 00:00:00+00:00,2.81,P,07208500
2023-10-31 00:00:00+00:00,2.99,P,07208500
2023-11-01 00:00:00+00:00,3.07,P,07208500
2023-11-02 00:00:00+00:00,2.88,P,07208500
2023-11-03 00:00:00+00:00,2.86,P,07208500
2023-11-04 00:00:00+00:00,2.86,P,07208500
2023-11-05 00:00:00+00:00,2.86,P,07208500
2023-11-06 00:00:00+00:00,2.86,P,07208500
2023-11-07 00:00:00+00:00,2.86,P,07208500
2023-11-08 00:00:00+00:00,2.86,P,07208500
2023-11-09 00:00:00+00:00,2.86,P,07208500
2023-11-10 00:00:00+00:00,2.86,P,07208500
2023-11-11 00:00:00+00:00,2.86,P,07208500
2023-11-12 00:00:00+00:00,2.82,P,07208500
2023-11-13 00:00:00+00:00,2.78,P,07208500
2023-11-14 00:00:00+00:00,3.0,P,07208500
2023-11-15 00:00:00+00:00,2.87,P,07208500
2023-11-16 00:00:00+00:00,2.86,P,07208500
2023-11-17 00:00:00+00:00,2.86,P,07208500
2023-11-18 00:00:00+00:00,2.86,P,07208500
2023-11-19 00:00:00+00:00,2.86,P,07208500
2023-11-20 00:00:00+00:00,2.86,P,07208500
2023-11-21 00:00:00+00:00,2.73,P,07208500
2023-11-22 00:00:00+00:00,2.73,P,07208500
2023-11-23 00:00:00+00:00,2.95,P,07208500
2023-11-24 00:00:00+00:00,2.86,P,07208500
2023-11-25 00:00:00+00:00,2.86,P,07208500
2023-11-26 00:00:00+00:00,2.88,P,07208500
2023-11-27 00:00:00+00:00,2.97,P,07208500
2023-11-28 00:00:00+00:00,3.07,P,07208500
2023-11-29 00:00:00+00:00,3.07,P,07208500
2023-11-30 00:00:00+00:00,3.07,P,07208500
2023-12-01 00:00:00+00:00,3.2,P,07208500
2023-12-02 00:00:00+00:00,3.28,P,07208500
2023-12-03 00:00:00+00:00,3.28,P,07208500
2023-12-04 00:00:00+00:00,3.2,P,07208500
2023-12-05 00:00:00+00:00,3.09,P,07208500
2023-12-06 00:00:00+00:00,3.37,P,07208500
2023-12-07 00:00:00+00:00,2.66,P,07208500
2023-12-08 00:00:00+00:00,2.66,P,07208500
2023-12-09 00:00:00+00:00,2.66,P,07208500
2023-12-10 00:00:00+00:00,2.87,P,07208500
2023-12-11 00:00:00+00:00,3.02,P,07208500
2023-12-12 00:00:00+00:00,2.86,P,07208500
2023-12-13 00:00:00+00:00,2.86,P,07208500
2023-12-14 00:00:00+00:00,2.86,P,07208500
2023-12-15 00:00:00+00:00,2.88,P,07208500
2023-12-16 00:00:00+00:00,2.98,P,07208500
2023-12-17 00:00:00+00:00,3.07,P,07208500
2023-12-18 00:00:00+00:00,3.33,P,07208500
