datetime,00060_Mean,00060_Mean_cd,site_no
2017-10-01 00:00:00+00:00,148.0,A,10113500
2017-10-02 00:00:00+00:00,146.0,A,10113500
2017-10-03 00:00:00+00:00,145.0,A,10113500
2017-10-04 00:00:00+00:00,144.0,A,10113500
2017-10-05 00:00:00+00:00,143.0,A,10113500
2017-10-06 00:00:00+00:00,142.0,A,10113500
2017-10-07 00:00:00+00:00,142.0,A,10113500
2017-10-08 00:00:00+00:00,142.0,A,10113500
2017-10-09 00:00:00+00:00,141.0,A,10113500
2017-10-10 00:00:00+00:00,141.0,A,10113500
2017-10-11 00:00:00+00:00,142.0,A,10113500
2017-10-12 00:00:00+00:00,141.0,A,10113500
2017-10-13 00:00:00+00:00,141.0,A,10113500
2017-10-14 00:00:00+00:00,140.0,A,10113500
2017-10-15 00:00:00+00:00,140.0,A,10113500
2017-10-16 00:00:00+00:00,139.0,A,10113500
2017-10-17 00:00:00+00:00,138.0,A,10113500
2017-10-18 00:00:00+00:00,137.0,A,10113500
2017-10-19 00:00:00+00:00,136.0,A,10113500
2017-10-20 00:00:00+00:00,136.0,A,10113500
2017-10-21 00:00:00+00:00,135.0,A,10113500
2017-10-22 00:00:00+00:00,134.0,A,10113500
2017-10-23 00:00:00+00:00,133.0,A,10113500
2017-10-24 00:00:00+00:00,132.0,A,10113500
2017-10-25 00:00:00+00:00,132.0,A,10113500
2017-10-26 00:00:00+00:00,131.0,A,10113500
2017-10-27 00:00:00+00:00,130.0,A,10113500
2017-10-28 00:00:00+00:00,130.0,A,10113500
2017-10-29 00:00:00+00:00,129.0,A,10113500
2017-10-30 00:00:00+00:00,128.0,A,10113500
2017-10-31 00:00:00+00:00,128.0,A,10113500
2017-11-01 00:00:00+00:00,127.0,A,10113500
2017-11-02 00:00:00+00:00,126.0,A,10113500
2017-11-03 00:00:00+00:00,126.0,A,10113500
2017-11-04 00:00:00+00:00,133.0,A,10113500
2017-11-05 00:00:00+00:00,133.0,A,10113500
2017-11-06 00:00:00+00:00,128.0,A,10113500
2017-11-07 00:00:00+00:00,125.0,A,10113500
2017-11-08 00:00:00+00:00,124.0,A,10113500
2017-11-09 00:00:00+00:00,123.0,A,10113500
2017-11-10 00:00:00+00:00,121.0,A,10113500
2017-11-11 00:00:00+00:00,121.0,A,10113500
2017-11-12 00:00:00+00:00,120.0,A,10113500
2017-11-13 00:00:00+00:00,119.0,A,10113500
2017-11-14 00:00:00+00:00,119.0,A,10113500
2017-11-15 00:00:00+00:00,119.0,A,10113500
2017-11-16 00:00:00+00:00,122.0,A,10113500
2017-11-17 00:00:00+00:00,150.0,A,10113500
2017-11-18 00:00:00+00:00,127.0,A,10113500
2017-11-19 00:00:00+00:00,122.0,A,10113500
2017-11-20 00:00:00+00:00,121.0,A,10113500
2017-11-21 00:00:00+00:00,121.0,A,10113500
2017-11-22 00:00:00+00:00,118.0,A,10113500
2017-11-23 00:00:00+00:00,117.0,A,10113500
2017-11-24 00:00:00+00:00,117.0,A,10113500
2017-11-25 00:00:00+00:00,116.0,A,10113500
2017-11-26 00:00:00+00:00,115.0,A,10113500
2017-11-27 00:00:00+00:00,117.0,A,10113500
2017-11-28 00:00:00+00:00,115.0,A,10113500
2017-11-29 00:00:00+00:00,115.0,A,10113500
2017-11-30 00:00:00+00:00,114.0,A,10113500
2017-12-01 00:00:00+00:00,113.0,A,10113500
2017-12-02 00:00:00+00:00,113.0,A,10113500
2017-12-03 00:00:00+00:00,113.0,A,10113500
2017-12-04 00:00:00+00:00,114.0,A,10113500
2017-12-05 00:00:00+00:00,110.0,A,10113500
2017-12-06 00:00:00+00:00,108.0,A,10113500
2017-12-07 00:00:00+00:00,107.0,A,10113500
2017-12-08 00:00:00+00:00,108.0,A,10113500
2017-12-09 00:00:00+00:00,108.0,A,10113500
2017-12-10 00:00:00+00:00,108.0,A,10113500
2017-12-11 00:00:00+00:00,108.0,A,10113500
2017-12-12 00:00:00+00:00,107.0,A,10113500
2017-12-13 00:00:00+00:00,107.0,A,10113500
2017-12-14 00:00:00+00:00,107.0,A,10113500
2017-12-15 00:00:00+00:00,107.0,A,10113500
2017-12-16 00:00:00+00:00,107.0,A,10113500
2017-12-17 00:00:00+00:00,106.0,A,10113500
2017-12-18 00:00:00+00:00,104.0,A,10113500
2017-12-19 00:00:00+00:00,104.0,A,10113500
2017-12-20 00:00:00+00:00,104.0,A,10113500
2017-12-21 00:00:00+00:00,105.0,A,10113500
2017-12-22 00:00:00+00:00,103.0,A,10113500
2017-12-23 00:00:00+00:00,106.0,A,10113500
2017-12-24 00:00:00+00:00,102.0,A,10113500
2017-12-25 00:00:00+00:00,105.0,A,10113500
2017-12-26 00:00:00+00:00,103.0,A,10113500
2017-12-27 00:00:00+00:00,103.0,A,10113500
2017-12-28 00:00:00+00:00,102.0,A,10113500
2017-12-29 00:00:00+00:00,102.0,A,10113500
2017-12-30 00:00:00+00:00,102.0,A,10113500
2017-12-31 00:00:00+00:00,101.0,A,10113500
2018-01-01 00:00:00+00:00,99.7,A,10113500
2018-01-02 00:00:00+00:00,100.0,A,10113500
2018-01-03 00:00:00+00:00,99.0,A,10113500
2018-01-04 00:00:00+00:00,99.7,A,10113500
2018-01-05 00:00:00+00:00,99.7,A,10113500
2018-01-06 00:00:00+00:00,100.0,A,10113500
2018-01-07 00:00:00+00:00,99.5,A,10113500
2018-01-08 00:00:00+00:00,99.5,A,10113500
2018-01-09 00:00:00+00:00,99.8,A,10113500
2018-01-10 00:00:00+00:00,103.0,A,10113500
2018-01-11 00:00:00+00:00,100.0,A,10113500
