date,PREC_DAILY,WTEQ_DAILY
1980-10-01,0.0,0.0
1980-10-02,0.0,0.0
1980-10-03,0.0,0.0
1980-10-04,0.0,0.0
1980-10-05,0.0,0.0
1980-10-06,0.0,0.0
1980-10-07,0.0,0.0
1980-10-08,0.0,0.0
1980-10-09,0.0,0.0
1980-10-10,0.0,0.0
1980-10-11,0.2,0.0
1980-10-12,0.5,0.0
1980-10-13,0.8,0.0
1980-10-14,1.1,0.3
1980-10-15,1.3,0.5
1980-10-16,1.7,0.4
1980-10-17,1.8,0.4
1980-10-18,1.8,0.1
1980-10-19,2.7,0.0
1980-10-20,2.7,0.0
1980-10-21,2.7,0.0
1980-10-22,2.7,0.0
1980-10-23,2.7,0.0
1980-10-24,2.7,0.0
1980-10-25,2.7,0.0
1980-10-26,2.7,0.0
1980-10-27,2.7,0.0
1980-10-28,2.7,0.0
1980-10-29,2.7,0.0
1980-10-30,2.7,0.0
1980-10-31,2.7,0.0
1980-11-01,2.7,0.0
1980-11-02,2.7,0.0
1980-11-03,2.7,0.0
1980-11-04,2.8,0.0
1980-11-05,2.8,0.0
1980-11-06,2.8,0.0
1980-11-07,2.8,0.0
1980-11-08,2.8,0.0
1980-11-09,2.8,0.0
1980-11-10,2.8,0.0
1980-11-11,2.8,0.0
1980-11-12,2.8,0.0
1980-11-13,2.9,0.0
1980-11-14,3.1,0.2
1980-11-15,3.5,0.2
1980-11-16,3.5,0.2
1980-11-17,3.5,0.5
1980-11-18,3.5,0.5
1980-11-19,3.5,0.5
1980-11-20,3.5,0.5
1980-11-21,3.5,0.4
1980-11-22,3.5,0.4
1980-11-23,3.5,0.4
1980-11-24,3.5,0.4
1980-11-25,3.5,0.4
1980-11-26,3.5,0.4
1980-11-27,3.5,0.4
1980-11-28,3.7,0.5
1980-11-29,3.7,0.5
1980-11-30,3.7,0.7
1980-12-01,3.7,0.7
1980-12-02,3.7,0.7
1980-12-03,3.7,0.7
1980-12-04,3.8,1.1
1980-12-05,3.8,1.3
1980-12-06,3.9,1.1
1980-12-07,4.1,1.5
1980-12-08,4.6,1.5
1980-12-09,4.6,1.6
1980-12-10,4.6,1.6
1980-12-11,4.6,1.6
1980-12-12,4.6,1.6
