datetime,00060_Mean,00060_Mean_cd,site_no
2008-10-01 00:00:00+00:00,8.94,A,11277300
2008-10-02 00:00:00+00:00,5.21,A,11277300
2008-10-03 00:00:00+00:00,5.32,A,11277300
2008-10-04 00:00:00+00:00,5.76,A,11277300
2008-10-05 00:00:00+00:00,5.3,A,11277300
2008-10-06 00:00:00+00:00,5.29,A,11277300
2008-10-07 00:00:00+00:00,5.29,A,11277300
2008-10-08 00:00:00+00:00,5.29,A,11277300
2008-10-09 00:00:00+00:00,5.3,A,11277300
2008-10-10 00:00:00+00:00,5.29,A,11277300
2008-10-11 00:00:00+00:00,5.3,A,11277300
2008-10-12 00:00:00+00:00,5.34,A,11277300
2008-10-13 00:00:00+00:00,5.64,A,11277300
2008-10-14 00:00:00+00:00,5.64,A,11277300
2008-10-15 00:00:00+00:00,5.64,A,11277300
2008-10-16 00:00:00+00:00,5.64,A,11277300
2008-10-17 00:00:00+00:00,5.64,A,11277300
2008-10-18 00:00:00+00:00,5.64,A,11277300
2008-10-19 00:00:00+00:00,5.71,A,11277300
2008-10-20 00:00:00+00:00,6.01,A,11277300
2008-10-21 00:00:00+00:00,6.01,A,11277300
2008-10-22 00:00:00+00:00,6.01,A,11277300
2008-10-23 00:00:00+00:00,6.01,A,11277300
2008-10-24 00:00:00+00:00,6.01,A,11277300
2008-10-25 00:00:00+00:00,6.01,A,11277300
2008-10-26 00:00:00+00:00,6.03,A,11277300
2008-10-27 00:00:00+00:00,6.36,A,11277300
2008-10-28 00:00:00+00:00,6.39,A,11277300
2008-10-29 00:00:00+00:00,6.39,A,11277300
2008-10-30 00:00:00+00:00,6.66,A,11277300
2008-10-31 00:00:00+00:00,7.35,A,11277300
2008-11-01 00:00:00+00:00,7.72,A,11277300
2008-11-02 00:00:00+00:00,8.6,A,11277300
2008-11-03 00:00:00+00:00,7.95,A,11277300
2008-11-04 00:00:00+00:00,7.65,A,11277300
2008-11-05 00:00:00+00:00,6.39,A,11277300
2008-11-06 00:00:00+00:00,6.39,A,11277300
2008-11-07 00:00:00+00:00,6.37,A,11277300
2008-11-08 00:00:00+00:00,6.38,A,11277300
2008-11-09 00:00:00+00:00,6.39,A,11277300
2008-11-10 00:00:00+00:00,6.18,A,11277300
2008-11-11 00:00:00+00:00,6.02,A,11277300
2008-11-12 00:00:00+00:00,6.04,A,11277300
2008-11-13 00:00:00+00:00,6.01,A,11277300
2008-11-14 00:00:00+00:00,6.01,A,11277300
2008-11-15 00:00:00+00:00,6.01,A,11277300
2008-11-16 00:00:00+00:00,6.01,A,11277300
2008-11-17 00:00:00+00:00,6.01,A,11277300
2008-11-18 00:00:00+00:00,6.01,A,11277300
2008-11-19 00:00:00+00:00,6.01,A,11277300
2008-11-20 00:00:00+00:00,6.01,A,11277300
