datetime,00060_Mean,00060_Mean_cd,site_no
1985-10-01 00:00:00+00:00,1380.0,A,13302500
1985-10-02 00:00:00+00:00,1390.0,A,13302500
1985-10-03 00:00:00+00:00,1340.0,A,13302500
1985-10-04 00:00:00+00:00,1350.0,A,13302500
1985-10-05 00:00:00+00:00,1370.0,A,13302500
1985-10-06 00:00:00+00:00,1360.0,A,13302500
1985-10-07 00:00:00+00:00,1380.0,A,13302500
1985-10-08 00:00:00+00:00,1440.0,A,13302500
1985-10-09 00:00:00+00:00,1490.0,A,13302500
1985-10-10 00:00:00+00:00,1440.0,A,13302500
1985-10-11 00:00:00+00:00,1470.0,A,13302500
1985-10-12 00:00:00+00:00,1510.0,A,13302500
1985-10-13 00:00:00+00:00,1500.0,A,13302500
1985-10-14 00:00:00+00:00,1480.0,A,13302500
1985-10-15 00:00:00+00:00,1480.0,A,13302500
1985-10-16 00:00:00+00:00,1490.0,A,13302500
1985-10-17 00:00:00+00:00,1470.0,A,13302500
1985-10-18 00:00:00+00:00,1450.0,A,13302500
1985-10-19 00:00:00+00:00,1430.0,A,13302500
1985-10-20 00:00:00+00:00,1420.0,A,13302500
1985-10-21 00:00:00+00:00,1420.0,A,13302500
1985-10-22 00:00:00+00:00,1420.0,A,13302500
1985-10-23 00:00:00+00:00,1500.0,A,13302500
1985-10-24 00:00:00+00:00,1510.0,A,13302500
1985-10-25 00:00:00+00:00,1570.0,A,13302500
1985-10-26 00:00:00+00:00,1610.0,A,13302500
1985-10-27 00:00:00+00:00,1570.0,A,13302500
1985-10-28 00:00:00+00:00,1540.0,A,13302500
1985-10-29 00:00:00+00:00,1520.0,A,13302500
1985-10-30 00:00:00+00:00,1500.0,A,13302500
1985-10-31 00:00:00+00:00,1500.0,A,13302500
1985-11-01 00:00:00+00:00,1490.0,A,13302500
1985-11-02 00:00:00+00:00,1490.0,A,13302500
1985-11-03 00:00:00+00:00,1480.0,A,13302500
1985-11-04 00:00:00+00:00,1470.0,A,13302500
1985-11-05 00:00:00+00:00,1460.0,A,13302500
1985-11-06 00:00:00+00:00,1500.0,A,13302500
1985-11-07 00:00:00+00:00,1490.0,A,13302500
1985-11-08 00:00:00+00:00,1520.0,A,13302500
1985-11-09 00:00:00+00:00,1510.0,A,13302500
1985-11-10 00:00:00+00:00,1370.0,A,13302500
1985-11-11 00:00:00+00:00,1340.0,A,13302500
1985-11-12 00:00:00+00:00,1390.0,A,13302500
1985-11-13 00:00:00+00:00,1370.0,A,13302500
1985-11-14 00:00:00+00:00,1310.0,A,13302500
1985-11-15 00:00:00+00:00,1310.0,A,13302500
1985-11-16 00:00:00+00:00,1350.0,A,13302500
1985-11-17 00:00:00+00:00,1420.0,A,13302500
1985-11-18 00:00:00+00:00,1430.0,A,13302500
1985-11-19 00:00:00+00:00,1370.0,A,13302500
1985-11-20 00:00:00+00:00,1270.0,A,13302500
1985-11-21 00:00:00+00:00,1270.0,A,13302500
1985-11-22 00:00:00+00:00,1290.0,A,13302500
1985-11-23 00:00:00+00:00,1200.0,A,13302500
1985-11-24 00:00:00+00:00,1060.0,A,13302500
1985-11-25 00:00:00+00:00,938.0,A,13302500
1985-11-26 00:00:00+00:00,1120.0,A,13302500
1985-11-27 00:00:00+00:00,1160.0,A,13302500
1985-11-28 00:00:00+00:00,1230.0,A,13302500
1985-11-29 00:00:00+00:00,1330.0,A,13302500
1985-11-30 00:00:00+00:00,1310.0,A,13302500
1985-12-01 00:00:00+00:00,1270.0,A,13302500
1985-12-02 00:00:00+00:00,1290.0,A,13302500
1985-12-03 00:00:00+00:00,1350.0,A,13302500
1985-12-04 00:00:00+00:00,1350.0,A,13302500
1985-12-05 00:00:00+00:00,1180.0,A,13302500
1985-12-06 00:00:00+00:00,1160.0,A,13302500
1985-12-07 00:00:00+00:00,1240.0,A,13302500
1985-12-08 00:00:00+00:00,1390.0,A,13302500
1985-12-09 00:00:00+00:00,1370.0,A,13302500
1985-12-10 00:00:00+00:00,1140.0,A,13302500
1985-12-11 00:00:00+00:00,958.0,A,13302500
1985-12-12 00:00:00+00:00,912.0,A,13302500
1985-12-13 00:00:00+00:00,1010.0,A,13302500
1985-12-14 00:00:00+00:00,1200.0,A,13302500
1985-12-15 00:00:00+00:00,1200.0,A,13302500
1985-12-16 00:00:00+00:00,1200.0,A,13302500
1985-12-17 00:00:00+00:00,1290.0,A,13302500
1985-12-18 00:00:00+00:00,1230.0,A,13302500
1985-12-19 00:00:00+00:00,1190.0,A,13302500
1985-12-20 00:00:00+00:00,1140.0,A,13302500
1985-12-21 00:00:00+00:00,1090.0,A,13302500
1985-12-22 00:00:00+00:00,1070.0,A,13302500
1985-12-23 00:00:00+00:00,1090.0,A,13302500
1985-12-24 00:00:00+00:00,1140.0,A,13302500
1985-12-25 00:00:00+00:00,1170.0,A,13302500
1985-12-26 00:00:00+00:00,1110.0,A,13302500
1985-12-27 00:00:00+00:00,1070.0,A,13302500
1985-12-28 00:00:00+00:00,1030.0,A,13302500
1985-12-29 00:00:00+00:00,1000.0,A,13302500
1985-12-30 00:00:00+00:00,1050.0,A,13302500
1985-12-31 00:00:00+00:00,1080.0,A,13302500
1986-01-01 00:00:00+00:00,1080.0,A,13302500
1986-01-02 00:00:00+00:00,1170.0,A,13302500
1986-01-03 00:00:00+00:00,1250.0,A,13302500
1986-01-04 00:00:00+00:00,1210.0,A,13302500
1986-01-05 00:00:00+00:00,1150.0,A,13302500
1986-01-06 00:00:00+00:00,1200.0,A,13302500
1986-01-07 00:00:00+00:00,1290.0,A,13302500
1986-01-08 00:00:00+00:00,1250.0,A,13302500
1986-01-09 00:00:00+00:00,1230.0,A,13302500
1986-01-10 00:00:00+00:00,1390.0,A,13302500
1986-01-11 00:00:00+00:00,1510.0,A,13302500
1986-01-12 00:00:00+00:00,1340.0,A,13302500
1986-01-13 00:00:00+00:00,1230.0,A,13302500
1986-01-14 00:00:00+00:00,1170.0,A,13302500
1986-01-15 00:00:00+00:00,1260.0,A,13302500
1986-01-16 00:00:00+00:00,1420.0,A,13302500
1986-01-17 00:00:00+00:00,1480.0,A,13302500
1986-01-18 00:00:00+00:00,1440.0,A,13302500
1986-01-19 00:00:00+00:00,1390.0,A,13302500
1986-01-20 00:00:00+00:00,1400.0,A,13302500
1986-01-21 00:00:00+00:00,1380.0,A,13302500
1986-01-22 00:00:00+00:00,1250.0,A,13302500
1986-01-23 00:00:00+00:00,1250.0,A,13302500
1986-01-24 00:00:00+00:00,1300.0,A,13302500
1986-01-25 00:00:00+00:00,1260.0,A,13302500
1986-01-26 00:00:00+00:00,1130.0,A,13302500
1986-01-27 00:00:00+00:00,1130.0,A,13302500
1986-01-28 00:00:00+00:00,1320.0,A,13302500
1986-01-29 00:00:00+00:00,1390.0,A,13302500
1986-01-30 00:00:00+00:00,1350.0,A,13302500
1986-01-31 00:00:00+00:00,1360.0,A,13302500
1986-02-01 00:00:00+00:00,1310.0,A,13302500
1986-02-02 00:00:00+00:00,1290.0,A,13302500
1986-02-03 00:00:00+00:00,1280.0,A,13302500
1986-02-04 00:00:00+00:00,1250.0,A,13302500
1986-02-05 00:00:00+00:00,1220.0,A,13302500
1986-02-06 00:00:00+00:00,1180.0,A,13302500
1986-02-07 00:00:00+00:00,1120.0,A,13302500
1986-02-08 00:00:00+00:00,1000.0,A,13302500
1986-02-09 00:00:00+00:00,911.0,A,13302500
1986-02-10 00:00:00+00:00,1020.0,A,13302500
1986-02-11 00:00:00+00:00,1160.0,A,13302500
1986-02-12 00:00:00+00:00,1190.0,A,13302500
1986-02-13 00:00:00+00:00,1190.0,A,13302500
1986-02-14 00:00:00+00:00,1200.0,A,13302500
1986-02-15 00:00:00+00:00,1220.0,A,13302500
1986-02-16 00:00:00+00:00,1340.0,A,13302500
1986-02-17 00:00:00+00:00,1550.0,A,13302500
1986-02-18 00:00:00+00:00,1690.0,A,13302500
1986-02-19 00:00:00+00:00,1730.0,A,13302500
1986-02-20 00:00:00+00:00,1440.0,A,13302500
1986-02-21 00:00:00+00:00,1360.0,A,13302500
1986-02-22 00:00:00+00:00,1380.0,A,13302500
1986-02-23 00:00:00+00:00,1470.0,A,13302500
1986-02-24 00:00:00+00:00,1690.0,A,13302500
1986-02-25 00:00:00+00:00,1750.0,A,13302500
1986-02-26 00:00:00+00:00,1760.0,A,13302500
1986-02-27 00:00:00+00:00,1770.0,A,13302500
1986-02-28 00:00:00+00:00,1680.0,A,13302500
1986-03-01 00:00:00+00:00,1630.0,A,13302500
1986-03-02 00:00:00+00:00,1650.0,A,13302500
1986-03-03 00:00:00+00:00,1680.0,A,13302500
1986-03-04 00:00:00+00:00,1690.0,A,13302500
1986-03-05 00:00:00+00:00,1700.0,A,13302500
1986-03-06 00:00:00+00:00,1700.0,A,13302500
1986-03-07 00:00:00+00:00,1700.0,A,13302500
1986-03-08 00:00:00+00:00,1790.0,A,13302500
