datetime,00060_Mean,00060_Mean_cd,site_no
2003-10-01 00:00:00+00:00,44.0,A,06738000
2003-10-02 00:00:00+00:00,37.0,A,06738000
2003-10-03 00:00:00+00:00,40.0,A,06738000
2003-10-04 00:00:00+00:00,39.0,A,06738000
2003-10-05 00:00:00+00:00,44.0,A,06738000
2003-10-06 00:00:00+00:00,44.0,A,06738000
2003-10-07 00:00:00+00:00,49.0,A,06738000
2003-10-08 00:00:00+00:00,49.0,A,06738000
2003-10-09 00:00:00+00:00,49.0,A,06738000
2003-10-10 00:00:00+00:00,50.0,A,06738000
2003-10-11 00:00:00+00:00,48.0,A,06738000
2003-10-12 00:00:00+00:00,49.0,A,06738000
2003-10-13 00:00:00+00:00,52.0,A,06738000
2003-10-14 00:00:00+00:00,51.0,A,06738000
2003-10-15 00:00:00+00:00,54.0,A,06738000
2003-10-16 00:00:00+00:00,53.0,A,06738000
2003-10-17 00:00:00+00:00,52.0,A,06738000
2003-10-18 00:00:00+00:00,52.0,A,06738000
2003-10-19 00:00:00+00:00,50.0,A,06738000
2003-10-20 00:00:00+00:00,53.0,A,06738000
2003-10-21 00:00:00+00:00,52.0,A,06738000
2003-10-22 00:00:00+00:00,49.0,A,06738000
2003-10-23 00:00:00+00:00,48.0,A,06738000
2003-10-24 00:00:00+00:00,51.0,A,06738000
2003-10-25 00:00:00+00:00,47.0,A,06738000
2003-10-26 00:00:00+00:00,46.0,A,06738000
2003-10-27 00:00:00+00:00,40.0,A,06738000
2003-10-28 00:00:00+00:00,101.0,A,06738000
2003-10-29 00:00:00+00:00,152.0,A,06738000
2003-10-30 00:00:00+00:00,240.0,A,06738000
2003-10-31 00:00:00+00:00,181.0,A,06738000
2003-11-01 00:00:00+00:00,240.0,A,06738000
2003-11-02 00:00:00+00:00,271.0,A,06738000
2003-11-03 00:00:00+00:00,270.0,A,06738000
2003-11-04 00:00:00+00:00,270.0,A,06738000
2003-11-05 00:00:00+00:00,272.0,A,06738000
2003-11-06 00:00:00+00:00,267.0,A,06738000
2003-11-07 00:00:00+00:00,123.0,A,06738000
2003-11-08 00:00:00+00:00,35.0,A,06738000
2003-11-09 00:00:00+00:00,31.0,A,06738000
2003-11-10 00:00:00+00:00,36.0,A,06738000
2003-11-11 00:00:00+00:00,32.0,A,06738000
2003-11-12 00:00:00+00:00,34.0,A,06738000
2003-11-13 00:00:00+00:00,29.0,A,06738000
2003-11-14 00:00:00+00:00,30.0,A,06738000
2003-11-15 00:00:00+00:00,28.0,A,06738000
2003-11-16 00:00:00+00:00,28.0,A,06738000
2003-11-17 00:00:00+00:00,30.0,A,06738000
2003-11-18 00:00:00+00:00,27.0,A,06738000
2003-11-19 00:00:00+00:00,28.0,A,06738000
2003-11-20 00:00:00+00:00,30.0,A,06738000
2003-11-21 00:00:00+00:00,28.0,A,06738000
2003-11-22 00:00:00+00:00,27.0,A,06738000
2003-11-23 00:00:00+00:00,29.0,"A, e",06738000
2003-11-24 00:00:00+00:00,28.0,"A, e",06738000
2003-11-25 00:00:00+00:00,29.0,"A, e",06738000
2003-11-26 00:00:00+00:00,29.0,"A, e",06738000
2003-11-27 00:00:00+00:00,29.0,"A, e",06738000
2003-11-28 00:00:00+00:00,30.0,"A, e",06738000
2003-11-29 00:00:00+00:00,28.0,"A, e",06738000
2003-11-30 00:00:00+00:00,27.0,"A, e",06738000
2003-12-01 00:00:00+00:00,27.0,"A, e",06738000
2003-12-02 00:00:00+00:00,28.0,"A, e",06738000
2003-12-03 00:00:00+00:00,28.0,"A, e",06738000
2003-12-04 00:00:00+00:00,28.0,"A, e",06738000
2003-12-05 00:00:00+00:00,28.0,"A, e",06738000
2003-12-06 00:00:00+00:00,28.0,"A, e",06738000
2003-12-07 00:00:00+00:00,28.0,"A, e",06738000
2003-12-08 00:00:00+00:00,27.0,"A, e",06738000
2003-12-09 00:00:00+00:00,29.0,"A, e",06738000
2003-12-10 00:00:00+00:00,29.0,"A, e",06738000
2003-12-11 00:00:00+00:00,29.0,"A, e",06738000
2003-12-12 00:00:00+00:00,30.0,"A, e",06738000
2003-12-13 00:00:00+00:00,29.0,"A, e",06738000
2003-12-14 00:00:00+00:00,29.0,"A, e",06738000
2003-12-15 00:00:00+00:00,29.0,"A, e",06738000
2003-12-16 00:00:00+00:00,29.0,"A, e",06738000
2003-12-17 00:00:00+00:00,29.0,"A, e",06738000
2003-12-18 00:00:00+00:00,29.0,"A, e",06738000
2003-12-19 00:00:00+00:00,29.0,"A, e",06738000
2003-12-20 00:00:00+00:00,29.0,"A, e",06738000
2003-12-21 00:00:00+00:00,29.0,"A, e",06738000
2003-12-22 00:00:00+00:00,31.0,"A, e",06738000
2003-12-23 00:00:00+00:00,31.0,"A, e",06738000
2003-12-24 00:00:00+00:00,31.0,"A, e",06738000
2003-12-25 00:00:00+00:00,31.0,"A, e",06738000
2003-12-26 00:00:00+00:00,31.0,"A, e",06738000
2003-12-27 00:00:00+00:00,31.0,"A, e",06738000
2003-12-28 00:00:00+00:00,31.0,"A, e",06738000
2003-12-29 00:00:00+00:00,48.0,"A, e",06738000
2003-12-30 00:00:00+00:00,31.0,"A, e",06738000
2003-12-31 00:00:00+00:00,30.0,"A, e",06738000
2004-01-01 00:00:00+00:00,29.0,"A, e",06738000
2004-01-02 00:00:00+00:00,29.0,"A, e",06738000
2004-01-03 00:00:00+00:00,29.0,"A, e",06738000
2004-01-04 00:00:00+00:00,29.0,"A, e",06738000
2004-01-05 00:00:00+00:00,29.0,"A, e",06738000
2004-01-06 00:00:00+00:00,29.0,"A, e",06738000
2004-01-07 00:00:00+00:00,29.0,"A, e",06738000
2004-01-08 00:00:00+00:00,30.0,"A, e",06738000
2004-01-09 00:00:00+00:00,29.0,"A, e",06738000
2004-01-10 00:00:00+00:00,29.0,"A, e",06738000
2004-01-11 00:00:00+00:00,29.0,"A, e",06738000
2004-01-12 00:00:00+00:00,29.0,"A, e",06738000
2004-01-13 00:00:00+00:00,30.0,"A, e",06738000
2004-01-14 00:00:00+00:00,30.0,"A, e",06738000
2004-01-15 00:00:00+00:00,31.0,"A, e",06738000
2004-01-16 00:00:00+00:00,29.0,"A, e",06738000
2004-01-17 00:00:00+00:00,29.0,"A, e",06738000
2004-01-18 00:00:00+00:00,31.0,"A, e",06738000
2004-01-19 00:00:00+00:00,31.0,"A, e",06738000
2004-01-20 00:00:00+00:00,30.0,"A, e",06738000
2004-01-21 00:00:00+00:00,30.0,"A, e",06738000
2004-01-22 00:00:00+00:00,31.0,"A, e",06738000
2004-01-23 00:00:00+00:00,31.0,"A, e",06738000
2004-01-24 00:00:00+00:00,31.0,"A, e",06738000
2004-01-25 00:00:00+00:00,31.0,"A, e",06738000
2004-01-26 00:00:00+00:00,31.0,"A, e",06738000
2004-01-27 00:00:00+00:00,31.0,"A, e",06738000
2004-01-28 00:00:00+00:00,31.0,"A, e",06738000
2004-01-29 00:00:00+00:00,31.0,"A, e",06738000
2004-01-30 00:00:00+00:00,31.0,"A, e",06738000
2004-01-31 00:00:00+00:00,30.0,"A, e",06738000
2004-02-01 00:00:00+00:00,29.0,"A, e",06738000
2004-02-02 00:00:00+00:00,28.0,"A, e",06738000
2004-02-03 00:00:00+00:00,27.0,"A, e",06738000
2004-02-04 00:00:00+00:00,29.0,"A, e",06738000
2004-02-05 00:00:00+00:00,29.0,"A, e",06738000
2004-02-06 00:00:00+00:00,29.0,"A, e",06738000
2004-02-07 00:00:00+00:00,28.0,"A, e",06738000
2004-02-08 00:00:00+00:00,29.0,"A, e",06738000
2004-02-09 00:00:00+00:00,29.0,"A, e",06738000
2004-02-10 00:00:00+00:00,29.0,"A, e",06738000
2004-02-11 00:00:00+00:00,29.0,"A, e",06738000
2004-02-12 00:00:00+00:00,29.0,"A, e",06738000
2004-02-13 00:00:00+00:00,28.0,"A, e",06738000
2004-02-14 00:00:00+00:00,27.0,"A, e",06738000
2004-02-15 00:00:00+00:00,27.0,"A, e",06738000
2004-02-16 00:00:00+00:00,27.0,"A, e",06738000
2004-02-17 00:00:00+00:00,30.0,"A, e",06738000
2004-02-18 00:00:00+00:00,30.0,"A, e",06738000
2004-02-19 00:00:00+00:00,30.0,"A, e",06738000
2004-02-20 00:00:00+00:00,29.0,"A, e",06738000
2004-02-21 00:00:00+00:00,29.0,"A, e",06738000
2004-02-22 00:00:00+00:00,29.0,"A, e",06738000
2004-02-23 00:00:00+00:00,29.0,"A, e",06738000
2004-02-24 00:00:00+00:00,30.0,"A, e",06738000
2004-02-25 00:00:00+00:00,29.0,"A, e",06738000
2004-02-26 00:00:00+00:00,30.0,"A, e",06738000
2004-02-27 00:00:00+00:00,30.0,"A, e",06738000
2004-02-28 00:00:00+00:00,31.0,"A, e",06738000
2004-02-29 00:00:00+00:00,32.0,"A, e",06738000
2004-03-01 00:00:00+00:00,31.0,"A, e",06738000
2004-03-02 00:00:00+00:00,32.0,"A, e",06738000
2004-03-03 00:00:00+00:00,32.0,"A, e",06738000
2004-03-04 00:00:00+00:00,30.0,"A, e",06738000
2004-03-05 00:00:00+00:00,28.0,A,06738000
2004-03-06 00:00:00+00:00,26.0,A,06738000
2004-03-07 00:00:00+00:00,25.0,A,06738000
2004-03-08 00:00:00+00:00,27.0,A,06738000
2004-03-09 00:00:00+00:00,28.0,A,06738000
2004-03-10 00:00:00+00:00,28.0,A,06738000
2004-03-11 00:00:00+00:00,27.0,A,06738000
2004-03-12 00:00:00+00:00,29.0,A,06738000
2004-03-13 00:00:00+00:00,29.0,A,06738000
2004-03-14 00:00:00+00:00,30.0,A,06738000
2004-03-15 00:00:00+00:00,31.0,A,06738000
2004-03-16 00:00:00+00:00,29.0,A,06738000
2004-03-17 00:00:00+00:00,28.0,A,06738000
2004-03-18 00:00:00+00:00,28.0,A,06738000
2004-03-19 00:00:00+00:00,28.0,A,06738000
2004-03-20 00:00:00+00:00,30.0,A,06738000
2004-03-21 00:00:00+00:00,31.0,A,06738000
2004-03-22 00:00:00+00:00,31.0,A,06738000
2004-03-23 00:00:00+00:00,32.0,A,06738000
2004-03-24 00:00:00+00:00,33.0,A,06738000
2004-03-25 00:00:00+00:00,37.0,A,06738000
2004-03-26 00:00:00+00:00,40.0,A,06738000
2004-03-27 00:00:00+00:00,40.0,A,06738000
2004-03-28 00:00:00+00:00,39.0,A,06738000
2004-03-29 00:00:00+00:00,38.0,A,06738000
2004-03-30 00:00:00+00:00,40.0,A,06738000
2004-03-31 00:00:00+00:00,39.0,A,06738000
2004-04-01 00:00:00+00:00,40.0,A,06738000
2004-04-02 00:00:00+00:00,45.0,A,06738000
2004-04-03 00:00:00+00:00,49.0,A,06738000
2004-04-04 00:00:00+00:00,60.0,A,06738000
2004-04-05 00:00:00+00:00,68.0,A,06738000
2004-04-06 00:00:00+00:00,76.0,A,06738000
2004-04-07 00:00:00+00:00,88.0,A,06738000
2004-04-08 00:00:00+00:00,94.0,A,06738000
2004-04-09 00:00:00+00:00,101.0,A,06738000
2004-04-10 00:00:00+00:00,84.0,A,06738000
2004-04-11 00:00:00+00:00,67.0,A,06738000
2004-04-12 00:00:00+00:00,72.0,A,06738000
