datetime,00060_Mean,00060_Mean_cd,site_no
1999-10-01 00:00:00+00:00,316.0,A,13142500
1999-10-02 00:00:00+00:00,5.2,A,13142500
1999-10-03 00:00:00+00:00,5.1,A,13142500
1999-10-04 00:00:00+00:00,5.5,A,13142500
1999-10-05 00:00:00+00:00,5.5,A,13142500
1999-10-06 00:00:00+00:00,5.8,A,13142500
1999-10-07 00:00:00+00:00,5.9,A,13142500
1999-10-08 00:00:00+00:00,6.1,A,13142500
1999-10-09 00:00:00+00:00,6.4,A,13142500
1999-10-10 00:00:00+00:00,6.9,A,13142500
1999-10-11 00:00:00+00:00,7.5,A,13142500
1999-10-12 00:00:00+00:00,7.4,A,13142500
1999-10-13 00:00:00+00:00,7.5,A,13142500
1999-10-14 00:00:00+00:00,7.5,A,13142500
1999-10-15 00:00:00+00:00,6.9,A,13142500
1999-10-16 00:00:00+00:00,6.8,A,13142500
1999-10-17 00:00:00+00:00,6.9,A,13142500
1999-10-18 00:00:00+00:00,8.7,A,13142500
1999-10-19 00:00:00+00:00,7.3,A,13142500
1999-10-20 00:00:00+00:00,6.5,A,13142500
1999-10-21 00:00:00+00:00,6.5,A,13142500
1999-10-22 00:00:00+00:00,6.6,A,13142500
1999-10-23 00:00:00+00:00,6.7,A,13142500
1999-10-24 00:00:00+00:00,6.6,A,13142500
1999-10-25 00:00:00+00:00,6.4,A,13142500
1999-10-26 00:00:00+00:00,6.4,A,13142500
1999-10-27 00:00:00+00:00,6.2,A,13142500
1999-10-28 00:00:00+00:00,6.2,A,13142500
1999-10-29 00:00:00+00:00,5.9,A,13142500
1999-10-30 00:00:00+00:00,5.8,A,13142500
1999-10-31 00:00:00+00:00,194.0,A,13142500
1999-11-01 00:00:00+00:00,610.0,A,13142500
1999-11-02 00:00:00+00:00,607.0,A,13142500
1999-11-03 00:00:00+00:00,604.0,A,13142500
1999-11-04 00:00:00+00:00,599.0,A,13142500
1999-11-05 00:00:00+00:00,208.0,A,13142500
1999-11-06 00:00:00+00:00,4.6,A,13142500
1999-11-07 00:00:00+00:00,4.6,A,13142500
1999-11-08 00:00:00+00:00,4.6,A,13142500
1999-11-09 00:00:00+00:00,4.7,A,13142500
1999-11-10 00:00:00+00:00,4.6,A,13142500
1999-11-11 00:00:00+00:00,4.6,A,13142500
1999-11-12 00:00:00+00:00,4.6,A,13142500
1999-11-13 00:00:00+00:00,4.6,A,13142500
1999-11-14 00:00:00+00:00,8.2,A,13142500
1999-11-15 00:00:00+00:00,36.0,A,13142500
1999-11-16 00:00:00+00:00,13.0,A,13142500
1999-11-17 00:00:00+00:00,8.4,A,13142500
1999-11-18 00:00:00+00:00,12.0,A,13142500
1999-11-19 00:00:00+00:00,4.2,A,13142500
1999-11-20 00:00:00+00:00,4.6,A,13142500
1999-11-21 00:00:00+00:00,4.6,A,13142500
1999-11-22 00:00:00+00:00,4.6,A,13142500
1999-11-23 00:00:00+00:00,4.6,A,13142500
1999-11-24 00:00:00+00:00,4.6,A,13142500
1999-11-25 00:00:00+00:00,4.6,A,13142500
1999-11-26 00:00:00+00:00,4.6,A,13142500
1999-11-27 00:00:00+00:00,4.6,A,13142500
1999-11-28 00:00:00+00:00,4.6,A,13142500
1999-11-29 00:00:00+00:00,4.6,A,13142500
1999-11-30 00:00:00+00:00,4.6,A,13142500
1999-12-01 00:00:00+00:00,4.7,A,13142500
1999-12-02 00:00:00+00:00,4.7,A,13142500
1999-12-03 00:00:00+00:00,4.6,A,13142500
1999-12-04 00:00:00+00:00,4.6,A,13142500
1999-12-05 00:00:00+00:00,4.6,A,13142500
1999-12-06 00:00:00+00:00,4.7,A,13142500
1999-12-07 00:00:00+00:00,4.6,A,13142500
1999-12-08 00:00:00+00:00,4.6,A,13142500
1999-12-09 00:00:00+00:00,4.6,A,13142500
1999-12-10 00:00:00+00:00,4.6,A,13142500
1999-12-11 00:00:00+00:00,4.6,A,13142500
1999-12-12 00:00:00+00:00,4.6,A,13142500
1999-12-13 00:00:00+00:00,4.7,A,13142500
1999-12-14 00:00:00+00:00,4.6,A,13142500
1999-12-15 00:00:00+00:00,4.6,A,13142500
1999-12-16 00:00:00+00:00,4.6,A,13142500
1999-12-17 00:00:00+00:00,4.6,A,13142500
1999-12-18 00:00:00+00:00,4.7,A,13142500
1999-12-19 00:00:00+00:00,4.6,A,13142500
1999-12-20 00:00:00+00:00,4.6,A,13142500
1999-12-21 00:00:00+00:00,4.7,A,13142500
1999-12-22 00:00:00+00:00,4.8,A,13142500
1999-12-23 00:00:00+00:00,4.6,A,13142500
1999-12-24 00:00:00+00:00,4.8,A,13142500
1999-12-25 00:00:00+00:00,4.9,A,13142500
1999-12-26 00:00:00+00:00,4.8,A,13142500
1999-12-27 00:00:00+00:00,4.8,A,13142500
1999-12-28 00:00:00+00:00,5.0,A,13142500
1999-12-29 00:00:00+00:00,4.8,A,13142500
1999-12-30 00:00:00+00:00,4.6,A,13142500
1999-12-31 00:00:00+00:00,4.6,A,13142500
2000-01-01 00:00:00+00:00,4.6,A,13142500
2000-01-02 00:00:00+00:00,4.6,A,13142500
2000-01-03 00:00:00+00:00,4.6,A,13142500
2000-01-04 00:00:00+00:00,4.7,A,13142500
2000-01-05 00:00:00+00:00,4.6,A,13142500
2000-01-06 00:00:00+00:00,4.7,A,13142500
2000-01-07 00:00:00+00:00,4.8,A,13142500
2000-01-08 00:00:00+00:00,4.9,A,13142500
2000-01-09 00:00:00+00:00,4.8,A,13142500
2000-01-10 00:00:00+00:00,4.8,A,13142500
2000-01-11 00:00:00+00:00,4.7,A,13142500
2000-01-12 00:00:00+00:00,4.8,A,13142500
2000-01-13 00:00:00+00:00,4.9,A,13142500
2000-01-14 00:00:00+00:00,4.8,A,13142500
2000-01-15 00:00:00+00:00,4.7,A,13142500
2000-01-16 00:00:00+00:00,4.8,A,13142500
2000-01-17 00:00:00+00:00,4.7,A,13142500
2000-01-18 00:00:00+00:00,4.8,A,13142500
2000-01-19 00:00:00+00:00,4.8,A,13142500
2000-01-20 00:00:00+00:00,5.1,A,13142500
2000-01-21 00:00:00+00:00,5.1,A,13142500
2000-01-22 00:00:00+00:00,5.1,A,13142500
2000-01-23 00:00:00+00:00,5.1,A,13142500
2000-01-24 00:00:00+00:00,5.5,A,13142500
2000-01-25 00:00:00+00:00,5.4,A,13142500
2000-01-26 00:00:00+00:00,5.4,A,13142500
2000-01-27 00:00:00+00:00,5.4,A,13142500
2000-01-28 00:00:00+00:00,5.2,A,13142500
2000-01-29 00:00:00+00:00,5.2,A,13142500
2000-01-30 00:00:00+00:00,5.4,A,13142500
2000-01-31 00:00:00+00:00,5.4,A,13142500
2000-02-01 00:00:00+00:00,5.4,A,13142500
2000-02-02 00:00:00+00:00,5.4,A,13142500
2000-02-03 00:00:00+00:00,5.5,A,13142500
2000-02-04 00:00:00+00:00,5.6,A,13142500
2000-02-05 00:00:00+00:00,5.8,A,13142500
2000-02-06 00:00:00+00:00,5.8,A,13142500
2000-02-07 00:00:00+00:00,6.5,A,13142500
2000-02-08 00:00:00+00:00,5.8,A,13142500
2000-02-09 00:00:00+00:00,5.6,A,13142500
2000-02-10 00:00:00+00:00,5.9,A,13142500
2000-02-11 00:00:00+00:00,5.8,A,13142500
2000-02-12 00:00:00+00:00,5.8,A,13142500
2000-02-13 00:00:00+00:00,6.0,A,13142500
2000-02-14 00:00:00+00:00,6.2,A,13142500
2000-02-15 00:00:00+00:00,6.0,A,13142500
2000-02-16 00:00:00+00:00,6.3,A,13142500
2000-02-17 00:00:00+00:00,6.5,A,13142500
