datetime,00060_Mean,00060_Mean_cd,site_no
1988-10-01 00:00:00+00:00,66.0,"A, e",13120500
1988-10-02 00:00:00+00:00,66.0,"A, e",13120500
1988-10-03 00:00:00+00:00,65.0,"A, e",13120500
1988-10-04 00:00:00+00:00,65.0,"A, e",13120500
1988-10-05 00:00:00+00:00,65.0,"A, e",13120500
1988-10-06 00:00:00+00:00,64.0,A,13120500
1988-10-07 00:00:00+00:00,65.0,A,13120500
1988-10-08 00:00:00+00:00,65.0,A,13120500
1988-10-09 00:00:00+00:00,65.0,A,13120500
1988-10-10 00:00:00+00:00,64.0,A,13120500
1988-10-11 00:00:00+00:00,64.0,A,13120500
1988-10-12 00:00:00+00:00,65.0,A,13120500
1988-10-13 00:00:00+00:00,66.0,A,13120500
1988-10-14 00:00:00+00:00,65.0,A,13120500
1988-10-15 00:00:00+00:00,66.0,A,13120500
1988-10-16 00:00:00+00:00,65.0,A,13120500
1988-10-17 00:00:00+00:00,65.0,A,13120500
1988-10-18 00:00:00+00:00,67.0,A,13120500
1988-10-19 00:00:00+00:00,69.0,A,13120500
1988-10-20 00:00:00+00:00,68.0,A,13120500
1988-10-21 00:00:00+00:00,68.0,A,13120500
1988-10-22 00:00:00+00:00,67.0,A,13120500
1988-10-23 00:00:00+00:00,66.0,A,13120500
1988-10-24 00:00:00+00:00,66.0,A,13120500
1988-10-25 00:00:00+00:00,66.0,A,13120500
1988-10-26 00:00:00+00:00,66.0,A,13120500
1988-10-27 00:00:00+00:00,66.0,A,13120500
1988-10-28 00:00:00+00:00,66.0,A,13120500
1988-10-29 00:00:00+00:00,67.0,A,13120500
1988-10-30 00:00:00+00:00,67.0,A,13120500
1988-10-31 00:00:00+00:00,66.0,A,13120500
1988-11-01 00:00:00+00:00,66.0,A,13120500
1988-11-02 00:00:00+00:00,67.0,A,13120500
1988-11-03 00:00:00+00:00,69.0,A,13120500
1988-11-04 00:00:00+00:00,73.0,A,13120500
1988-11-05 00:00:00+00:00,70.0,A,13120500
1988-11-06 00:00:00+00:00,72.0,A,13120500
1988-11-07 00:00:00+00:00,70.0,A,13120500
1988-11-08 00:00:00+00:00,69.0,A,13120500
1988-11-09 00:00:00+00:00,69.0,A,13120500
1988-11-10 00:00:00+00:00,68.0,A,13120500
1988-11-11 00:00:00+00:00,67.0,A,13120500
1988-11-12 00:00:00+00:00,68.0,A,13120500
1988-11-13 00:00:00+00:00,69.0,A,13120500
1988-11-14 00:00:00+00:00,70.0,"A, e",13120500
1988-11-15 00:00:00+00:00,66.0,"A, e",13120500
1988-11-16 00:00:00+00:00,67.0,"A, e",13120500
1988-11-17 00:00:00+00:00,68.0,"A, e",13120500
1988-11-18 00:00:00+00:00,68.0,"A, e",13120500
1988-11-19 00:00:00+00:00,66.0,"A, e",13120500
1988-11-20 00:00:00+00:00,66.0,"A, e",13120500
