datetime,00060_Mean,00060_Mean_cd,site_no
2009-10-01 00:00:00+00:00,412.0,A,10346000
2009-10-02 00:00:00+00:00,390.0,A,10346000
2009-10-03 00:00:00+00:00,394.0,A,10346000
2009-10-04 00:00:00+00:00,401.0,A,10346000
2009-10-05 00:00:00+00:00,398.0,A,10346000
2009-10-06 00:00:00+00:00,403.0,A,10346000
2009-10-07 00:00:00+00:00,459.0,A,10346000
2009-10-08 00:00:00+00:00,464.0,A,10346000
2009-10-09 00:00:00+00:00,469.0,A,10346000
2009-10-10 00:00:00+00:00,464.0,A,10346000
2009-10-11 00:00:00+00:00,468.0,A,10346000
2009-10-12 00:00:00+00:00,470.0,A,10346000
2009-10-13 00:00:00+00:00,492.0,A,10346000
2009-10-14 00:00:00+00:00,571.0,A,10346000
2009-10-15 00:00:00+00:00,459.0,A,10346000
2009-10-16 00:00:00+00:00,412.0,A,10346000
2009-10-17 00:00:00+00:00,261.0,A,10346000
2009-10-18 00:00:00+00:00,265.0,A,10346000
2009-10-19 00:00:00+00:00,243.0,A,10346000
2009-10-20 00:00:00+00:00,238.0,A,10346000
2009-10-21 00:00:00+00:00,226.0,A,10346000
2009-10-22 00:00:00+00:00,209.0,A,10346000
2009-10-23 00:00:00+00:00,195.0,A,10346000
2009-10-24 00:00:00+00:00,189.0,A,10346000
2009-10-25 00:00:00+00:00,186.0,A,10346000
2009-10-26 00:00:00+00:00,181.0,A,10346000
2009-10-27 00:00:00+00:00,179.0,A,10346000
2009-10-28 00:00:00+00:00,169.0,A,10346000
2009-10-29 00:00:00+00:00,142.0,A,10346000
2009-10-30 00:00:00+00:00,119.0,A,10346000
2009-10-31 00:00:00+00:00,93.5,A,10346000
2009-11-01 00:00:00+00:00,74.7,A,10346000
2009-11-02 00:00:00+00:00,81.7,A,10346000
2009-11-03 00:00:00+00:00,103.0,A,10346000
2009-11-04 00:00:00+00:00,115.0,A,10346000
2009-11-05 00:00:00+00:00,103.0,A,10346000
2009-11-06 00:00:00+00:00,102.0,A,10346000
2009-11-07 00:00:00+00:00,121.0,A,10346000
2009-11-08 00:00:00+00:00,119.0,A,10346000
2009-11-09 00:00:00+00:00,122.0,A,10346000
2009-11-10 00:00:00+00:00,158.0,A,10346000
2009-11-11 00:00:00+00:00,155.0,A,10346000
2009-11-12 00:00:00+00:00,158.0,A,10346000
2009-11-13 00:00:00+00:00,155.0,A,10346000
2009-11-14 00:00:00+00:00,155.0,A,10346000
2009-11-15 00:00:00+00:00,151.0,A,10346000
2009-11-16 00:00:00+00:00,153.0,A,10346000
2009-11-17 00:00:00+00:00,152.0,A,10346000
2009-11-18 00:00:00+00:00,152.0,A,10346000
2009-11-19 00:00:00+00:00,150.0,A,10346000
2009-11-20 00:00:00+00:00,152.0,A,10346000
2009-11-21 00:00:00+00:00,150.0,A,10346000
2009-11-22 00:00:00+00:00,161.0,A,10346000
2009-11-23 00:00:00+00:00,155.0,A,10346000
2009-11-24 00:00:00+00:00,152.0,A,10346000
2009-11-25 00:00:00+00:00,152.0,A,10346000
2009-11-26 00:00:00+00:00,151.0,A,10346000
2009-11-27 00:00:00+00:00,155.0,A,10346000
2009-11-28 00:00:00+00:00,155.0,A,10346000
2009-11-29 00:00:00+00:00,147.0,A,10346000
2009-11-30 00:00:00+00:00,129.0,A,10346000
2009-12-01 00:00:00+00:00,111.0,A,10346000
2009-12-02 00:00:00+00:00,109.0,A,10346000
2009-12-03 00:00:00+00:00,107.0,A,10346000
2009-12-04 00:00:00+00:00,96.3,A,10346000
2009-12-05 00:00:00+00:00,123.0,A,10346000
2009-12-06 00:00:00+00:00,148.0,A,10346000
2009-12-07 00:00:00+00:00,176.0,A,10346000
2009-12-08 00:00:00+00:00,198.0,A,10346000
2009-12-09 00:00:00+00:00,221.0,A,10346000
2009-12-10 00:00:00+00:00,193.0,A,10346000
2009-12-11 00:00:00+00:00,125.0,A,10346000
2009-12-12 00:00:00+00:00,119.0,A,10346000
2009-12-13 00:00:00+00:00,117.0,A,10346000
2009-12-14 00:00:00+00:00,122.0,A,10346000
2009-12-15 00:00:00+00:00,139.0,A,10346000
2009-12-16 00:00:00+00:00,162.0,A,10346000
2009-12-17 00:00:00+00:00,160.0,A,10346000
2009-12-18 00:00:00+00:00,159.0,A,10346000
2009-12-19 00:00:00+00:00,158.0,A,10346000
2009-12-20 00:00:00+00:00,159.0,A,10346000
2009-12-21 00:00:00+00:00,164.0,A,10346000
2009-12-22 00:00:00+00:00,169.0,A,10346000
2009-12-23 00:00:00+00:00,167.0,A,10346000
2009-12-24 00:00:00+00:00,208.0,A,10346000
2009-12-25 00:00:00+00:00,213.0,A,10346000
2009-12-26 00:00:00+00:00,211.0,A,10346000
2009-12-27 00:00:00+00:00,198.0,A,10346000
2009-12-28 00:00:00+00:00,189.0,A,10346000
2009-12-29 00:00:00+00:00,189.0,A,10346000
2009-12-30 00:00:00+00:00,192.0,A,10346000
2009-12-31 00:00:00+00:00,191.0,A,10346000
2010-01-01 00:00:00+00:00,193.0,A,10346000
2010-01-02 00:00:00+00:00,193.0,A,10346000
2010-01-03 00:00:00+00:00,189.0,A,10346000
2010-01-04 00:00:00+00:00,186.0,A,10346000
2010-01-05 00:00:00+00:00,174.0,A,10346000
2010-01-06 00:00:00+00:00,137.0,A,10346000
2010-01-07 00:00:00+00:00,139.0,A,10346000
2010-01-08 00:00:00+00:00,141.0,A,10346000
2010-01-09 00:00:00+00:00,147.0,A,10346000
2010-01-10 00:00:00+00:00,157.0,A,10346000
2010-01-11 00:00:00+00:00,160.0,A,10346000
2010-01-12 00:00:00+00:00,174.0,A,10346000
2010-01-13 00:00:00+00:00,261.0,A,10346000
2010-01-14 00:00:00+00:00,274.0,A,10346000
2010-01-15 00:00:00+00:00,259.0,A,10346000
2010-01-16 00:00:00+00:00,246.0,A,10346000
2010-01-17 00:00:00+00:00,239.0,A,10346000
2010-01-18 00:00:00+00:00,247.0,A,10346000
2010-01-19 00:00:00+00:00,238.0,A,10346000
2010-01-20 00:00:00+00:00,249.0,A,10346000
2010-01-21 00:00:00+00:00,233.0,A,10346000
2010-01-22 00:00:00+00:00,242.0,A,10346000
2010-01-23 00:00:00+00:00,248.0,A,10346000
2010-01-24 00:00:00+00:00,253.0,A,10346000
2010-01-25 00:00:00+00:00,258.0,A,10346000
2010-01-26 00:00:00+00:00,267.0,A,10346000
2010-01-27 00:00:00+00:00,269.0,A,10346000
2010-01-28 00:00:00+00:00,261.0,A,10346000
2010-01-29 00:00:00+00:00,260.0,A,10346000
2010-01-30 00:00:00+00:00,255.0,A,10346000
2010-01-31 00:00:00+00:00,246.0,A,10346000
2010-02-01 00:00:00+00:00,248.0,A,10346000
2010-02-02 00:00:00+00:00,238.0,A,10346000
2010-02-03 00:00:00+00:00,214.0,A,10346000
2010-02-04 00:00:00+00:00,202.0,A,10346000
2010-02-05 00:00:00+00:00,209.0,A,10346000
2010-02-06 00:00:00+00:00,213.0,A,10346000
2010-02-07 00:00:00+00:00,214.0,A,10346000
2010-02-08 00:00:00+00:00,212.0,A,10346000
2010-02-09 00:00:00+00:00,212.0,A,10346000
2010-02-10 00:00:00+00:00,208.0,A,10346000
2010-02-11 00:00:00+00:00,208.0,A,10346000
2010-02-12 00:00:00+00:00,208.0,A,10346000
2010-02-13 00:00:00+00:00,207.0,A,10346000
2010-02-14 00:00:00+00:00,198.0,A,10346000
2010-02-15 00:00:00+00:00,200.0,A,10346000
2010-02-16 00:00:00+00:00,207.0,A,10346000
2010-02-17 00:00:00+00:00,217.0,A,10346000
2010-02-18 00:00:00+00:00,227.0,A,10346000
2010-02-19 00:00:00+00:00,244.0,A,10346000
2010-02-20 00:00:00+00:00,306.0,A,10346000
2010-02-21 00:00:00+00:00,328.0,A,10346000
2010-02-22 00:00:00+00:00,320.0,A,10346000
2010-02-23 00:00:00+00:00,318.0,A,10346000
2010-02-24 00:00:00+00:00,346.0,A,10346000
2010-02-25 00:00:00+00:00,357.0,A,10346000
2010-02-26 00:00:00+00:00,366.0,A,10346000
2010-02-27 00:00:00+00:00,451.0,A,10346000
2010-02-28 00:00:00+00:00,436.0,A,10346000
2010-03-01 00:00:00+00:00,416.0,A,10346000
2010-03-02 00:00:00+00:00,417.0,A,10346000
2010-03-03 00:00:00+00:00,415.0,A,10346000
2010-03-04 00:00:00+00:00,396.0,A,10346000
2010-03-05 00:00:00+00:00,402.0,A,10346000
2010-03-06 00:00:00+00:00,435.0,A,10346000
2010-03-07 00:00:00+00:00,444.0,A,10346000
2010-03-08 00:00:00+00:00,446.0,A,10346000
2010-03-09 00:00:00+00:00,448.0,A,10346000
2010-03-10 00:00:00+00:00,449.0,A,10346000
2010-03-11 00:00:00+00:00,442.0,A,10346000
2010-03-12 00:00:00+00:00,452.0,A,10346000
2010-03-13 00:00:00+00:00,459.0,A,10346000
2010-03-14 00:00:00+00:00,447.0,A,10346000
2010-03-15 00:00:00+00:00,445.0,A,10346000
2010-03-16 00:00:00+00:00,450.0,A,10346000
2010-03-17 00:00:00+00:00,459.0,A,10346000
2010-03-18 00:00:00+00:00,469.0,A,10346000
2010-03-19 00:00:00+00:00,434.0,A,10346000
2010-03-20 00:00:00+00:00,424.0,A,10346000
2010-03-21 00:00:00+00:00,440.0,A,10346000
2010-03-22 00:00:00+00:00,457.0,A,10346000
2010-03-23 00:00:00+00:00,461.0,A,10346000
2010-03-24 00:00:00+00:00,460.0,A,10346000
2010-03-25 00:00:00+00:00,479.0,A,10346000
2010-03-26 00:00:00+00:00,459.0,A,10346000
2010-03-27 00:00:00+00:00,472.0,A,10346000
2010-03-28 00:00:00+00:00,477.0,A,10346000
2010-03-29 00:00:00+00:00,519.0,A,10346000
2010-03-30 00:00:00+00:00,753.0,A,10346000
2010-03-31 00:00:00+00:00,647.0,A,10346000
2010-04-01 00:00:00+00:00,536.0,A,10346000
2010-04-02 00:00:00+00:00,508.0,A,10346000
2010-04-03 00:00:00+00:00,506.0,A,10346000
2010-04-04 00:00:00+00:00,501.0,A,10346000
2010-04-05 00:00:00+00:00,506.0,A,10346000
2010-04-06 00:00:00+00:00,502.0,A,10346000
2010-04-07 00:00:00+00:00,514.0,A,10346000
2010-04-08 00:00:00+00:00,528.0,A,10346000
2010-04-09 00:00:00+00:00,527.0,A,10346000
2010-04-10 00:00:00+00:00,501.0,A,10346000
2010-04-11 00:00:00+00:00,497.0,A,10346000
2010-04-12 00:00:00+00:00,501.0,A,10346000
2010-04-13 00:00:00+00:00,500.0,A,10346000
2010-04-14 00:00:00+00:00,504.0,A,10346000
2010-04-15 00:00:00+00:00,502.0,A,10346000
2010-04-16 00:00:00+00:00,528.0,A,10346000
2010-04-17 00:00:00+00:00,546.0,A,10346000
2010-04-18 00:00:00+00:00,564.0,A,10346000
2010-04-19 00:00:00+00:00,605.0,A,10346000
2010-04-20 00:00:00+00:00,648.0,A,10346000
2010-04-21 00:00:00+00:00,682.0,"A, e",10346000
2010-04-22 00:00:00+00:00,539.0,"A, e",10346000
2010-04-23 00:00:00+00:00,513.0,A,10346000
2010-04-24 00:00:00+00:00,537.0,A,10346000
2010-04-25 00:00:00+00:00,592.0,A,10346000
2010-04-26 00:00:00+00:00,650.0,A,10346000
2010-04-27 00:00:00+00:00,779.0,A,10346000
2010-04-28 00:00:00+00:00,883.0,A,10346000
2010-04-29 00:00:00+00:00,677.0,A,10346000
2010-04-30 00:00:00+00:00,595.0,A,10346000
2010-05-01 00:00:00+00:00,564.0,A,10346000
2010-05-02 00:00:00+00:00,586.0,A,10346000
2010-05-03 00:00:00+00:00,602.0,A,10346000
2010-05-04 00:00:00+00:00,786.0,A,10346000
2010-05-05 00:00:00+00:00,918.0,A,10346000
2010-05-06 00:00:00+00:00,830.0,A,10346000
2010-05-07 00:00:00+00:00,758.0,A,10346000
2010-05-08 00:00:00+00:00,784.0,A,10346000
2010-05-09 00:00:00+00:00,790.0,A,10346000
2010-05-10 00:00:00+00:00,744.0,A,10346000
2010-05-11 00:00:00+00:00,734.0,A,10346000
2010-05-12 00:00:00+00:00,683.0,A,10346000
2010-05-13 00:00:00+00:00,680.0,A,10346000
2010-05-14 00:00:00+00:00,729.0,A,10346000
2010-05-15 00:00:00+00:00,826.0,A,10346000
2010-05-16 00:00:00+00:00,982.0,A,10346000
2010-05-17 00:00:00+00:00,1080.0,A,10346000
2010-05-18 00:00:00+00:00,950.0,A,10346000
2010-05-19 00:00:00+00:00,900.0,A,10346000
2010-05-20 00:00:00+00:00,1080.0,A,10346000
2010-05-21 00:00:00+00:00,1070.0,A,10346000
2010-05-22 00:00:00+00:00,907.0,A,10346000
2010-05-23 00:00:00+00:00,810.0,A,10346000
2010-05-24 00:00:00+00:00,737.0,A,10346000
2010-05-25 00:00:00+00:00,713.0,A,10346000
2010-05-26 00:00:00+00:00,737.0,A,10346000
2010-05-27 00:00:00+00:00,760.0,A,10346000
2010-05-28 00:00:00+00:00,696.0,A,10346000
2010-05-29 00:00:00+00:00,642.0,A,10346000
2010-05-30 00:00:00+00:00,685.0,A,10346000
2010-05-31 00:00:00+00:00,779.0,A,10346000
2010-06-01 00:00:00+00:00,911.0,A,10346000
2010-06-02 00:00:00+00:00,1070.0,A,10346000
2010-06-03 00:00:00+00:00,1530.0,A,10346000
2010-06-04 00:00:00+00:00,2020.0,A,10346000
2010-06-05 00:00:00+00:00,2190.0,A,10346000
2010-06-06 00:00:00+00:00,2430.0,A,10346000
2010-06-07 00:00:00+00:00,2380.0,A,10346000
2010-06-08 00:00:00+00:00,1940.0,A,10346000
2010-06-09 00:00:00+00:00,1640.0,A,10346000
2010-06-10 00:00:00+00:00,1360.0,A,10346000
2010-06-11 00:00:00+00:00,1070.0,A,10346000
2010-06-12 00:00:00+00:00,1010.0,A,10346000
2010-06-13 00:00:00+00:00,1160.0,A,10346000
2010-06-14 00:00:00+00:00,1220.0,A,10346000
2010-06-15 00:00:00+00:00,1340.0,A,10346000
2010-06-16 00:00:00+00:00,1240.0,A,10346000
2010-06-17 00:00:00+00:00,1050.0,A,10346000
2010-06-18 00:00:00+00:00,1010.0,A,10346000
2010-06-19 00:00:00+00:00,1070.0,A,10346000
2010-06-20 00:00:00+00:00,1040.0,A,10346000
2010-06-21 00:00:00+00:00,1000.0,A,10346000
2010-06-22 00:00:00+00:00,994.0,A,10346000
2010-06-23 00:00:00+00:00,1030.0,A,10346000
2010-06-24 00:00:00+00:00,1040.0,A,10346000
2010-06-25 00:00:00+00:00,992.0,A,10346000
2010-06-26 00:00:00+00:00,973.0,A,10346000
2010-06-27 00:00:00+00:00,1000.0,A,10346000
2010-06-28 00:00:00+00:00,1020.0,A,10346000
2010-06-29 00:00:00+00:00,999.0,A,10346000
2010-06-30 00:00:00+00:00,919.0,A,10346000
2010-07-01 00:00:00+00:00,873.0,A,10346000
2010-07-02 00:00:00+00:00,853.0,A,10346000
2010-07-03 00:00:00+00:00,837.0,A,10346000
2010-07-04 00:00:00+00:00,831.0,A,10346000
2010-07-05 00:00:00+00:00,810.0,A,10346000
2010-07-06 00:00:00+00:00,783.0,A,10346000
2010-07-07 00:00:00+00:00,725.0,A,10346000
2010-07-08 00:00:00+00:00,686.0,A,10346000
2010-07-09 00:00:00+00:00,658.0,A,10346000
2010-07-10 00:00:00+00:00,618.0,A,10346000
2010-07-11 00:00:00+00:00,601.0,A,10346000
2010-07-12 00:00:00+00:00,609.0,A,10346000
2010-07-13 00:00:00+00:00,636.0,A,10346000
2010-07-14 00:00:00+00:00,648.0,A,10346000
2010-07-15 00:00:00+00:00,658.0,A,10346000
2010-07-16 00:00:00+00:00,648.0,A,10346000
2010-07-17 00:00:00+00:00,617.0,A,10346000
2010-07-18 00:00:00+00:00,581.0,A,10346000
2010-07-19 00:00:00+00:00,574.0,A,10346000
2010-07-20 00:00:00+00:00,536.0,A,10346000
2010-07-21 00:00:00+00:00,564.0,A,10346000
